networksteps,algo,score,env
4966,PPO,-0.3325957184026232,
10218,PPO,-0.3221610202953663,
14622,PPO,-0.31564028314029824,
19009,PPO,-0.3093182506053455,
23498,PPO,-0.34502786485547043,
27222,PPO,-0.3500541649380152,
30541,PPO,-0.37612270472100634,
34594,PPO,-0.3179807745735587,
41386,PPO,-0.3135700522983728,
45048,PPO,-0.3423699688208776,
50995,PPO,-0.37695563339170324,
56593,PPO,-0.3483634526669204,
60244,PPO,-0.3110553587826584,
64403,PPO,-0.36171285454074126,
69397,PPO,-0.3615775620593296,
72404,PPO,-0.353944825162556,
76277,PPO,-0.3665345118939504,
80320,PPO,-0.34936174665180453,
80346,PPO,-0.43950617283950627,Pathfinding8
80355,PPO,-0.5066666666666666,Pathfinding8
80366,PPO,-0.3958333333333333,Pathfinding8
80374,PPO,-0.561111111111111,Pathfinding8
80379,PPO,-0.5055555555555555,Pathfinding8
80391,PPO,-0.4935897435897436,Pathfinding8
80400,PPO,-0.33999999999999997,Pathfinding8
80414,PPO,-0.5366666666666666,Pathfinding8
80428,PPO,-0.40444444444444444,Pathfinding8
80429,PPO,-0.5,Pathfinding8
80441,PPO,-0.2897435897435897,Pathfinding8
80453,PPO,-0.34230769230769226,Pathfinding8
80464,PPO,-0.4208333333333333,Pathfinding8
80482,PPO,-0.4105263157894737,Pathfinding8
80507,PPO,-0.4782051282051283,Pathfinding8
80528,PPO,-0.31212121212121213,Pathfinding8
80542,PPO,-0.33999999999999997,Pathfinding8
80545,PPO,-0.13999999999999999,Pathfinding8
80554,PPO,-0.30666666666666664,Pathfinding8
80562,PPO,-0.6,Pathfinding8
80573,PPO,-0.3958333333333333,Pathfinding8
80581,PPO,-0.6722222222222222,Pathfinding8
80599,PPO,-0.35701754385964923,Pathfinding8
80611,PPO,-0.34230769230769226,Pathfinding8
80623,PPO,-0.5141025641025642,Pathfinding8
80631,PPO,-0.5944444444444444,Pathfinding8
80650,PPO,-0.3891666666666667,Pathfinding8
80659,PPO,-0.4716666666666666,Pathfinding8
80668,PPO,-0.5366666666666667,Pathfinding8
80682,PPO,-0.3855555555555555,Pathfinding8
80691,PPO,-0.5716666666666667,Pathfinding8
80709,PPO,-0.3403508771929824,Pathfinding8
80714,PPO,-0.6138888888888889,Pathfinding8
80726,PPO,-0.3153846153846154,Pathfinding8
80737,PPO,-0.3930555555555556,Pathfinding8
80753,PPO,-0.39607843137254906,Pathfinding8
80769,PPO,-0.3784313725490196,Pathfinding8
80770,PPO,-0.5,Pathfinding8
80779,PPO,-0.5016666666666667,Pathfinding8
80791,PPO,-0.441025641025641,Pathfinding8
80800,PPO,-0.4716666666666666,Pathfinding8
80809,PPO,-0.5366666666666667,Pathfinding8
80837,PPO,-0.3632183908045978,Pathfinding8
80845,PPO,-0.5611111111111111,Pathfinding8
80853,PPO,-0.561111111111111,Pathfinding8
80867,PPO,-0.44777777777777783,Pathfinding8
80881,PPO,-0.3388888888888889,Pathfinding8
80899,PPO,-0.2719298245614036,Pathfinding8
80920,PPO,-0.34015151515151515,Pathfinding8
80928,PPO,-0.487037037037037,Pathfinding8
80942,PPO,-0.31999999999999995,Pathfinding8
80956,PPO,-0.3844444444444445,Pathfinding8
80975,PPO,-0.3416666666666667,Pathfinding8
80987,PPO,-0.4397435897435898,Pathfinding8
81003,PPO,-0.3392156862745098,Pathfinding8
81015,PPO,-0.4410256410256411,Pathfinding8
81026,PPO,-0.3402777777777778,Pathfinding8
81035,PPO,-0.44,Pathfinding8
81053,PPO,-0.35701754385964923,Pathfinding8
81064,PPO,-0.5041666666666667,Pathfinding8
81082,PPO,-0.34122807017543866,Pathfinding8
81098,PPO,-0.36078431372549025,Pathfinding8
81103,PPO,-0.5055555555555555,Pathfinding8
81119,PPO,-0.6088235294117648,Pathfinding8
81124,PPO,-0.6722222222222223,Pathfinding8
81128,PPO,-0.5333333333333333,Pathfinding8
81142,PPO,-0.4066666666666666,Pathfinding8
81151,PPO,-0.5066666666666666,Pathfinding8
81163,PPO,-0.5205128205128204,Pathfinding8
81167,PPO,-0.47333333333333333,Pathfinding8
81179,PPO,-0.5948717948717949,Pathfinding8
81184,PPO,-0.3972222222222222,Pathfinding8
81193,PPO,-0.5066666666666666,Pathfinding8
81209,PPO,-0.34215686274509804,Pathfinding8
81223,PPO,-0.3411111111111111,Pathfinding8
81237,PPO,-0.40555555555555556,Pathfinding8
81241,PPO,-0.6033333333333334,Pathfinding8
81253,PPO,-0.4192307692307692,Pathfinding8
81261,PPO,-0.5962962962962963,Pathfinding8
81272,PPO,-0.47777777777777775,Pathfinding8
81288,PPO,-0.45392156862745103,Pathfinding8
81297,PPO,-0.5700000000000001,Pathfinding8
81306,PPO,-0.5066666666666666,Pathfinding8
81315,PPO,-0.5066666666666666,Pathfinding8
81324,PPO,-0.375,Pathfinding8
81333,PPO,-0.5716666666666667,Pathfinding8
81344,PPO,-0.4527777777777777,Pathfinding8
81356,PPO,-0.491025641025641,Pathfinding8
81370,PPO,-0.42777777777777776,Pathfinding8
81378,PPO,-0.33888888888888885,Pathfinding8
81392,PPO,-0.5155555555555557,Pathfinding8
81393,PPO,-0.5,Pathfinding8
81405,PPO,-0.4935897435897436,Pathfinding8
81417,PPO,-0.3166666666666666,Pathfinding8
81425,PPO,-0.33888888888888885,Pathfinding8
81441,PPO,-0.3598039215686275,Pathfinding8
81449,PPO,-0.3037037037037037,Pathfinding8
81463,PPO,-0.2955555555555556,Pathfinding8
81465,PPO,-0.8888888888888888,Pathfinding8
81477,PPO,-0.291025641025641,Pathfinding8
81485,PPO,-0.3055555555555556,Pathfinding8
81497,PPO,-0.291025641025641,Pathfinding8
81509,PPO,-0.5410256410256411,Pathfinding8
81525,PPO,-0.4362745098039216,Pathfinding8
81534,PPO,-0.30666666666666664,Pathfinding8
81535,PPO,-0.5,Pathfinding8
81553,PPO,-0.3754385964912281,Pathfinding8
81564,PPO,-0.5305555555555556,Pathfinding8
81575,PPO,-0.44861111111111107,Pathfinding8
81584,PPO,-0.505,Pathfinding8
81598,PPO,-0.4066666666666667,Pathfinding8
81610,PPO,-0.5166666666666666,Pathfinding8
81622,PPO,-0.291025641025641,Pathfinding8
81634,PPO,-0.4666666666666667,Pathfinding8
81645,PPO,-0.4208333333333334,Pathfinding8
81661,PPO,-0.47549019607843135,Pathfinding8
81680,PPO,-0.4383333333333334,Pathfinding8
81689,PPO,-0.67,Pathfinding8
81700,PPO,-0.3138888888888889,Pathfinding8
81709,PPO,-0.375,Pathfinding8
81723,PPO,-0.5122222222222222,Pathfinding8
81739,PPO,-0.3235294117647059,Pathfinding8
81757,PPO,-0.4614035087719298,Pathfinding8
81765,PPO,-0.44999999999999996,Pathfinding8
81773,PPO,-0.3759259259259259,Pathfinding8
81784,PPO,-0.5347222222222222,Pathfinding8
81795,PPO,-0.5305555555555556,Pathfinding8
81807,PPO,-0.4897435897435898,Pathfinding8
81820,PPO,-0.10686274509803918,Pathfinding8
81838,PPO,-0.34210526315789475,Pathfinding8
81854,PPO,-0.4176470588235294,Pathfinding8
81872,PPO,-0.4263157894736842,Pathfinding8
81884,PPO,-0.291025641025641,Pathfinding8
81888,PPO,-0.20666666666666664,Pathfinding8
81916,PPO,-0.46321839080459776,Pathfinding8
81919,PPO,-0.13999999999999999,Pathfinding8
81924,PPO,-0.6138888888888889,Pathfinding8
81935,PPO,-0.4222222222222222,Pathfinding8
81943,PPO,-0.33888888888888885,Pathfinding8
81959,PPO,-0.3794117647058824,Pathfinding8
81961,PPO,-0.5555555555555556,Pathfinding8
81969,PPO,-0.5592592592592592,Pathfinding8
81977,PPO,-0.487037037037037,Pathfinding8
81985,PPO,-0.4888888888888889,Pathfinding8
81997,PPO,-0.5935897435897436,Pathfinding8
82009,PPO,-0.4923076923076924,Pathfinding8
82018,PPO,-0.3416666666666667,Pathfinding8
82027,PPO,-0.505,Pathfinding8
82043,PPO,-0.515686274509804,Pathfinding8
82061,PPO,-0.3228070175438596,Pathfinding8
82077,PPO,-0.20490196078431372,Pathfinding8
82096,PPO,-0.3266666666666666,Pathfinding8
82108,PPO,-0.19102564102564099,Pathfinding8
82119,PPO,-0.3930555555555556,Pathfinding8
82128,PPO,-0.5716666666666667,Pathfinding8
82137,PPO,-0.47000000000000003,Pathfinding8
82149,PPO,-0.41666666666666674,Pathfinding8
82170,PPO,-0.39848484848484855,Pathfinding8
82178,PPO,-0.5203703703703704,Pathfinding8
82194,PPO,-0.3598039215686275,Pathfinding8
82198,PPO,-0.20666666666666664,Pathfinding8
82210,PPO,-0.5153846153846154,Pathfinding8
82224,PPO,-0.4055555555555556,Pathfinding8
82226,PPO,-0.5555555555555556,Pathfinding8
82231,PPO,-0.17499999999999996,Pathfinding8
82235,PPO,-0.6033333333333334,Pathfinding8
82249,PPO,-0.38444444444444437,Pathfinding8
82261,PPO,-0.2897435897435897,Pathfinding8
82269,PPO,-0.4166666666666667,Pathfinding8
82278,PPO,-0.43666666666666665,Pathfinding8
82294,PPO,-0.4166666666666667,Pathfinding8
82303,PPO,-0.4716666666666666,Pathfinding8
82314,PPO,-0.09777777777777774,Pathfinding8
82319,PPO,-0.6722222222222223,Pathfinding8
82331,PPO,-0.5179487179487179,Pathfinding8
82349,PPO,-0.30526315789473696,Pathfinding8
82353,PPO,-0.4033333333333333,Pathfinding8
82365,PPO,-0.38974358974358975,Pathfinding8
82376,PPO,-0.4208333333333333,Pathfinding8
82392,PPO,-0.4725490196078432,Pathfinding8
82411,PPO,-0.37416666666666665,Pathfinding8
82414,PPO,-0.13999999999999999,Pathfinding8
82422,PPO,-0.5222222222222223,Pathfinding8
82438,PPO,-0.4950980392156863,Pathfinding8
82443,PPO,-0.6111111111111112,Pathfinding8
82447,PPO,-0.6,Pathfinding8
82466,PPO,-0.4066666666666666,Pathfinding8
82474,PPO,-0.4888888888888889,Pathfinding8
82475,PPO,-0.5,Pathfinding8
82486,PPO,-0.2847222222222222,Pathfinding8
82495,PPO,-0.5066666666666666,Pathfinding8
82513,PPO,-0.37543859649122807,Pathfinding8
82517,PPO,-0.47,Pathfinding8
82542,PPO,-0.41474358974358977,Pathfinding8
82553,PPO,-0.44999999999999996,Pathfinding8
82562,PPO,-0.6366666666666667,Pathfinding8
82587,PPO,-0.3647435897435898,Pathfinding8
82598,PPO,-0.2847222222222222,Pathfinding8
82612,PPO,-0.5144444444444445,Pathfinding8
82621,PPO,-0.4716666666666666,Pathfinding8
82632,PPO,-0.26111111111111107,Pathfinding8
82634,PPO,-0.5555555555555556,Pathfinding8
82645,PPO,-0.3930555555555556,Pathfinding8
82657,PPO,-0.341025641025641,Pathfinding8
82671,PPO,-0.5366666666666666,Pathfinding8
82687,PPO,-0.28235294117647064,Pathfinding8
82701,PPO,-0.3388888888888889,Pathfinding8
82715,PPO,-0.34111111111111114,Pathfinding8
82727,PPO,-0.41794871794871796,Pathfinding8
82741,PPO,-0.38333333333333336,Pathfinding8
82743,PPO,-0.8888888888888888,Pathfinding8
82761,PPO,-0.3052631578947369,Pathfinding8
82769,PPO,-0.2296296296296296,Pathfinding8
82783,PPO,-0.4933333333333333,Pathfinding8
82799,PPO,-0.34215686274509804,Pathfinding8
82807,PPO,-0.5555555555555556,Pathfinding8
82815,PPO,-0.44999999999999996,Pathfinding8
82831,PPO,-0.5147058823529411,Pathfinding8
82840,PPO,-0.4366666666666667,Pathfinding8
82851,PPO,-0.4222222222222223,Pathfinding8
82870,PPO,-0.4575000000000001,Pathfinding8
82882,PPO,-0.341025641025641,Pathfinding8
82896,PPO,-0.4488888888888889,Pathfinding8
82907,PPO,-0.3958333333333333,Pathfinding8
82908,PPO,-0.5,Pathfinding8
82922,PPO,-0.3422222222222222,Pathfinding8
82926,PPO,-0.20666666666666664,Pathfinding8
82940,PPO,-0.49444444444444446,Pathfinding8
82944,PPO,-0.20666666666666664,Pathfinding8
82956,PPO,-0.5666666666666667,Pathfinding8
82964,PPO,-0.5611111111111111,Pathfinding8
82969,PPO,-0.6138888888888889,Pathfinding8
82978,PPO,-0.5366666666666667,Pathfinding8
82983,PPO,-0.5555555555555556,Pathfinding8
82995,PPO,-0.5166666666666666,Pathfinding8
83013,PPO,-0.41052631578947374,Pathfinding8
83035,PPO,-0.3420289855072464,Pathfinding8
83039,PPO,-0.5333333333333333,Pathfinding8
83064,PPO,-0.3532051282051283,Pathfinding8
83073,PPO,-0.37166666666666665,Pathfinding8
83078,PPO,-0.44722222222222224,Pathfinding8
83096,PPO,-0.40877192982456145,Pathfinding8
83101,PPO,-0.7222222222222222,Pathfinding8
83106,PPO,-0.5555555555555556,Pathfinding8
83115,PPO,-0.67,Pathfinding8
83126,PPO,-0.5041666666666667,Pathfinding8
83155,PPO,-0.35111111111111115,Pathfinding8
83163,PPO,-0.4148148148148148,Pathfinding8
83172,PPO,-0.6016666666666667,Pathfinding8
83188,PPO,-0.4568627450980392,Pathfinding8
83197,PPO,-0.5700000000000001,Pathfinding8
83211,PPO,-0.42888888888888893,Pathfinding8
