networksteps,algo,score,env
5261,DQNCBP,-0.3114794577136966,
10341,DQNCBP,-0.3425102491327864,
13767,DQNCBP,-0.33675471573672466,
21661,DQNCBP,-0.30610080988916016,
26815,DQNCBP,-0.3271865642809064,
34379,DQNCBP,-0.4048649956970651,
38980,DQNCBP,-0.3585944347063926,
45792,DQNCBP,-0.31151643383977345,
51072,DQNCBP,-0.32944234145273094,
55040,DQNCBP,-0.36843371494941424,
57810,DQNCBP,-0.29956024140723964,
63125,DQNCBP,-0.3741082779412307,
66015,DQNCBP,-0.33953867071398475,
74439,DQNCBP,-0.36651366789062084,
79319,DQNCBP,-0.32299341656434627,
84870,DQNCBP,-0.3476681497514841,
84884,DQNCBP,-0.4922222222222223,Pathfinding8
84892,DQNCBP,-0.3759259259259259,Pathfinding8
84908,DQNCBP,-0.5686274509803921,Pathfinding8
84916,DQNCBP,-0.5592592592592592,Pathfinding8
84925,DQNCBP,-0.6016666666666667,Pathfinding8
84930,DQNCBP,-0.7222222222222222,Pathfinding8
84944,DQNCBP,-0.3422222222222222,Pathfinding8
84953,DQNCBP,-0.3416666666666667,Pathfinding8
84958,DQNCBP,-0.6138888888888889,Pathfinding8
84972,DQNCBP,-0.29555555555555557,Pathfinding8
84988,DQNCBP,-0.4745098039215686,Pathfinding8
85007,DQNCBP,-0.2583333333333333,Pathfinding8
85023,DQNCBP,-0.511764705882353,Pathfinding8
85034,DQNCBP,-0.3138888888888889,Pathfinding8
85045,DQNCBP,-0.6416666666666667,Pathfinding8
85059,DQNCBP,-0.40555555555555556,Pathfinding8
85077,DQNCBP,-0.4087719298245614,Pathfinding8
85088,DQNCBP,-0.3680555555555556,Pathfinding8
85100,DQNCBP,-0.5153846153846154,Pathfinding8
85104,DQNCBP,-0.5333333333333333,Pathfinding8
85109,DQNCBP,-0.6138888888888889,Pathfinding8
85111,DQNCBP,-0.6666666666666666,Pathfinding8
85114,DQNCBP,-0.13999999999999999,Pathfinding8
85125,DQNCBP,-0.47638888888888886,Pathfinding8
85134,DQNCBP,-0.6666666666666666,Pathfinding8
85143,DQNCBP,-0.5666666666666667,Pathfinding8
85157,DQNCBP,-0.29555555555555557,Pathfinding8
85168,DQNCBP,-0.4222222222222222,Pathfinding8
85173,DQNCBP,-0.5055555555555555,Pathfinding8
