networksteps,algo,score,env
5019,DQNCBP,-0.3130506554848855,
15199,DQNCBP,-0.3290665210002388,
17430,DQNCBP,-0.34339509862524026,
25304,DQNCBP,-0.3247097133230882,
28247,DQNCBP,-0.36319727891158327,
35523,DQNCBP,-0.3494253602062173,
40572,DQNCBP,-0.317076039902145,
43714,DQNCBP,-0.3742392566782907,
48766,DQNCBP,-0.3346023024594639,
51567,DQNCBP,-0.34503043750357426,
55364,DQNCBP,-0.3732913669064871,
60012,DQNCBP,-0.3488994961548673,
66180,DQNCBP,-0.35305457782095634,
69800,DQNCBP,-0.3572114929470918,
72903,DQNCBP,-0.41252850435949207,
78845,DQNCBP,-0.36293451899758167,
81860,DQNCBP,-0.36081468732071514,
81871,DQNCBP,-0.3680555555555556,Pathfinding8
81876,DQNCBP,-0.17499999999999996,Pathfinding8
81877,DQNCBP,-0.5,Pathfinding8
81882,DQNCBP,-0.44722222222222224,Pathfinding8
81900,DQNCBP,-0.4605263157894737,Pathfinding8
81909,DQNCBP,-0.4716666666666666,Pathfinding8
81918,DQNCBP,-0.5016666666666667,Pathfinding8
81927,DQNCBP,-0.43666666666666665,Pathfinding8
81945,DQNCBP,-0.4254385964912281,Pathfinding8
81957,DQNCBP,-0.5666666666666667,Pathfinding8
81969,DQNCBP,-0.3141025641025641,Pathfinding8
81980,DQNCBP,-0.33888888888888885,Pathfinding8
81992,DQNCBP,-0.391025641025641,Pathfinding8
82008,DQNCBP,-0.39705882352941174,Pathfinding8
82013,DQNCBP,-0.5055555555555555,Pathfinding8
82022,DQNCBP,-0.44,Pathfinding8
82031,DQNCBP,-0.5016666666666667,Pathfinding8
82047,DQNCBP,-0.47549019607843135,Pathfinding8
82056,DQNCBP,-0.5366666666666667,Pathfinding8
82064,DQNCBP,-0.5555555555555556,Pathfinding8
82069,DQNCBP,-0.7222222222222222,Pathfinding8
82081,DQNCBP,-0.5166666666666666,Pathfinding8
82090,DQNCBP,-0.5716666666666667,Pathfinding8
82099,DQNCBP,-0.5016666666666667,Pathfinding8
82104,DQNCBP,-0.6138888888888889,Pathfinding8
82113,DQNCBP,-0.44166666666666665,Pathfinding8
82127,DQNCBP,-0.4477777777777777,Pathfinding8
82135,DQNCBP,-0.09166666666666663,Pathfinding8
82144,DQNCBP,-0.4716666666666666,Pathfinding8
82173,DQNCBP,-0.2972222222222223,Pathfinding8
82184,DQNCBP,-0.5875,Pathfinding8
82195,DQNCBP,-0.4208333333333333,Pathfinding8
82206,DQNCBP,-0.4513888888888889,Pathfinding8
82224,DQNCBP,-0.3070175438596492,Pathfinding8
82236,DQNCBP,-0.19102564102564099,Pathfinding8
82241,DQNCBP,-0.33888888888888885,Pathfinding8
82243,DQNCBP,-0.5555555555555556,Pathfinding8
82251,DQNCBP,-0.5222222222222223,Pathfinding8
82263,DQNCBP,-0.4935897435897436,Pathfinding8
82271,DQNCBP,-0.09166666666666663,Pathfinding8
82292,DQNCBP,-0.46060606060606063,Pathfinding8
82303,DQNCBP,-0.5013888888888889,Pathfinding8
82308,DQNCBP,-0.7222222222222222,Pathfinding8
82320,DQNCBP,-0.4897435897435898,Pathfinding8
82325,DQNCBP,-0.5555555555555556,Pathfinding8
82341,DQNCBP,-0.3431372549019608,Pathfinding8
82355,DQNCBP,-0.3422222222222222,Pathfinding8
82367,DQNCBP,-0.41794871794871785,Pathfinding8
82371,DQNCBP,-0.6033333333333334,Pathfinding8
82383,DQNCBP,-0.441025641025641,Pathfinding8
82394,DQNCBP,-0.3680555555555556,Pathfinding8
82413,DQNCBP,-0.3408333333333333,Pathfinding8
82431,DQNCBP,-0.37368421052631584,Pathfinding8
82439,DQNCBP,-0.4111111111111111,Pathfinding8
82440,DQNCBP,-0.5,Pathfinding8
82449,DQNCBP,-0.5366666666666667,Pathfinding8
82463,DQNCBP,-0.2955555555555556,Pathfinding8
82479,DQNCBP,-0.4186274509803921,Pathfinding8
82508,DQNCBP,-0.4166666666666667,Pathfinding8
82516,DQNCBP,-0.5555555555555556,Pathfinding8
82527,DQNCBP,-0.5555555555555556,Pathfinding8
82543,DQNCBP,-0.4549019607843137,Pathfinding8
82547,DQNCBP,-0.6033333333333334,Pathfinding8
82561,DQNCBP,-0.42888888888888893,Pathfinding8
82575,DQNCBP,-0.4488888888888889,Pathfinding8
82603,DQNCBP,-0.30632183908045985,Pathfinding8
82611,DQNCBP,-0.5574074074074075,Pathfinding8
82619,DQNCBP,-0.5944444444444444,Pathfinding8
82630,DQNCBP,-0.3930555555555556,Pathfinding8
82638,DQNCBP,-0.48333333333333334,Pathfinding8
82647,DQNCBP,-0.43666666666666665,Pathfinding8
82652,DQNCBP,-0.39444444444444443,Pathfinding8
82670,DQNCBP,-0.44385964912280707,Pathfinding8
82675,DQNCBP,-0.5611111111111111,Pathfinding8
82683,DQNCBP,-0.5944444444444444,Pathfinding8
82702,DQNCBP,-0.5183333333333333,Pathfinding8
82720,DQNCBP,-0.3570175438596491,Pathfinding8
82725,DQNCBP,-0.5027777777777778,Pathfinding8
82739,DQNCBP,-0.33888888888888896,Pathfinding8
82757,DQNCBP,-0.424561403508772,Pathfinding8
82769,DQNCBP,-0.3897435897435898,Pathfinding8
82787,DQNCBP,-0.5289473684210527,Pathfinding8
82813,DQNCBP,-0.36358024691358026,Pathfinding8
82827,DQNCBP,-0.5133333333333334,Pathfinding8
82838,DQNCBP,-0.5597222222222222,Pathfinding8
82846,DQNCBP,-0.5555555555555556,Pathfinding8
82857,DQNCBP,-0.5583333333333333,Pathfinding8
82868,DQNCBP,-0.2847222222222222,Pathfinding8
82870,DQNCBP,-0.5555555555555556,Pathfinding8
82875,DQNCBP,-0.6138888888888889,Pathfinding8
82880,DQNCBP,-0.5555555555555556,Pathfinding8
82888,DQNCBP,-0.5555555555555556,Pathfinding8
82899,DQNCBP,-0.5291666666666667,Pathfinding8
82903,DQNCBP,-0.6033333333333334,Pathfinding8
82907,DQNCBP,-0.5333333333333333,Pathfinding8
82912,DQNCBP,-0.44722222222222224,Pathfinding8
82921,DQNCBP,-0.5716666666666667,Pathfinding8
82933,DQNCBP,-0.3641025641025642,Pathfinding8
82945,DQNCBP,-0.4641025641025641,Pathfinding8
82959,DQNCBP,-0.5122222222222222,Pathfinding8
82964,DQNCBP,-0.44722222222222224,Pathfinding8
82985,DQNCBP,-0.5022727272727273,Pathfinding8
82996,DQNCBP,-0.36666666666666675,Pathfinding8
83008,DQNCBP,-0.341025641025641,Pathfinding8
83019,DQNCBP,-0.4486111111111112,Pathfinding8
83030,DQNCBP,-0.47500000000000003,Pathfinding8
83048,DQNCBP,-0.3912280701754386,Pathfinding8
83062,DQNCBP,-0.25222222222222224,Pathfinding8
83087,DQNCBP,-0.45448717948717954,Pathfinding8
83092,DQNCBP,-0.33888888888888885,Pathfinding8
83103,DQNCBP,-0.6125,Pathfinding8
83121,DQNCBP,-0.37456140350877204,Pathfinding8
83130,DQNCBP,-0.5666666666666667,Pathfinding8
83141,DQNCBP,-0.5847222222222223,Pathfinding8
83150,DQNCBP,-0.6366666666666667,Pathfinding8
83171,DQNCBP,-0.5757575757575758,Pathfinding8
83180,DQNCBP,-0.5366666666666667,Pathfinding8
83194,DQNCBP,-0.47111111111111115,Pathfinding8
83205,DQNCBP,-0.5305555555555556,Pathfinding8
83224,DQNCBP,-0.4216666666666667,Pathfinding8
83228,DQNCBP,-0.4033333333333333,Pathfinding8
83233,DQNCBP,-0.44722222222222224,Pathfinding8
83252,DQNCBP,-0.40583333333333343,Pathfinding8
83261,DQNCBP,-0.5366666666666667,Pathfinding8
83275,DQNCBP,-0.4066666666666667,Pathfinding8
83287,DQNCBP,-0.3141025641025641,Pathfinding8
83298,DQNCBP,-0.5305555555555556,Pathfinding8
83303,DQNCBP,-0.5055555555555555,Pathfinding8
83314,DQNCBP,-0.4222222222222222,Pathfinding8
83318,DQNCBP,-0.5333333333333333,Pathfinding8
83327,DQNCBP,-0.4066666666666666,Pathfinding8
83338,DQNCBP,-0.36666666666666664,Pathfinding8
83347,DQNCBP,-0.535,Pathfinding8
83361,DQNCBP,-0.5344444444444445,Pathfinding8
83366,DQNCBP,-0.5555555555555556,Pathfinding8
83377,DQNCBP,-0.3125,Pathfinding8
83381,DQNCBP,-0.7333333333333333,Pathfinding8
83390,DQNCBP,-0.30666666666666664,Pathfinding8
83398,DQNCBP,-0.44814814814814813,Pathfinding8
83414,DQNCBP,-0.37843137254901954,Pathfinding8
83426,DQNCBP,-0.2897435897435897,Pathfinding8
83435,DQNCBP,-0.5366666666666667,Pathfinding8
83446,DQNCBP,-0.39444444444444443,Pathfinding8
83460,DQNCBP,-0.2955555555555556,Pathfinding8
83468,DQNCBP,-0.5185185185185185,Pathfinding8
83477,DQNCBP,-0.5700000000000001,Pathfinding8
83486,DQNCBP,-0.4716666666666666,Pathfinding8
83491,DQNCBP,-0.5027777777777778,Pathfinding8
83502,DQNCBP,-0.36666666666666664,Pathfinding8
83507,DQNCBP,-0.5555555555555556,Pathfinding8
83508,DQNCBP,-0.5,Pathfinding8
83517,DQNCBP,-0.5033333333333333,Pathfinding8
83526,DQNCBP,-0.535,Pathfinding8
83540,DQNCBP,-0.5344444444444445,Pathfinding8
83552,DQNCBP,-0.4641025641025641,Pathfinding8
83566,DQNCBP,-0.47111111111111115,Pathfinding8
83582,DQNCBP,-0.5892156862745098,Pathfinding8
83590,DQNCBP,-0.5222222222222223,Pathfinding8
83602,DQNCBP,-0.5410256410256411,Pathfinding8
83611,DQNCBP,-0.37166666666666665,Pathfinding8
83623,DQNCBP,-0.41410256410256413,Pathfinding8
83637,DQNCBP,-0.4722222222222222,Pathfinding8
83646,DQNCBP,-0.7016666666666667,Pathfinding8
