networksteps,algo,completions,env
6272,DQNMAS,0.0,
12001,DQNMAS,0.07142857142857142,
17417,DQNMAS,0.0,
21516,DQNMAS,0.0,
26689,DQNMAS,0.14285714285714285,
31527,DQNMAS,0.07142857142857142,
34994,DQNMAS,0.0,
40367,DQNMAS,0.07142857142857142,
46693,DQNMAS,0.0,
51110,DQNMAS,0.0,
53879,DQNMAS,0.07142857142857142,
56848,DQNMAS,0.14285714285714285,
60514,DQNMAS,0.07142857142857142,
66331,DQNMAS,0.21428571428571427,
69235,DQNMAS,0.21428571428571427,
76977,DQNMAS,0.0,
81378,DQNMAS,0.0,
81383,DQNMAS,0.0,Pathfinding8
81394,DQNMAS,0.0,Pathfinding8
81396,DQNMAS,0.0,Pathfinding8
81405,DQNMAS,0.0,Pathfinding8
81419,DQNMAS,0.0,Pathfinding8
81428,DQNMAS,0.0,Pathfinding8
81440,DQNMAS,0.0,Pathfinding8
81452,DQNMAS,0.0,Pathfinding8
81466,DQNMAS,0.0,Pathfinding8
81468,DQNMAS,0.0,Pathfinding8
81482,DQNMAS,0.0,Pathfinding8
81487,DQNMAS,1.0,Pathfinding8
81498,DQNMAS,0.0,Pathfinding8
81509,DQNMAS,0.0,Pathfinding8
81513,DQNMAS,0.0,Pathfinding8
81521,DQNMAS,0.0,Pathfinding8
81533,DQNMAS,0.0,Pathfinding8
81545,DQNMAS,0.0,Pathfinding8
81550,DQNMAS,0.0,Pathfinding8
81559,DQNMAS,0.0,Pathfinding8
81575,DQNMAS,0.0,Pathfinding8
81580,DQNMAS,0.0,Pathfinding8
81596,DQNMAS,0.0,Pathfinding8
81607,DQNMAS,0.0,Pathfinding8
81616,DQNMAS,0.0,Pathfinding8
81634,DQNMAS,0.0,Pathfinding8
81636,DQNMAS,0.0,Pathfinding8
81648,DQNMAS,0.0,Pathfinding8
81653,DQNMAS,0.0,Pathfinding8
81667,DQNMAS,0.0,Pathfinding8
81675,DQNMAS,0.0,Pathfinding8
81679,DQNMAS,0.0,Pathfinding8
81680,DQNMAS,0.0,Pathfinding8
81681,DQNMAS,0.0,Pathfinding8
81699,DQNMAS,0.0,Pathfinding8
81710,DQNMAS,0.0,Pathfinding8
81711,DQNMAS,0.0,Pathfinding8
81725,DQNMAS,0.0,Pathfinding8
81741,DQNMAS,0.0,Pathfinding8
81753,DQNMAS,0.0,Pathfinding8
81757,DQNMAS,0.0,Pathfinding8
81762,DQNMAS,0.0,Pathfinding8
81770,DQNMAS,0.0,Pathfinding8
81784,DQNMAS,0.0,Pathfinding8
81793,DQNMAS,0.0,Pathfinding8
81795,DQNMAS,1.0,Pathfinding8
81807,DQNMAS,0.0,Pathfinding8
81818,DQNMAS,0.0,Pathfinding8
81829,DQNMAS,0.0,Pathfinding8
81837,DQNMAS,0.0,Pathfinding8
81855,DQNMAS,0.0,Pathfinding8
81863,DQNMAS,0.0,Pathfinding8
81872,DQNMAS,0.0,Pathfinding8
81880,DQNMAS,0.0,Pathfinding8
81892,DQNMAS,0.0,Pathfinding8
81897,DQNMAS,0.0,Pathfinding8
81913,DQNMAS,0.0,Pathfinding8
81922,DQNMAS,0.0,Pathfinding8
81936,DQNMAS,0.0,Pathfinding8
81954,DQNMAS,0.0,Pathfinding8
81966,DQNMAS,0.0,Pathfinding8
81971,DQNMAS,0.0,Pathfinding8
81992,DQNMAS,0.0,Pathfinding8
82010,DQNMAS,0.0,Pathfinding8
82019,DQNMAS,0.0,Pathfinding8
82033,DQNMAS,0.0,Pathfinding8
82042,DQNMAS,0.0,Pathfinding8
82051,DQNMAS,0.0,Pathfinding8
82072,DQNMAS,0.0,Pathfinding8
82084,DQNMAS,0.0,Pathfinding8
82102,DQNMAS,0.0,Pathfinding8
82110,DQNMAS,0.0,Pathfinding8
82115,DQNMAS,1.0,Pathfinding8
82117,DQNMAS,0.0,Pathfinding8
82122,DQNMAS,0.0,Pathfinding8
82138,DQNMAS,0.0,Pathfinding8
82152,DQNMAS,0.0,Pathfinding8
82160,DQNMAS,0.0,Pathfinding8
82165,DQNMAS,0.0,Pathfinding8
82177,DQNMAS,0.0,Pathfinding8
82188,DQNMAS,0.0,Pathfinding8
82199,DQNMAS,0.0,Pathfinding8
82221,DQNMAS,0.0,Pathfinding8
82235,DQNMAS,0.0,Pathfinding8
82246,DQNMAS,0.0,Pathfinding8
82254,DQNMAS,0.0,Pathfinding8
82273,DQNMAS,0.0,Pathfinding8
82285,DQNMAS,0.0,Pathfinding8
82289,DQNMAS,0.0,Pathfinding8
82300,DQNMAS,0.0,Pathfinding8
82314,DQNMAS,0.0,Pathfinding8
82319,DQNMAS,0.0,Pathfinding8
82331,DQNMAS,0.0,Pathfinding8
82342,DQNMAS,0.0,Pathfinding8
82354,DQNMAS,0.0,Pathfinding8
82359,DQNMAS,0.0,Pathfinding8
82375,DQNMAS,0.0,Pathfinding8
82389,DQNMAS,0.0,Pathfinding8
82410,DQNMAS,0.0,Pathfinding8
82429,DQNMAS,0.0,Pathfinding8
82447,DQNMAS,0.0,Pathfinding8
82461,DQNMAS,0.0,Pathfinding8
82473,DQNMAS,0.0,Pathfinding8
82482,DQNMAS,0.0,Pathfinding8
82496,DQNMAS,0.0,Pathfinding8
82517,DQNMAS,0.0,Pathfinding8
82519,DQNMAS,0.0,Pathfinding8
82535,DQNMAS,0.0,Pathfinding8
82551,DQNMAS,0.0,Pathfinding8
82555,DQNMAS,0.0,Pathfinding8
82560,DQNMAS,0.0,Pathfinding8
82589,DQNMAS,0.0,Pathfinding8
82601,DQNMAS,0.0,Pathfinding8
82609,DQNMAS,0.0,Pathfinding8
82621,DQNMAS,0.0,Pathfinding8
82632,DQNMAS,0.0,Pathfinding8
82646,DQNMAS,0.0,Pathfinding8
82654,DQNMAS,0.0,Pathfinding8
82659,DQNMAS,0.0,Pathfinding8
82667,DQNMAS,0.0,Pathfinding8
82675,DQNMAS,0.0,Pathfinding8
82684,DQNMAS,0.0,Pathfinding8
82689,DQNMAS,0.0,Pathfinding8
82700,DQNMAS,0.0,Pathfinding8
82711,DQNMAS,0.0,Pathfinding8
82720,DQNMAS,0.0,Pathfinding8
82736,DQNMAS,0.0,Pathfinding8
82750,DQNMAS,0.0,Pathfinding8
82766,DQNMAS,0.0,Pathfinding8
82771,DQNMAS,0.0,Pathfinding8
82783,DQNMAS,0.0,Pathfinding8
82795,DQNMAS,0.0,Pathfinding8
82806,DQNMAS,0.0,Pathfinding8
82818,DQNMAS,0.0,Pathfinding8
82826,DQNMAS,0.0,Pathfinding8
82827,DQNMAS,0.0,Pathfinding8
82836,DQNMAS,0.0,Pathfinding8
82850,DQNMAS,0.0,Pathfinding8
82864,DQNMAS,0.0,Pathfinding8
82875,DQNMAS,0.0,Pathfinding8
82884,DQNMAS,0.0,Pathfinding8
82892,DQNMAS,0.0,Pathfinding8
82906,DQNMAS,0.0,Pathfinding8
82915,DQNMAS,0.0,Pathfinding8
82926,DQNMAS,0.0,Pathfinding8
82934,DQNMAS,0.0,Pathfinding8
82943,DQNMAS,0.0,Pathfinding8
82964,DQNMAS,0.0,Pathfinding8
82972,DQNMAS,0.0,Pathfinding8
82990,DQNMAS,0.0,Pathfinding8
83011,DQNMAS,0.0,Pathfinding8
83023,DQNMAS,0.0,Pathfinding8
83039,DQNMAS,0.0,Pathfinding8
83048,DQNMAS,0.0,Pathfinding8
83057,DQNMAS,0.0,Pathfinding8
83062,DQNMAS,0.0,Pathfinding8
83078,DQNMAS,0.0,Pathfinding8
83092,DQNMAS,0.0,Pathfinding8
83097,DQNMAS,0.0,Pathfinding8
83111,DQNMAS,0.0,Pathfinding8
83120,DQNMAS,0.0,Pathfinding8
83128,DQNMAS,0.0,Pathfinding8
83142,DQNMAS,0.0,Pathfinding8
83158,DQNMAS,0.0,Pathfinding8
83183,DQNMAS,0.0,Pathfinding8
83195,DQNMAS,0.0,Pathfinding8
83209,DQNMAS,0.0,Pathfinding8
83214,DQNMAS,0.0,Pathfinding8
83226,DQNMAS,0.0,Pathfinding8
83234,DQNMAS,0.0,Pathfinding8
83242,DQNMAS,0.0,Pathfinding8
83254,DQNMAS,0.0,Pathfinding8
83259,DQNMAS,1.0,Pathfinding8
83264,DQNMAS,0.0,Pathfinding8
83275,DQNMAS,0.0,Pathfinding8
83284,DQNMAS,0.0,Pathfinding8
83296,DQNMAS,0.0,Pathfinding8
83300,DQNMAS,0.0,Pathfinding8
83319,DQNMAS,0.0,Pathfinding8
83333,DQNMAS,0.0,Pathfinding8
83344,DQNMAS,0.0,Pathfinding8
