type,score,completions
"[[0], [1, 0]]","[[-0.3584854457804699], [-0.33398689724725694, -0.3502287250023365]]","[[0.3], [0.05, 0.025]]"
"[[0], [0, 1]]","[[-0.3342137245332351], [-0.34268474739815, -0.34492000451116195]]","[[0.3], [0.025, 0.0125]]"
"[[0], [0, 1]]","[[-0.4044977150327164], [-0.34579932516202627, -0.36653748938415937]]","[[0.0], [0.025, 0.05]]"
"[[0], [0, 1]]","[[-0.3302818134329399], [-0.33748964069649295, -0.3502745302625453]]","[[0.1], [0.0125, 0.0]]"
"[[0], [1, 0]]","[[-0.3213234802175734], [-0.34426576678109677, -0.3447368835056489]]","[[0.1], [0.0, 0.0125]]"
"[[0], [0, 1]]","[[-0.33515670055088104], [-0.3194326070429035, -0.3415534787754459]]","[[0.2], [0.0125, 0.0375]]"
"[[0], [0, 1]]","[[-0.20606192867402892], [-0.3377949164539419, -0.3383497559395917]]","[[0.3], [0.075, 0.025]]"
"[[0], [0, 1]]","[[-0.32530267007537755], [-0.3376079689005705, -0.3618909984286189]]","[[0.1], [0.05, 0.0375]]"
"[[0], [1, 0]]","[[-0.27997211321510235], [-0.34760192814610313, -0.3511094202041156]]","[[0.1], [0.0625, 0.05]]"
"[[0], [1, 0]]","[[-0.42830931157401747], [-0.3384275658564293, -0.3487742664717687]]","[[0.2], [0.025, 0.0625]]"
