networksteps,algo,score,env
6272,DQNMAS,-0.34976190476192937,
12001,DQNMAS,-0.3633260006901567,
17417,DQNMAS,-0.353046918031171,
21516,DQNMAS,-0.33726921226919104,
26689,DQNMAS,-0.32031662489555485,
31527,DQNMAS,-0.32940384379974913,
34994,DQNMAS,-0.3314795072257985,
40367,DQNMAS,-0.3225201207243287,
46693,DQNMAS,-0.3768187033849753,
51110,DQNMAS,-0.39985073540120725,
53879,DQNMAS,-0.35230197024529186,
56848,DQNMAS,-0.3503237025147282,
60514,DQNMAS,-0.2926995972518554,
66331,DQNMAS,-0.2964770139999225,
69235,DQNMAS,-0.31408849684454204,
76977,DQNMAS,-0.36664289236405495,
81378,DQNMAS,-0.3893311634998958,
81383,DQNMAS,-0.33888888888888885,Pathfinding8
81394,DQNMAS,-0.47500000000000003,Pathfinding8
81396,DQNMAS,-0.5555555555555556,Pathfinding8
81405,DQNMAS,-0.43666666666666665,Pathfinding8
81419,DQNMAS,-0.36222222222222217,Pathfinding8
81428,DQNMAS,-0.5666666666666667,Pathfinding8
81440,DQNMAS,-0.391025641025641,Pathfinding8
81452,DQNMAS,-0.491025641025641,Pathfinding8
81466,DQNMAS,-0.31777777777777777,Pathfinding8
81468,DQNMAS,-0.8888888888888888,Pathfinding8
81482,DQNMAS,-0.4055555555555556,Pathfinding8
81487,DQNMAS,-0.08148148148148146,Pathfinding8
81498,DQNMAS,-0.3958333333333333,Pathfinding8
81509,DQNMAS,-0.4486111111111112,Pathfinding8
81513,DQNMAS,-0.5333333333333333,Pathfinding8
81521,DQNMAS,-0.4111111111111111,Pathfinding8
81533,DQNMAS,-0.4923076923076924,Pathfinding8
81545,DQNMAS,-0.391025641025641,Pathfinding8
81550,DQNMAS,-0.33888888888888885,Pathfinding8
81559,DQNMAS,-0.5366666666666667,Pathfinding8
81575,DQNMAS,-0.28235294117647064,Pathfinding8
81580,DQNMAS,-0.33888888888888885,Pathfinding8
81596,DQNMAS,-0.26568627450980387,Pathfinding8
81607,DQNMAS,-0.5847222222222223,Pathfinding8
81616,DQNMAS,-0.5383333333333333,Pathfinding8
81634,DQNMAS,-0.46052631578947373,Pathfinding8
81636,DQNMAS,-0.6666666666666666,Pathfinding8
81648,DQNMAS,-0.3141025641025641,Pathfinding8
81653,DQNMAS,-0.7222222222222222,Pathfinding8
81667,DQNMAS,-0.5777777777777777,Pathfinding8
81675,DQNMAS,-0.37777777777777777,Pathfinding8
81679,DQNMAS,-0.5333333333333333,Pathfinding8
81680,DQNMAS,-0.5,Pathfinding8
81681,DQNMAS,-0.5,Pathfinding8
81699,DQNMAS,-0.39298245614035093,Pathfinding8
81710,DQNMAS,-0.42500000000000004,Pathfinding8
81711,DQNMAS,-0.5,Pathfinding8
81725,DQNMAS,-0.5333333333333333,Pathfinding8
81741,DQNMAS,-0.3225490196078431,Pathfinding8
81753,DQNMAS,-0.5141025641025642,Pathfinding8
81757,DQNMAS,-0.4033333333333333,Pathfinding8
81762,DQNMAS,-0.44722222222222224,Pathfinding8
81770,DQNMAS,-0.37777777777777777,Pathfinding8
81784,DQNMAS,-0.5366666666666666,Pathfinding8
81793,DQNMAS,-0.5366666666666667,Pathfinding8
81795,DQNMAS,-0.22777777777777775,Pathfinding8
81807,DQNMAS,-0.5641025641025641,Pathfinding8
81818,DQNMAS,-0.47638888888888886,Pathfinding8
81829,DQNMAS,-0.4513888888888889,Pathfinding8
81837,DQNMAS,-0.44999999999999996,Pathfinding8
81855,DQNMAS,-0.3570175438596491,Pathfinding8
81863,DQNMAS,-0.5555555555555556,Pathfinding8
81872,DQNMAS,-0.4716666666666666,Pathfinding8
81880,DQNMAS,-0.5944444444444444,Pathfinding8
81892,DQNMAS,-0.5435897435897435,Pathfinding8
81897,DQNMAS,-0.6111111111111112,Pathfinding8
81913,DQNMAS,-0.47450980392156866,Pathfinding8
81922,DQNMAS,-0.5366666666666667,Pathfinding8
81936,DQNMAS,-0.4255555555555556,Pathfinding8
81954,DQNMAS,-0.37456140350877193,Pathfinding8
81966,DQNMAS,-0.36538461538461536,Pathfinding8
81971,DQNMAS,-0.6138888888888889,Pathfinding8
81992,DQNMAS,-0.32575757575757575,Pathfinding8
82010,DQNMAS,-0.30614035087719305,Pathfinding8
82019,DQNMAS,-0.6366666666666667,Pathfinding8
82033,DQNMAS,-0.4488888888888889,Pathfinding8
82042,DQNMAS,-0.37166666666666665,Pathfinding8
82051,DQNMAS,-0.5366666666666667,Pathfinding8
82072,DQNMAS,-0.4143939393939394,Pathfinding8
82084,DQNMAS,-0.46794871794871795,Pathfinding8
82102,DQNMAS,-0.4421052631578947,Pathfinding8
82110,DQNMAS,-0.5222222222222223,Pathfinding8
82115,DQNMAS,-0.17499999999999996,Pathfinding8
82117,DQNMAS,-0.8888888888888888,Pathfinding8
82122,DQNMAS,-0.44722222222222224,Pathfinding8
82138,DQNMAS,-0.5323529411764706,Pathfinding8
82152,DQNMAS,-0.40555555555555556,Pathfinding8
82160,DQNMAS,-0.5203703703703704,Pathfinding8
82165,DQNMAS,-0.5555555555555556,Pathfinding8
82177,DQNMAS,-0.36666666666666664,Pathfinding8
82188,DQNMAS,-0.33888888888888896,Pathfinding8
82199,DQNMAS,-0.5013888888888889,Pathfinding8
82221,DQNMAS,-0.2717391304347826,Pathfinding8
82235,DQNMAS,-0.3655555555555555,Pathfinding8
82246,DQNMAS,-0.3972222222222222,Pathfinding8
82254,DQNMAS,-0.37777777777777777,Pathfinding8
82273,DQNMAS,-0.3083333333333334,Pathfinding8
82285,DQNMAS,-0.341025641025641,Pathfinding8
82289,DQNMAS,-0.5333333333333333,Pathfinding8
82300,DQNMAS,-0.3138888888888889,Pathfinding8
82314,DQNMAS,-0.3388888888888889,Pathfinding8
82319,DQNMAS,-0.7805555555555556,Pathfinding8
82331,DQNMAS,-0.46794871794871795,Pathfinding8
82342,DQNMAS,-0.4513888888888889,Pathfinding8
82354,DQNMAS,-0.46794871794871795,Pathfinding8
82359,DQNMAS,-0.44722222222222224,Pathfinding8
82375,DQNMAS,-0.3774509803921569,Pathfinding8
82389,DQNMAS,-0.3411111111111111,Pathfinding8
82410,DQNMAS,-0.5212121212121213,Pathfinding8
82429,DQNMAS,-0.4366666666666667,Pathfinding8
82447,DQNMAS,-0.2710526315789475,Pathfinding8
82461,DQNMAS,-0.5155555555555555,Pathfinding8
82473,DQNMAS,-0.36538461538461536,Pathfinding8
82482,DQNMAS,-0.4066666666666666,Pathfinding8
82496,DQNMAS,-0.40888888888888886,Pathfinding8
82517,DQNMAS,-0.4287878787878787,Pathfinding8
82519,DQNMAS,-0.5555555555555556,Pathfinding8
82535,DQNMAS,-0.41862745098039217,Pathfinding8
82551,DQNMAS,-0.41960784313725497,Pathfinding8
82555,DQNMAS,-0.47333333333333333,Pathfinding8
82560,DQNMAS,-0.6138888888888889,Pathfinding8
82589,DQNMAS,-0.4388888888888889,Pathfinding8
82601,DQNMAS,-0.41794871794871796,Pathfinding8
82609,DQNMAS,-0.33888888888888885,Pathfinding8
82621,DQNMAS,-0.4897435897435898,Pathfinding8
82632,DQNMAS,-0.5291666666666667,Pathfinding8
82646,DQNMAS,-0.3611111111111111,Pathfinding8
82654,DQNMAS,-0.48518518518518516,Pathfinding8
82659,DQNMAS,-0.5555555555555556,Pathfinding8
82667,DQNMAS,-0.48333333333333334,Pathfinding8
82675,DQNMAS,-0.48333333333333334,Pathfinding8
82684,DQNMAS,-0.47,Pathfinding8
82689,DQNMAS,-0.5555555555555556,Pathfinding8
82700,DQNMAS,-0.4222222222222222,Pathfinding8
82711,DQNMAS,-0.5013888888888889,Pathfinding8
82720,DQNMAS,-0.5683333333333334,Pathfinding8
82736,DQNMAS,-0.4362745098039216,Pathfinding8
82750,DQNMAS,-0.5577777777777778,Pathfinding8
82766,DQNMAS,-0.39705882352941174,Pathfinding8
82771,DQNMAS,-0.5555555555555556,Pathfinding8
82783,DQNMAS,-0.4641025641025641,Pathfinding8
82795,DQNMAS,-0.3897435897435898,Pathfinding8
82806,DQNMAS,-0.33888888888888885,Pathfinding8
82818,DQNMAS,-0.4397435897435897,Pathfinding8
82826,DQNMAS,-0.37777777777777777,Pathfinding8
82827,DQNMAS,-0.5,Pathfinding8
82836,DQNMAS,-0.5716666666666667,Pathfinding8
82850,DQNMAS,-0.42777777777777776,Pathfinding8
82864,DQNMAS,-0.3411111111111111,Pathfinding8
82875,DQNMAS,-0.4222222222222222,Pathfinding8
82884,DQNMAS,-0.37166666666666665,Pathfinding8
82892,DQNMAS,-0.4111111111111111,Pathfinding8
82906,DQNMAS,-0.5555555555555556,Pathfinding8
82915,DQNMAS,-0.47000000000000003,Pathfinding8
82926,DQNMAS,-0.5583333333333333,Pathfinding8
82934,DQNMAS,-0.48333333333333334,Pathfinding8
82943,DQNMAS,-0.4716666666666666,Pathfinding8
82964,DQNMAS,-0.5174242424242426,Pathfinding8
82972,DQNMAS,-0.3759259259259259,Pathfinding8
82990,DQNMAS,-0.20350877192982453,Pathfinding8
83011,DQNMAS,-0.38484848484848494,Pathfinding8
83023,DQNMAS,-0.391025641025641,Pathfinding8
83039,DQNMAS,-0.30098039215686273,Pathfinding8
83048,DQNMAS,-0.5716666666666667,Pathfinding8
83057,DQNMAS,-0.43666666666666665,Pathfinding8
83062,DQNMAS,-0.7805555555555556,Pathfinding8
83078,DQNMAS,-0.45588235294117646,Pathfinding8
83092,DQNMAS,-0.4955555555555556,Pathfinding8
83097,DQNMAS,-0.6722222222222223,Pathfinding8
83111,DQNMAS,-0.44888888888888895,Pathfinding8
83120,DQNMAS,-0.5666666666666667,Pathfinding8
83128,DQNMAS,-0.6,Pathfinding8
83142,DQNMAS,-0.3177777777777779,Pathfinding8
83158,DQNMAS,-0.41666666666666674,Pathfinding8
83183,DQNMAS,-0.3935897435897437,Pathfinding8
83195,DQNMAS,-0.4641025641025641,Pathfinding8
83209,DQNMAS,-0.40555555555555556,Pathfinding8
83214,DQNMAS,-0.6138888888888889,Pathfinding8
83226,DQNMAS,-0.4435897435897436,Pathfinding8
83234,DQNMAS,-0.37777777777777777,Pathfinding8
83242,DQNMAS,-0.4111111111111111,Pathfinding8
83254,DQNMAS,-0.3923076923076923,Pathfinding8
83259,DQNMAS,-0.17499999999999996,Pathfinding8
83264,DQNMAS,-0.39444444444444443,Pathfinding8
83275,DQNMAS,-0.4486111111111112,Pathfinding8
83284,DQNMAS,-0.5366666666666667,Pathfinding8
83296,DQNMAS,-0.46794871794871795,Pathfinding8
83300,DQNMAS,-0.5333333333333333,Pathfinding8
83319,DQNMAS,-0.3891666666666667,Pathfinding8
83333,DQNMAS,-0.3822222222222222,Pathfinding8
83344,DQNMAS,-0.5583333333333333,Pathfinding8
83366,DQNMAS,-0.455072463768116,Pathfinding8
83391,DQNMAS,-0.37628205128205133,Pathfinding8
83399,DQNMAS,-0.5222222222222223,Pathfinding8
83413,DQNMAS,-0.4255555555555556,Pathfinding8
