networksteps,algo,completions,env
2797,CDE0,0.2857142857142857,
6247,CDE0,0.0,
10195,CDE0,0.0,
13112,CDE0,0.07142857142857142,
15695,CDE0,0.0,
17862,CDE0,0.0,
20448,CDE0,0.0,
23447,CDE0,0.0,
26473,CDE0,0.0,
29187,CDE0,0.0,
31993,CDE0,0.0,
34110,CDE0,0.21428571428571427,
37048,CDE0,0.07142857142857142,
40378,CDE0,0.07142857142857142,
41921,CDE0,0.14285714285714285,
44487,CDE0,0.07142857142857142,
47697,CDE0,0.0,
50394,CDE0,0.0,
53344,CDE0,0.14285714285714285,
56992,CDE0,0.0,
59604,CDE0,0.14285714285714285,
61675,CDE0,0.07142857142857142,
64324,CDE0,0.0,
68362,CDE0,0.0,
71865,CDE0,0.0,
74973,CDE0,0.07142857142857142,
78064,CDE0,0.0,
81177,CDE0,0.07142857142857142,
81417,CDE0,0.25,Deadlock4
81511,CDE0,0.75,Deadlock4
81729,CDE0,0.0,Deadlock4
82101,CDE0,0.25,Deadlock4
82441,CDE0,0.25,Deadlock4
82718,CDE0,0.25,Deadlock4
83041,CDE0,0.25,Deadlock4
83395,CDE0,0.25,Deadlock4
83591,CDE0,0.5,Deadlock4
83806,CDE0,0.0,Deadlock4
84221,CDE0,0.0,Deadlock4
84540,CDE0,0.25,Deadlock4
84961,CDE0,0.25,Deadlock4
85280,CDE0,0.0,Deadlock4
85442,CDE0,0.0,Deadlock4
85558,CDE0,0.25,Deadlock4
85665,CDE0,0.75,Deadlock4
85669,CDE0,0.0,Deadlock4
86012,CDE0,0.25,Deadlock4
86141,CDE0,0.5,Deadlock4
86255,CDE0,0.25,Deadlock4
86482,CDE0,0.25,Deadlock4
86900,CDE0,0.0,Deadlock4
86993,CDE0,1.0,Deadlock4
87398,CDE0,0.0,Deadlock4
87601,CDE0,0.5,Deadlock4
87605,CDE0,0.0,Deadlock4
87817,CDE0,0.5,Deadlock4
87986,CDE0,0.0,Deadlock4
87990,CDE0,0.0,Deadlock4
88333,CDE0,0.25,Deadlock4
88564,CDE0,0.25,Deadlock4
88568,CDE0,0.0,Deadlock4
88890,CDE0,0.25,Deadlock4
89309,CDE0,0.0,Deadlock4
89513,CDE0,0.5,Deadlock4
89639,CDE0,0.25,Deadlock4
