networksteps,algo,completions,env
2197,CDE0,0.21428571428571427,
4934,CDE0,0.0,
7665,CDE0,0.07142857142857142,
10340,CDE0,0.0,
13677,CDE0,0.07142857142857142,
16993,CDE0,0.07142857142857142,
19697,CDE0,0.07142857142857142,
21618,CDE0,0.0,
24294,CDE0,0.07142857142857142,
26881,CDE0,0.0,
29205,CDE0,0.14285714285714285,
32674,CDE0,0.0,
35144,CDE0,0.0,
38052,CDE0,0.0,
41476,CDE0,0.0,
43909,CDE0,0.0,
46237,CDE0,0.07142857142857142,
49213,CDE0,0.14285714285714285,
51507,CDE0,0.0,
53874,CDE0,0.07142857142857142,
57605,CDE0,0.0,
60498,CDE0,0.0,
63143,CDE0,0.07142857142857142,
66234,CDE0,0.07142857142857142,
68667,CDE0,0.14285714285714285,
71796,CDE0,0.21428571428571427,
75455,CDE0,0.0,
77562,CDE0,0.14285714285714285,
80933,CDE0,0.0,
81177,CDE0,0.25,Deadlock4
81290,CDE0,0.5,Deadlock4
81490,CDE0,0.25,Deadlock4
81834,CDE0,0.25,Deadlock4
81969,CDE0,0.25,Deadlock4
82391,CDE0,0.0,Deadlock4
82506,CDE0,0.5,Deadlock4
82709,CDE0,0.5,Deadlock4
82916,CDE0,0.25,Deadlock4
83298,CDE0,0.0,Deadlock4
83690,CDE0,0.0,Deadlock4
83896,CDE0,0.0,Deadlock4
84175,CDE0,0.0,Deadlock4
84389,CDE0,0.0,Deadlock4
84634,CDE0,0.25,Deadlock4
84764,CDE0,0.25,Deadlock4
85146,CDE0,0.0,Deadlock4
85305,CDE0,0.0,Deadlock4
85728,CDE0,0.0,Deadlock4
85732,CDE0,0.0,Deadlock4
85937,CDE0,0.25,Deadlock4
86086,CDE0,0.0,Deadlock4
86292,CDE0,0.5,Deadlock4
86678,CDE0,0.0,Deadlock4
86816,CDE0,0.5,Deadlock4
86945,CDE0,0.5,Deadlock4
87226,CDE0,0.25,Deadlock4
87355,CDE0,0.5,Deadlock4
87475,CDE0,0.25,Deadlock4
87586,CDE0,0.5,Deadlock4
87781,CDE0,0.5,Deadlock4
87785,CDE0,0.0,Deadlock4
88125,CDE0,0.25,Deadlock4
88468,CDE0,0.0,Deadlock4
88680,CDE0,0.0,Deadlock4
88892,CDE0,0.5,Deadlock4
89312,CDE0,0.25,Deadlock4
89530,CDE0,0.0,Deadlock4
89867,CDE0,0.25,Deadlock4
90212,CDE0,0.0,Deadlock4
90534,CDE0,0.25,Deadlock4
90916,CDE0,0.0,Deadlock4
91334,CDE0,0.0,Deadlock4
91715,CDE0,0.0,Deadlock4
92093,CDE0,0.0,Deadlock4
92209,CDE0,0.25,Deadlock4
92213,CDE0,0.0,Deadlock4
92580,CDE0,0.0,Deadlock4
92724,CDE0,0.25,Deadlock4
92728,CDE0,0.0,Deadlock4
92836,CDE0,0.5,Deadlock4
93045,CDE0,0.25,Deadlock4
93049,CDE0,0.0,Deadlock4
93180,CDE0,0.25,Deadlock4
93184,CDE0,0.0,Deadlock4
93501,CDE0,0.5,Deadlock4
93607,CDE0,0.75,Deadlock4
93611,CDE0,0.0,Deadlock4
94017,CDE0,0.0,Deadlock4
94398,CDE0,0.0,Deadlock4
94726,CDE0,0.0,Deadlock4
94903,CDE0,0.0,Deadlock4
95104,CDE0,0.5,Deadlock4
95310,CDE0,0.75,Deadlock4
95548,CDE0,0.5,Deadlock4
95809,CDE0,0.25,Deadlock4
95928,CDE0,0.5,Deadlock4
96345,CDE0,0.0,Deadlock4
96716,CDE0,0.0,Deadlock4
97141,CDE0,0.0,Deadlock4
97510,CDE0,0.0,Deadlock4
97829,CDE0,0.5,Deadlock4
98039,CDE0,0.0,Deadlock4
98390,CDE0,0.25,Deadlock4
98589,CDE0,0.75,Deadlock4
98806,CDE0,0.0,Deadlock4
99187,CDE0,0.0,Deadlock4
99511,CDE0,0.25,Deadlock4
99687,CDE0,0.0,Deadlock4
99795,CDE0,0.5,Deadlock4
100015,CDE0,0.25,Deadlock4
100243,CDE0,0.25,Deadlock4
100525,CDE0,0.25,Deadlock4
100529,CDE0,0.0,Deadlock4
100905,CDE0,0.0,Deadlock4
101259,CDE0,0.25,Deadlock4
101681,CDE0,0.0,Deadlock4
101828,CDE0,0.0,Deadlock4
102249,CDE0,0.0,Deadlock4
102463,CDE0,0.25,Deadlock4
102679,CDE0,0.0,Deadlock4
102885,CDE0,0.5,Deadlock4
103228,CDE0,0.0,Deadlock4
103232,CDE0,0.0,Deadlock4
103369,CDE0,0.25,Deadlock4
103579,CDE0,0.0,Deadlock4
103995,CDE0,0.0,Deadlock4
