networksteps,algo,completions,env
2938,CDE0,0.0,
5481,CDE0,0.0,
7968,CDE0,0.07142857142857142,
10953,CDE0,0.0,
13579,CDE0,0.0,
16869,CDE0,0.0,
20530,CDE0,0.07142857142857142,
23691,CDE0,0.0,
26169,CDE0,0.0,
28475,CDE0,0.14285714285714285,
31049,CDE0,0.0,
33693,CDE0,0.07142857142857142,
36570,CDE0,0.07142857142857142,
39149,CDE0,0.14285714285714285,
42359,CDE0,0.14285714285714285,
46389,CDE0,0.07142857142857142,
49471,CDE0,0.0,
53462,CDE0,0.0,
56199,CDE0,0.21428571428571427,
58461,CDE0,0.14285714285714285,
61130,CDE0,0.0,
63627,CDE0,0.0,
66221,CDE0,0.21428571428571427,
68871,CDE0,0.07142857142857142,
71682,CDE0,0.07142857142857142,
74155,CDE0,0.14285714285714285,
76795,CDE0,0.07142857142857142,
79824,CDE0,0.07142857142857142,
82644,CDE0,0.07142857142857142,
82656,CDE0,0.0,Pathfinding8
82685,CDE0,0.0,Pathfinding8
82693,CDE0,0.0,Pathfinding8
82707,CDE0,0.0,Pathfinding8
82723,CDE0,0.0,Pathfinding8
82732,CDE0,0.0,Pathfinding8
82748,CDE0,0.0,Pathfinding8
82759,CDE0,0.0,Pathfinding8
82770,CDE0,0.0,Pathfinding8
82781,CDE0,0.0,Pathfinding8
82793,CDE0,0.0,Pathfinding8
82802,CDE0,0.0,Pathfinding8
82814,CDE0,0.0,Pathfinding8
82825,CDE0,0.0,Pathfinding8
82837,CDE0,0.0,Pathfinding8
82851,CDE0,0.0,Pathfinding8
82863,CDE0,0.0,Pathfinding8
82867,CDE0,0.0,Pathfinding8
82872,CDE0,0.0,Pathfinding8
82890,CDE0,0.0,Pathfinding8
82895,CDE0,0.0,Pathfinding8
82899,CDE0,0.0,Pathfinding8
82904,CDE0,0.0,Pathfinding8
82929,CDE0,0.0,Pathfinding8
82941,CDE0,0.0,Pathfinding8
82950,CDE0,0.0,Pathfinding8
82964,CDE0,0.0,Pathfinding8
82965,CDE0,0.0,Pathfinding8
82976,CDE0,0.0,Pathfinding8
82987,CDE0,0.0,Pathfinding8
82998,CDE0,0.0,Pathfinding8
83003,CDE0,0.0,Pathfinding8
83022,CDE0,0.0,Pathfinding8
83024,CDE0,0.0,Pathfinding8
83028,CDE0,0.0,Pathfinding8
83036,CDE0,0.0,Pathfinding8
83040,CDE0,1.0,Pathfinding8
83051,CDE0,0.0,Pathfinding8
83067,CDE0,0.0,Pathfinding8
83078,CDE0,0.0,Pathfinding8
83084,CDE0,1.0,Pathfinding8
83092,CDE0,0.0,Pathfinding8
83104,CDE0,0.0,Pathfinding8
83112,CDE0,1.0,Pathfinding8
83121,CDE0,0.0,Pathfinding8
83130,CDE0,0.0,Pathfinding8
83141,CDE0,0.0,Pathfinding8
83155,CDE0,0.0,Pathfinding8
83171,CDE0,0.0,Pathfinding8
83182,CDE0,0.0,Pathfinding8
83194,CDE0,0.0,Pathfinding8
83206,CDE0,0.0,Pathfinding8
83218,CDE0,0.0,Pathfinding8
83222,CDE0,0.0,Pathfinding8
83236,CDE0,0.0,Pathfinding8
83247,CDE0,0.0,Pathfinding8
83256,CDE0,0.0,Pathfinding8
83270,CDE0,0.0,Pathfinding8
83281,CDE0,0.0,Pathfinding8
83295,CDE0,0.0,Pathfinding8
83309,CDE0,0.0,Pathfinding8
83331,CDE0,0.0,Pathfinding8
83333,CDE0,1.0,Pathfinding8
83342,CDE0,0.0,Pathfinding8
83351,CDE0,0.0,Pathfinding8
83356,CDE0,0.0,Pathfinding8
83360,CDE0,0.0,Pathfinding8
83365,CDE0,0.0,Pathfinding8
