networksteps,algo,completions,env
2305,CDE0,0.0,
5352,CDE0,0.0,
8968,CDE0,0.0,
12245,CDE0,0.07142857142857142,
15412,CDE0,0.0,
18259,CDE0,0.14285714285714285,
21559,CDE0,0.0,
24430,CDE0,0.0,
27518,CDE0,0.07142857142857142,
30940,CDE0,0.0,
33738,CDE0,0.0,
36390,CDE0,0.14285714285714285,
39302,CDE0,0.0,
43067,CDE0,0.0,
46295,CDE0,0.0,
50430,CDE0,0.07142857142857142,
52817,CDE0,0.07142857142857142,
54806,CDE0,0.07142857142857142,
57565,CDE0,0.0,
60711,CDE0,0.0,
63847,CDE0,0.0,
66189,CDE0,0.14285714285714285,
69517,CDE0,0.14285714285714285,
71931,CDE0,0.0,
75325,CDE0,0.0,
77578,CDE0,0.0,
80482,CDE0,0.07142857142857142,
80493,CDE0,0.0,Pathfinding8
80504,CDE0,0.0,Pathfinding8
80516,CDE0,0.0,Pathfinding8
80524,CDE0,0.0,Pathfinding8
80536,CDE0,0.0,Pathfinding8
80565,CDE0,0.0,Pathfinding8
80569,CDE0,0.0,Pathfinding8
80578,CDE0,0.0,Pathfinding8
80587,CDE0,0.0,Pathfinding8
80606,CDE0,0.0,Pathfinding8
80608,CDE0,1.0,Pathfinding8
80617,CDE0,0.0,Pathfinding8
80626,CDE0,0.0,Pathfinding8
80640,CDE0,0.0,Pathfinding8
80651,CDE0,0.0,Pathfinding8
80672,CDE0,0.0,Pathfinding8
80686,CDE0,0.0,Pathfinding8
80690,CDE0,0.0,Pathfinding8
80699,CDE0,0.0,Pathfinding8
80710,CDE0,0.0,Pathfinding8
80726,CDE0,0.0,Pathfinding8
80740,CDE0,0.0,Pathfinding8
80741,CDE0,0.0,Pathfinding8
80753,CDE0,0.0,Pathfinding8
80769,CDE0,0.0,Pathfinding8
80781,CDE0,0.0,Pathfinding8
80795,CDE0,0.0,Pathfinding8
80811,CDE0,0.0,Pathfinding8
80820,CDE0,0.0,Pathfinding8
80828,CDE0,0.0,Pathfinding8
80840,CDE0,0.0,Pathfinding8
80866,CDE0,0.0,Pathfinding8
80870,CDE0,0.0,Pathfinding8
80879,CDE0,0.0,Pathfinding8
80884,CDE0,0.0,Pathfinding8
80888,CDE0,0.0,Pathfinding8
80900,CDE0,0.0,Pathfinding8
80905,CDE0,0.0,Pathfinding8
80933,CDE0,0.0,Pathfinding8
80947,CDE0,1.0,Pathfinding8
80963,CDE0,0.0,Pathfinding8
80968,CDE0,0.0,Pathfinding8
