networksteps,algo,score,env
2938,CDE0,-0.3839285714285659,
5481,CDE0,-0.36114926739926195,
7968,CDE0,-0.3647478400642906,
10953,CDE0,-0.3488997113997052,
13579,CDE0,-0.3363922699124438,
16869,CDE0,-0.35591269841269807,
20530,CDE0,-0.34401726696344387,
23691,CDE0,-0.3268194866599052,
26169,CDE0,-0.34898399014777953,
28475,CDE0,-0.34164160401002086,
31049,CDE0,-0.31740939738726703,
33693,CDE0,-0.3875919913419862,
36570,CDE0,-0.3384424603174543,
39149,CDE0,-0.3561023622047214,
42359,CDE0,-0.35444288826641945,
46389,CDE0,-0.3410911602209981,
49471,CDE0,-0.3947999338624344,
53462,CDE0,-0.35654921486020996,
56199,CDE0,-0.3299938725490168,
58461,CDE0,-0.35077553843113596,
61130,CDE0,-0.3822359396433419,
63627,CDE0,-0.37109620497944873,
66221,CDE0,-0.3334643242410243,
68871,CDE0,-0.34168650793650135,
71682,CDE0,-0.37424765445211194,
74155,CDE0,-0.33413621262457976,
76795,CDE0,-0.3559293987865366,
79824,CDE0,-0.3390130568356356,
82644,CDE0,-0.3778590176227926,
82656,CDE0,-0.5410256410256411,Pathfinding8
82685,CDE0,-0.4272222222222223,Pathfinding8
82693,CDE0,-0.6314814814814815,Pathfinding8
82707,CDE0,-0.3388888888888889,Pathfinding8
82723,CDE0,-0.24509803921568624,Pathfinding8
82732,CDE0,-0.6366666666666667,Pathfinding8
82748,CDE0,-0.45686274509803915,Pathfinding8
82759,CDE0,-0.3680555555555556,Pathfinding8
82770,CDE0,-0.3402777777777778,Pathfinding8
82781,CDE0,-0.5597222222222222,Pathfinding8
82793,CDE0,-0.341025641025641,Pathfinding8
82802,CDE0,-0.375,Pathfinding8
82814,CDE0,-0.4641025641025641,Pathfinding8
82825,CDE0,-0.47777777777777775,Pathfinding8
82837,CDE0,-0.441025641025641,Pathfinding8
82851,CDE0,-0.4255555555555556,Pathfinding8
82863,CDE0,-0.41794871794871785,Pathfinding8
82867,CDE0,-0.4033333333333333,Pathfinding8
82872,CDE0,-0.44722222222222224,Pathfinding8
82890,CDE0,-0.424561403508772,Pathfinding8
82895,CDE0,-0.6138888888888889,Pathfinding8
82899,CDE0,-0.47,Pathfinding8
82904,CDE0,-0.3972222222222222,Pathfinding8
