networksteps,algo,score,env
2305,CDE0,-0.3534151034150999,
5352,CDE0,-0.36798760600130026,
8968,CDE0,-0.3651073619631921,
12245,CDE0,-0.3507726269315613,
15412,CDE0,-0.39040850453893744,
18259,CDE0,-0.33642308897242446,
21559,CDE0,-0.35902809073155856,
24430,CDE0,-0.3270230314347924,
27518,CDE0,-0.3973119636547192,
30940,CDE0,-0.3637725178047772,
33738,CDE0,-0.333748733535963,
36390,CDE0,-0.3578161227037573,
39302,CDE0,-0.36159951159950665,
43067,CDE0,-0.3666074909496,
46295,CDE0,-0.29975625264942174,
50430,CDE0,-0.3436937747391221,
52817,CDE0,-0.35488239830344753,
54806,CDE0,-0.3314965986394511,
57565,CDE0,-0.3490468280335371,
60711,CDE0,-0.34410226385635967,
63847,CDE0,-0.35155316606928966,
66189,CDE0,-0.39609237213403453,
69517,CDE0,-0.37129228795895375,
71931,CDE0,-0.4420995670995623,
75325,CDE0,-0.38092141480869846,
77578,CDE0,-0.4064157014156978,
80482,CDE0,-0.3498833655083602,
80493,CDE0,-0.6388888888888888,Pathfinding8
80504,CDE0,-0.4222222222222222,Pathfinding8
80516,CDE0,-0.41794871794871785,Pathfinding8
80524,CDE0,-0.5944444444444444,Pathfinding8
80536,CDE0,-0.41538461538461535,Pathfinding8
80565,CDE0,-0.4483333333333334,Pathfinding8
80569,CDE0,-0.5366666666666667,Pathfinding8
80578,CDE0,-0.6366666666666667,Pathfinding8
80587,CDE0,-0.5700000000000001,Pathfinding8
80606,CDE0,-0.4066666666666667,Pathfinding8
80608,CDE0,-0.22777777777777775,Pathfinding8
80617,CDE0,-0.4716666666666666,Pathfinding8
80626,CDE0,-0.67,Pathfinding8
80640,CDE0,-0.3822222222222223,Pathfinding8
80651,CDE0,-0.4222222222222222,Pathfinding8
80672,CDE0,-0.5196969696969698,Pathfinding8
80686,CDE0,-0.36222222222222217,Pathfinding8
80690,CDE0,-0.8033333333333333,Pathfinding8
80699,CDE0,-0.47000000000000003,Pathfinding8
80710,CDE0,-0.5027777777777778,Pathfinding8
80726,CDE0,-0.5911764705882353,Pathfinding8
80740,CDE0,-0.31888888888888883,Pathfinding8
80741,CDE0,-0.5,Pathfinding8
80753,CDE0,-0.41410256410256413,Pathfinding8
80769,CDE0,-0.49215686274509807,Pathfinding8
80781,CDE0,-0.441025641025641,Pathfinding8
80795,CDE0,-0.40444444444444444,Pathfinding8
80811,CDE0,-0.4950980392156863,Pathfinding8
80820,CDE0,-0.5033333333333333,Pathfinding8
80828,CDE0,-0.4111111111111111,Pathfinding8
80840,CDE0,-0.5641025641025641,Pathfinding8
80866,CDE0,-0.47283950617283954,Pathfinding8
80870,CDE0,-0.7333333333333333,Pathfinding8
80879,CDE0,-0.605,Pathfinding8
80884,CDE0,-0.33888888888888885,Pathfinding8
80888,CDE0,-0.4033333333333333,Pathfinding8
80900,CDE0,-0.38974358974358975,Pathfinding8
80905,CDE0,-0.7222222222222222,Pathfinding8
80933,CDE0,-0.31896551724137934,Pathfinding8
80947,CDE0,-0.18666666666666665,Pathfinding8
80963,CDE0,-0.4372549019607843,Pathfinding8
80968,CDE0,-0.33888888888888885,Pathfinding8
80969,CDE0,-0.5,Pathfinding8
80985,CDE0,-0.43725490196078437,Pathfinding8
80989,CDE0,-0.4033333333333333,Pathfinding8
81010,CDE0,-0.37196969696969695,Pathfinding8
81012,CDE0,-0.22777777777777775,Pathfinding8
81024,CDE0,-0.34358974358974353,Pathfinding8
81035,CDE0,-0.5305555555555556,Pathfinding8
81036,CDE0,-0.5,Pathfinding8
81039,CDE0,-0.13999999999999999,Pathfinding8
81050,CDE0,-0.3138888888888889,Pathfinding8
81055,CDE0,-0.5555555555555556,Pathfinding8
81066,CDE0,-0.36666666666666675,Pathfinding8
81080,CDE0,-0.5388888888888889,Pathfinding8
81089,CDE0,-0.5700000000000001,Pathfinding8
81094,CDE0,-0.5555555555555556,Pathfinding8
81106,CDE0,-0.5153846153846154,Pathfinding8
81118,CDE0,-0.5410256410256411,Pathfinding8
81132,CDE0,-0.4922222222222223,Pathfinding8
81143,CDE0,-0.5555555555555556,Pathfinding8
81155,CDE0,-0.5141025641025642,Pathfinding8
81163,CDE0,-0.4888888888888889,Pathfinding8
81174,CDE0,-0.3125,Pathfinding8
81179,CDE0,-0.6138888888888889,Pathfinding8
81187,CDE0,-0.5222222222222223,Pathfinding8
81208,CDE0,-0.45833333333333337,Pathfinding8
81217,CDE0,-0.4716666666666666,Pathfinding8
81219,CDE0,-0.5555555555555556,Pathfinding8
81231,CDE0,-0.591025641025641,Pathfinding8
81243,CDE0,-0.38974358974358975,Pathfinding8
81257,CDE0,-0.33888888888888896,Pathfinding8
81269,CDE0,-0.341025641025641,Pathfinding8
81278,CDE0,-0.44,Pathfinding8
81283,CDE0,-0.5555555555555556,Pathfinding8
81297,CDE0,-0.5122222222222222,Pathfinding8
81306,CDE0,-0.5366666666666667,Pathfinding8
81314,CDE0,-0.4111111111111111,Pathfinding8
81322,CDE0,-0.4111111111111111,Pathfinding8
81333,CDE0,-0.6111111111111112,Pathfinding8
81345,CDE0,-0.38974358974358975,Pathfinding8
81357,CDE0,-0.3641025641025642,Pathfinding8
81375,CDE0,-0.3570175438596491,Pathfinding8
81393,CDE0,-0.5456140350877193,Pathfinding8
81405,CDE0,-0.3641025641025641,Pathfinding8
81409,CDE0,-0.5333333333333333,Pathfinding8
81421,CDE0,-0.33974358974358976,Pathfinding8
81426,CDE0,-0.6138888888888889,Pathfinding8
81437,CDE0,-0.44861111111111107,Pathfinding8
81449,CDE0,-0.33974358974358976,Pathfinding8
