networksteps,algo,completions,env
2751,CDE0,0.0,
5499,CDE0,0.07142857142857142,
8462,CDE0,0.0,
10664,CDE0,0.07142857142857142,
13546,CDE0,0.0,
16668,CDE0,0.07142857142857142,
19577,CDE0,0.07142857142857142,
24492,CDE0,0.0,
26850,CDE0,0.07142857142857142,
30282,CDE0,0.0,
34012,CDE0,0.0,
37250,CDE0,0.07142857142857142,
42131,CDE0,0.07142857142857142,
46016,CDE0,0.14285714285714285,
49342,CDE0,0.0,
52830,CDE0,0.07142857142857142,
55549,CDE0,0.07142857142857142,
58740,CDE0,0.0,
61306,CDE0,0.07142857142857142,
65175,CDE0,0.07142857142857142,
68550,CDE0,0.0,
70904,CDE0,0.0,
73618,CDE0,0.0,
79867,CDE0,0.0,
82851,CDE0,0.0,
82862,CDE0,0.0,Pathfinding8
82867,CDE0,0.0,Pathfinding8
82876,CDE0,0.0,Pathfinding8
82887,CDE0,0.0,Pathfinding8
82891,CDE0,0.0,Pathfinding8
82903,CDE0,0.0,Pathfinding8
82922,CDE0,0.0,Pathfinding8
82948,CDE0,0.0,Pathfinding8
82962,CDE0,0.0,Pathfinding8
82967,CDE0,0.0,Pathfinding8
82972,CDE0,0.0,Pathfinding8
82984,CDE0,0.0,Pathfinding8
82993,CDE0,0.0,Pathfinding8
82997,CDE0,0.0,Pathfinding8
83013,CDE0,0.0,Pathfinding8
83032,CDE0,0.0,Pathfinding8
83058,CDE0,0.0,Pathfinding8
83063,CDE0,0.0,Pathfinding8
83072,CDE0,0.0,Pathfinding8
83086,CDE0,0.0,Pathfinding8
83097,CDE0,0.0,Pathfinding8
83099,CDE0,0.0,Pathfinding8
83103,CDE0,0.0,Pathfinding8
83122,CDE0,0.0,Pathfinding8
83136,CDE0,0.0,Pathfinding8
83147,CDE0,0.0,Pathfinding8
83151,CDE0,0.0,Pathfinding8
83167,CDE0,0.0,Pathfinding8
83189,CDE0,0.0,Pathfinding8
83201,CDE0,0.0,Pathfinding8
83209,CDE0,0.0,Pathfinding8
83221,CDE0,0.0,Pathfinding8
83239,CDE0,0.0,Pathfinding8
83248,CDE0,0.0,Pathfinding8
83259,CDE0,0.0,Pathfinding8
83277,CDE0,0.0,Pathfinding8
83284,CDE0,1.0,Pathfinding8
83300,CDE0,0.0,Pathfinding8
83314,CDE0,0.0,Pathfinding8
83319,CDE0,0.0,Pathfinding8
83333,CDE0,0.0,Pathfinding8
83344,CDE0,0.0,Pathfinding8
83349,CDE0,0.0,Pathfinding8
83363,CDE0,0.0,Pathfinding8
83374,CDE0,0.0,Pathfinding8
83383,CDE0,0.0,Pathfinding8
83400,CDE0,1.0,Pathfinding8
83411,CDE0,0.0,Pathfinding8
83413,CDE0,0.0,Pathfinding8
83427,CDE0,0.0,Pathfinding8
83446,CDE0,0.0,Pathfinding8
83454,CDE0,0.0,Pathfinding8
83468,CDE0,0.0,Pathfinding8
83490,CDE0,0.0,Pathfinding8
83497,CDE0,1.0,Pathfinding8
83508,CDE0,0.0,Pathfinding8
83520,CDE0,0.0,Pathfinding8
83534,CDE0,0.0,Pathfinding8
83543,CDE0,0.0,Pathfinding8
83557,CDE0,0.0,Pathfinding8
83568,CDE0,0.0,Pathfinding8
83584,CDE0,0.0,Pathfinding8
83612,CDE0,0.0,Pathfinding8
83626,CDE0,0.0,Pathfinding8
83638,CDE0,0.0,Pathfinding8
83656,CDE0,0.0,Pathfinding8
83667,CDE0,0.0,Pathfinding8
83676,CDE0,0.0,Pathfinding8
83685,CDE0,0.0,Pathfinding8
83690,CDE0,0.0,Pathfinding8
83699,CDE0,0.0,Pathfinding8
83708,CDE0,0.0,Pathfinding8
83724,CDE0,0.0,Pathfinding8
83732,CDE0,0.0,Pathfinding8
83757,CDE0,0.0,Pathfinding8
83762,CDE0,0.0,Pathfinding8
83774,CDE0,0.0,Pathfinding8
83782,CDE0,0.0,Pathfinding8
83801,CDE0,0.0,Pathfinding8
83805,CDE0,0.0,Pathfinding8
83814,CDE0,0.0,Pathfinding8
83826,CDE0,0.0,Pathfinding8
83857,CDE0,0.0,Pathfinding8
83868,CDE0,0.0,Pathfinding8
83870,CDE0,1.0,Pathfinding8
83875,CDE0,0.0,Pathfinding8
83883,CDE0,0.0,Pathfinding8
83892,CDE0,0.0,Pathfinding8
83901,CDE0,0.0,Pathfinding8
83920,CDE0,0.0,Pathfinding8
83925,CDE0,0.0,Pathfinding8
83939,CDE0,0.0,Pathfinding8
83943,CDE0,0.0,Pathfinding8
83951,CDE0,0.0,Pathfinding8
83955,CDE0,0.0,Pathfinding8
83983,CDE0,0.0,Pathfinding8
83997,CDE0,0.0,Pathfinding8
84006,CDE0,0.0,Pathfinding8
84014,CDE0,1.0,Pathfinding8
84018,CDE0,0.0,Pathfinding8
84034,CDE0,0.0,Pathfinding8
84050,CDE0,0.0,Pathfinding8
84059,CDE0,0.0,Pathfinding8
84073,CDE0,0.0,Pathfinding8
84087,CDE0,0.0,Pathfinding8
84103,CDE0,0.0,Pathfinding8
84107,CDE0,0.0,Pathfinding8
84125,CDE0,0.0,Pathfinding8
84136,CDE0,0.0,Pathfinding8
84148,CDE0,0.0,Pathfinding8
84169,CDE0,0.0,Pathfinding8
84171,CDE0,0.0,Pathfinding8
84180,CDE0,0.0,Pathfinding8
84185,CDE0,0.0,Pathfinding8
84194,CDE0,1.0,Pathfinding8
84202,CDE0,0.0,Pathfinding8
84216,CDE0,0.0,Pathfinding8
84227,CDE0,0.0,Pathfinding8
84245,CDE0,0.0,Pathfinding8
84256,CDE0,0.0,Pathfinding8
84265,CDE0,0.0,Pathfinding8
84267,CDE0,0.0,Pathfinding8
84279,CDE0,0.0,Pathfinding8
84293,CDE0,0.0,Pathfinding8
84304,CDE0,0.0,Pathfinding8
84316,CDE0,0.0,Pathfinding8
84324,CDE0,0.0,Pathfinding8
84328,CDE0,0.0,Pathfinding8
84336,CDE0,0.0,Pathfinding8
84341,CDE0,0.0,Pathfinding8
84342,CDE0,0.0,Pathfinding8
84358,CDE0,0.0,Pathfinding8
84367,CDE0,0.0,Pathfinding8
84393,CDE0,0.0,Pathfinding8
84404,CDE0,0.0,Pathfinding8
84416,CDE0,0.0,Pathfinding8
84428,CDE0,0.0,Pathfinding8
84447,CDE0,0.0,Pathfinding8
84465,CDE0,0.0,Pathfinding8
84474,CDE0,0.0,Pathfinding8
84482,CDE0,0.0,Pathfinding8
84494,CDE0,0.0,Pathfinding8
84497,CDE0,1.0,Pathfinding8
84502,CDE0,0.0,Pathfinding8
84511,CDE0,0.0,Pathfinding8
84519,CDE0,0.0,Pathfinding8
84533,CDE0,0.0,Pathfinding8
84561,CDE0,0.0,Pathfinding8
84569,CDE0,0.0,Pathfinding8
84578,CDE0,0.0,Pathfinding8
84586,CDE0,0.0,Pathfinding8
84600,CDE0,0.0,Pathfinding8
84614,CDE0,0.0,Pathfinding8
84616,CDE0,0.0,Pathfinding8
84632,CDE0,0.0,Pathfinding8
84643,CDE0,0.0,Pathfinding8
84648,CDE0,0.0,Pathfinding8
84657,CDE0,0.0,Pathfinding8
84668,CDE0,0.0,Pathfinding8
84677,CDE0,0.0,Pathfinding8
84685,CDE0,0.0,Pathfinding8
84693,CDE0,0.0,Pathfinding8
84702,CDE0,0.0,Pathfinding8
84714,CDE0,0.0,Pathfinding8
84719,CDE0,0.0,Pathfinding8
84730,CDE0,0.0,Pathfinding8
84739,CDE0,0.0,Pathfinding8
84748,CDE0,0.0,Pathfinding8
84752,CDE0,0.0,Pathfinding8
84766,CDE0,0.0,Pathfinding8
84777,CDE0,0.0,Pathfinding8
84781,CDE0,1.0,Pathfinding8
84792,CDE0,0.0,Pathfinding8
84797,CDE0,1.0,Pathfinding8
84806,CDE0,0.0,Pathfinding8
84817,CDE0,0.0,Pathfinding8
84831,CDE0,0.0,Pathfinding8
84852,CDE0,0.0,Pathfinding8
84861,CDE0,0.0,Pathfinding8
84866,CDE0,0.0,Pathfinding8
84870,CDE0,1.0,Pathfinding8
84891,CDE0,0.0,Pathfinding8
84909,CDE0,0.0,Pathfinding8
84927,CDE0,0.0,Pathfinding8
84943,CDE0,0.0,Pathfinding8
84948,CDE0,0.0,Pathfinding8
84966,CDE0,0.0,Pathfinding8
84975,CDE0,0.0,Pathfinding8
84991,CDE0,0.0,Pathfinding8
85000,CDE0,0.0,Pathfinding8
85009,CDE0,0.0,Pathfinding8
85025,CDE0,0.0,Pathfinding8
85041,CDE0,0.0,Pathfinding8
85059,CDE0,1.0,Pathfinding8
85073,CDE0,0.0,Pathfinding8
85078,CDE0,0.0,Pathfinding8
85086,CDE0,0.0,Pathfinding8
85104,CDE0,0.0,Pathfinding8
85118,CDE0,1.0,Pathfinding8
85129,CDE0,0.0,Pathfinding8
85140,CDE0,0.0,Pathfinding8
85145,CDE0,0.0,Pathfinding8
85154,CDE0,0.0,Pathfinding8
85162,CDE0,0.0,Pathfinding8
85171,CDE0,0.0,Pathfinding8
85176,CDE0,0.0,Pathfinding8
85188,CDE0,0.0,Pathfinding8
85196,CDE0,0.0,Pathfinding8
85207,CDE0,0.0,Pathfinding8
85216,CDE0,0.0,Pathfinding8
85230,CDE0,0.0,Pathfinding8
85246,CDE0,0.0,Pathfinding8
85265,CDE0,0.0,Pathfinding8
85274,CDE0,0.0,Pathfinding8
85278,CDE0,0.0,Pathfinding8
85297,CDE0,0.0,Pathfinding8
85313,CDE0,0.0,Pathfinding8
85318,CDE0,0.0,Pathfinding8
85327,CDE0,0.0,Pathfinding8
85341,CDE0,0.0,Pathfinding8
85352,CDE0,0.0,Pathfinding8
85366,CDE0,0.0,Pathfinding8
85375,CDE0,0.0,Pathfinding8
85380,CDE0,0.0,Pathfinding8
85399,CDE0,0.0,Pathfinding8
85415,CDE0,0.0,Pathfinding8
85431,CDE0,0.0,Pathfinding8
85447,CDE0,0.0,Pathfinding8
85455,CDE0,0.0,Pathfinding8
85464,CDE0,0.0,Pathfinding8
85476,CDE0,1.0,Pathfinding8
85485,CDE0,0.0,Pathfinding8
