networksteps,algo,score,env
2751,CDE0,-0.3969241982507247,
5499,CDE0,-0.3480027548209308,
8462,CDE0,-0.3537114845938328,
10664,CDE0,-0.3236341411564581,
13546,CDE0,-0.3714429723502269,
16668,CDE0,-0.3163824884792595,
19577,CDE0,-0.32096633525204415,
24492,CDE0,-0.39489648033127356,
26850,CDE0,-0.39241622574955476,
30282,CDE0,-0.38930023228803556,
34012,CDE0,-0.38304913477327807,
37250,CDE0,-0.37887205387205336,
42131,CDE0,-0.3899530215673782,
46016,CDE0,-0.30858585858586396,
49342,CDE0,-0.3673826470089794,
52830,CDE0,-0.3863288383199932,
55549,CDE0,-0.37127921279212334,
58740,CDE0,-0.35940677966101126,
61306,CDE0,-0.3794094894275417,
65175,CDE0,-0.31967450271247744,
68550,CDE0,-0.3778104279686506,
70904,CDE0,-0.39347402597402137,
73618,CDE0,-0.3706636271529844,
79867,CDE0,-0.34858204428269507,
82851,CDE0,-0.40351037851037275,
82862,CDE0,-0.5847222222222223,Pathfinding8
82867,CDE0,-0.5555555555555556,Pathfinding8
82876,CDE0,-0.535,Pathfinding8
82887,CDE0,-0.5833333333333334,Pathfinding8
82891,CDE0,-0.5333333333333333,Pathfinding8
82903,CDE0,-0.391025641025641,Pathfinding8
82922,CDE0,-0.3558333333333333,Pathfinding8
82948,CDE0,-0.510493827160494,Pathfinding8
82962,CDE0,-0.44888888888888895,Pathfinding8
82967,CDE0,-0.5027777777777778,Pathfinding8
82972,CDE0,-0.33888888888888885,Pathfinding8
82984,CDE0,-0.49102564102564106,Pathfinding8
82993,CDE0,-0.4066666666666666,Pathfinding8
82997,CDE0,-0.4033333333333333,Pathfinding8
83013,CDE0,-0.34019607843137256,Pathfinding8
83032,CDE0,-0.5033333333333334,Pathfinding8
83058,CDE0,-0.4382716049382716,Pathfinding8
83063,CDE0,-0.6722222222222222,Pathfinding8
83072,CDE0,-0.4716666666666666,Pathfinding8
83086,CDE0,-0.31888888888888894,Pathfinding8
83097,CDE0,-0.47638888888888886,Pathfinding8
83099,CDE0,-0.5555555555555556,Pathfinding8
83103,CDE0,-0.6033333333333334,Pathfinding8
83122,CDE0,-0.40583333333333343,Pathfinding8
83136,CDE0,-0.40555555555555556,Pathfinding8
83147,CDE0,-0.5555555555555556,Pathfinding8
83151,CDE0,-0.4033333333333333,Pathfinding8
83167,CDE0,-0.4156862745098039,Pathfinding8
83189,CDE0,-0.24130434782608698,Pathfinding8
83201,CDE0,-0.5641025641025641,Pathfinding8
83209,CDE0,-0.37777777777777777,Pathfinding8
83221,CDE0,-0.2897435897435897,Pathfinding8
83239,CDE0,-0.32192982456140345,Pathfinding8
83248,CDE0,-0.5066666666666666,Pathfinding8
83259,CDE0,-0.44999999999999996,Pathfinding8
83277,CDE0,-0.4614035087719298,Pathfinding8
83284,CDE0,-0.10833333333333331,Pathfinding8
83300,CDE0,-0.47647058823529415,Pathfinding8
83314,CDE0,-0.5355555555555556,Pathfinding8
83319,CDE0,-0.7222222222222222,Pathfinding8
83333,CDE0,-0.4488888888888889,Pathfinding8
83344,CDE0,-0.47777777777777775,Pathfinding8
83349,CDE0,-0.6138888888888889,Pathfinding8
83363,CDE0,-0.49111111111111116,Pathfinding8
83374,CDE0,-0.6138888888888889,Pathfinding8
83383,CDE0,-0.4066666666666666,Pathfinding8
83400,CDE0,-0.11666666666666663,Pathfinding8
83411,CDE0,-0.2847222222222222,Pathfinding8
83413,CDE0,-0.5555555555555556,Pathfinding8
83427,CDE0,-0.31999999999999995,Pathfinding8
83446,CDE0,-0.30666666666666675,Pathfinding8
83454,CDE0,-0.6314814814814815,Pathfinding8
83468,CDE0,-0.36222222222222233,Pathfinding8
83490,CDE0,-0.35724637681159427,Pathfinding8
83497,CDE0,-0.10833333333333331,Pathfinding8
83508,CDE0,-0.47638888888888886,Pathfinding8
83520,CDE0,-0.441025641025641,Pathfinding8
83534,CDE0,-0.31777777777777777,Pathfinding8
83543,CDE0,-0.4716666666666666,Pathfinding8
83557,CDE0,-0.3411111111111111,Pathfinding8
83568,CDE0,-0.476388888888889,Pathfinding8
83584,CDE0,-0.3392156862745098,Pathfinding8
83612,CDE0,-0.4425287356321839,Pathfinding8
83626,CDE0,-0.3644444444444444,Pathfinding8
83638,CDE0,-0.36666666666666664,Pathfinding8
83656,CDE0,-0.4596491228070176,Pathfinding8
83667,CDE0,-0.5041666666666667,Pathfinding8
83676,CDE0,-0.5016666666666667,Pathfinding8
83685,CDE0,-0.5716666666666667,Pathfinding8
83690,CDE0,-0.6694444444444445,Pathfinding8
83699,CDE0,-0.505,Pathfinding8
83708,CDE0,-0.4716666666666666,Pathfinding8
83724,CDE0,-0.55,Pathfinding8
83732,CDE0,-0.6333333333333334,Pathfinding8
83757,CDE0,-0.22692307692307692,Pathfinding8
83762,CDE0,-0.6722222222222223,Pathfinding8
83774,CDE0,-0.4935897435897436,Pathfinding8
83782,CDE0,-0.3759259259259259,Pathfinding8
83801,CDE0,-0.5041666666666667,Pathfinding8
83805,CDE0,-0.6033333333333334,Pathfinding8
83814,CDE0,-0.44166666666666665,Pathfinding8
83826,CDE0,-0.5141025641025642,Pathfinding8
83857,CDE0,-0.3416666666666668,Pathfinding8
83868,CDE0,-0.44861111111111107,Pathfinding8
83870,CDE0,-0.22777777777777775,Pathfinding8
83875,CDE0,-0.6111111111111112,Pathfinding8
83883,CDE0,-0.5944444444444444,Pathfinding8
83892,CDE0,-0.5066666666666666,Pathfinding8
83901,CDE0,-0.6366666666666667,Pathfinding8
83920,CDE0,-0.42166666666666675,Pathfinding8
83925,CDE0,-0.6138888888888889,Pathfinding8
83939,CDE0,-0.49222222222222217,Pathfinding8
83943,CDE0,-0.6033333333333334,Pathfinding8
83951,CDE0,-0.487037037037037,Pathfinding8
83955,CDE0,-0.67,Pathfinding8
83983,CDE0,-0.5413793103448276,Pathfinding8
83997,CDE0,-0.4055555555555556,Pathfinding8
84006,CDE0,-0.505,Pathfinding8
84014,CDE0,-0.14166666666666664,Pathfinding8
84018,CDE0,-0.47333333333333333,Pathfinding8
84034,CDE0,-0.47647058823529403,Pathfinding8
84050,CDE0,-0.2627450980392157,Pathfinding8
84059,CDE0,-0.67,Pathfinding8
84073,CDE0,-0.44888888888888895,Pathfinding8
84087,CDE0,-0.45,Pathfinding8
84103,CDE0,-0.4950980392156863,Pathfinding8
84107,CDE0,-0.5333333333333333,Pathfinding8
84125,CDE0,-0.44122807017543864,Pathfinding8
84136,CDE0,-0.4222222222222222,Pathfinding8
84148,CDE0,-0.5666666666666667,Pathfinding8
84169,CDE0,-0.4136363636363637,Pathfinding8
84171,CDE0,-0.5555555555555556,Pathfinding8
84180,CDE0,-0.505,Pathfinding8
84185,CDE0,-0.5055555555555555,Pathfinding8
84194,CDE0,-0.20833333333333331,Pathfinding8
84202,CDE0,-0.5222222222222223,Pathfinding8
84216,CDE0,-0.5144444444444444,Pathfinding8
84227,CDE0,-0.44999999999999996,Pathfinding8
84245,CDE0,-0.3903508771929825,Pathfinding8
84256,CDE0,-0.4222222222222222,Pathfinding8
84265,CDE0,-0.43666666666666665,Pathfinding8
84267,CDE0,-0.6666666666666666,Pathfinding8
84279,CDE0,-0.5410256410256411,Pathfinding8
84293,CDE0,-0.5555555555555556,Pathfinding8
84304,CDE0,-0.44722222222222224,Pathfinding8
84316,CDE0,-0.38974358974358975,Pathfinding8
84324,CDE0,-0.44999999999999996,Pathfinding8
84328,CDE0,-0.5333333333333333,Pathfinding8
84336,CDE0,-0.33888888888888885,Pathfinding8
84341,CDE0,-0.6138888888888889,Pathfinding8
84342,CDE0,-0.5,Pathfinding8
84358,CDE0,-0.41960784313725485,Pathfinding8
84367,CDE0,-0.4716666666666666,Pathfinding8
84393,CDE0,-0.4493827160493828,Pathfinding8
84404,CDE0,-0.36666666666666664,Pathfinding8
84416,CDE0,-0.4897435897435898,Pathfinding8
84428,CDE0,-0.3166666666666666,Pathfinding8
