networksteps,algo,completions,env
2789,DQN,0.0,
5691,DQN,0.0,
8639,DQN,0.07142857142857142,
12427,DQN,0.0,
16488,DQN,0.0,
19353,DQN,0.07142857142857142,
23653,DQN,0.07142857142857142,
26123,DQN,0.21428571428571427,
31230,DQN,0.0,
34447,DQN,0.14285714285714285,
38427,DQN,0.14285714285714285,
41201,DQN,0.0,
44356,DQN,0.07142857142857142,
47078,DQN,0.07142857142857142,
49750,DQN,0.07142857142857142,
52700,DQN,0.21428571428571427,
56427,DQN,0.07142857142857142,
59084,DQN,0.0,
61068,DQN,0.0,
64464,DQN,0.0,
67307,DQN,0.07142857142857142,
69766,DQN,0.14285714285714285,
72019,DQN,0.07142857142857142,
74849,DQN,0.0,
77714,DQN,0.07142857142857142,
80413,DQN,0.14285714285714285,
80645,DQN,0.25,Deadlock4
80774,DQN,0.25,Deadlock4
80778,DQN,0.0,Deadlock4
81054,DQN,0.25,Deadlock4
81332,DQN,0.5,Deadlock4
81691,DQN,0.0,Deadlock4
81695,DQN,0.0,Deadlock4
81699,DQN,0.0,Deadlock4
81843,DQN,0.25,Deadlock4
82240,DQN,0.0,Deadlock4
82506,DQN,0.0,Deadlock4
82714,DQN,0.25,Deadlock4
82718,DQN,0.0,Deadlock4
83125,DQN,0.0,Deadlock4
83329,DQN,0.5,Deadlock4
83568,DQN,0.25,Deadlock4
83907,DQN,0.0,Deadlock4
84286,DQN,0.0,Deadlock4
84503,DQN,0.0,Deadlock4
84507,DQN,0.0,Deadlock4
84927,DQN,0.0,Deadlock4
85189,DQN,0.0,Deadlock4
85570,DQN,0.0,Deadlock4
85858,DQN,0.25,Deadlock4
86275,DQN,0.0,Deadlock4
86479,DQN,0.5,Deadlock4
86785,DQN,0.5,Deadlock4
86982,DQN,1.0,Deadlock4
87187,DQN,0.5,Deadlock4
87351,DQN,0.25,Deadlock4
87492,DQN,0.5,Deadlock4
87710,DQN,0.0,Deadlock4
87950,DQN,0.5,Deadlock4
88077,DQN,0.25,Deadlock4
88496,DQN,0.0,Deadlock4
88764,DQN,0.25,Deadlock4
88878,DQN,0.5,Deadlock4
89079,DQN,0.5,Deadlock4
89502,DQN,0.0,Deadlock4
89718,DQN,0.0,Deadlock4
89923,DQN,0.5,Deadlock4
90200,DQN,0.0,Deadlock4
90488,DQN,0.25,Deadlock4
90873,DQN,0.0,Deadlock4
91030,DQN,0.0,Deadlock4
91034,DQN,0.0,Deadlock4
91456,DQN,0.0,Deadlock4
91874,DQN,0.0,Deadlock4
92296,DQN,0.0,Deadlock4
92416,DQN,0.25,Deadlock4
92730,DQN,0.25,Deadlock4
92734,DQN,0.0,Deadlock4
93030,DQN,0.5,Deadlock4
93365,DQN,0.25,Deadlock4
93494,DQN,0.25,Deadlock4
93498,DQN,0.0,Deadlock4
93913,DQN,0.0,Deadlock4
94050,DQN,0.25,Deadlock4
94054,DQN,0.0,Deadlock4
94182,DQN,0.5,Deadlock4
94522,DQN,0.25,Deadlock4
94716,DQN,0.25,Deadlock4
95070,DQN,0.25,Deadlock4
95243,DQN,0.25,Deadlock4
95247,DQN,0.0,Deadlock4
95390,DQN,0.5,Deadlock4
95607,DQN,0.0,Deadlock4
95748,DQN,0.25,Deadlock4
95979,DQN,0.25,Deadlock4
96136,DQN,0.0,Deadlock4
96552,DQN,0.0,Deadlock4
96903,DQN,0.5,Deadlock4
97093,DQN,0.75,Deadlock4
97212,DQN,0.25,Deadlock4
97636,DQN,0.0,Deadlock4
97845,DQN,0.5,Deadlock4
98048,DQN,0.5,Deadlock4
98346,DQN,0.0,Deadlock4
98642,DQN,0.25,Deadlock4
98749,DQN,0.5,Deadlock4
99104,DQN,0.25,Deadlock4
99108,DQN,0.0,Deadlock4
99319,DQN,0.0,Deadlock4
99461,DQN,0.0,Deadlock4
99616,DQN,0.5,Deadlock4
99887,DQN,0.25,Deadlock4
100306,DQN,0.0,Deadlock4
100472,DQN,0.0,Deadlock4
100623,DQN,0.0,Deadlock4
100829,DQN,0.25,Deadlock4
101056,DQN,0.25,Deadlock4
101272,DQN,0.0,Deadlock4
101417,DQN,0.25,Deadlock4
101670,DQN,0.25,Deadlock4
102092,DQN,0.0,Deadlock4
102358,DQN,0.25,Deadlock4
102521,DQN,0.0,Deadlock4
102720,DQN,0.5,Deadlock4
103134,DQN,0.0,Deadlock4
103439,DQN,0.0,Deadlock4
103636,DQN,0.5,Deadlock4
103841,DQN,0.5,Deadlock4
103845,DQN,0.0,Deadlock4
104047,DQN,0.25,Deadlock4
104376,DQN,0.0,Deadlock4
104716,DQN,0.25,Deadlock4
104720,DQN,0.0,Deadlock4
104924,DQN,0.0,Deadlock4
105123,DQN,0.25,Deadlock4
105249,DQN,0.5,Deadlock4
105447,DQN,0.75,Deadlock4
105826,DQN,0.0,Deadlock4
106232,DQN,0.25,Deadlock4
106572,DQN,0.0,Deadlock4
106883,DQN,0.0,Deadlock4
106982,DQN,0.75,Deadlock4
107235,DQN,0.0,Deadlock4
107647,DQN,0.0,Deadlock4
107858,DQN,0.25,Deadlock4
108012,DQN,0.25,Deadlock4
108203,DQN,0.0,Deadlock4
108481,DQN,0.25,Deadlock4
108662,DQN,1.0,Deadlock4
108934,DQN,0.25,Deadlock4
109197,DQN,0.25,Deadlock4
109365,DQN,0.25,Deadlock4
109469,DQN,0.75,Deadlock4
109671,DQN,0.5,Deadlock4
109772,DQN,0.5,Deadlock4
109904,DQN,0.25,Deadlock4
110280,DQN,0.75,Deadlock4
110544,DQN,0.25,Deadlock4
110748,DQN,0.5,Deadlock4
110965,DQN,0.0,Deadlock4
111080,DQN,0.25,Deadlock4
111413,DQN,0.25,Deadlock4
111417,DQN,0.0,Deadlock4
111624,DQN,0.25,Deadlock4
111822,DQN,0.5,Deadlock4
111928,DQN,0.25,Deadlock4
112250,DQN,0.25,Deadlock4
112515,DQN,0.25,Deadlock4
