networksteps,algo,completions,env
2819,DQN,0.0,
6457,DQN,0.07142857142857142,
9870,DQN,0.0,
11960,DQN,0.21428571428571427,
15254,DQN,0.0,
18140,DQN,0.0,
21341,DQN,0.0,
23835,DQN,0.0,
26986,DQN,0.0,
30401,DQN,0.0,
33250,DQN,0.0,
35895,DQN,0.07142857142857142,
39374,DQN,0.0,
42717,DQN,0.0,
44881,DQN,0.14285714285714285,
48134,DQN,0.0,
51095,DQN,0.0,
55271,DQN,0.07142857142857142,
58547,DQN,0.0,
62794,DQN,0.07142857142857142,
65866,DQN,0.0,
69889,DQN,0.0,
72847,DQN,0.0,
74998,DQN,0.0,
77151,DQN,0.14285714285714285,
79773,DQN,0.0,
83692,DQN,0.0,
83833,DQN,0.25,Deadlock4
84097,DQN,0.25,Deadlock4
84239,DQN,0.25,Deadlock4
84603,DQN,0.25,Deadlock4
84733,DQN,0.0,Deadlock4
85071,DQN,0.25,Deadlock4
85075,DQN,0.0,Deadlock4
85407,DQN,0.25,Deadlock4
85833,DQN,0.0,Deadlock4
86052,DQN,0.25,Deadlock4
86470,DQN,0.25,Deadlock4
86837,DQN,0.0,Deadlock4
87209,DQN,0.25,Deadlock4
87520,DQN,0.25,Deadlock4
87524,DQN,0.0,Deadlock4
87943,DQN,0.0,Deadlock4
88243,DQN,0.0,Deadlock4
88360,DQN,0.5,Deadlock4
88778,DQN,0.0,Deadlock4
88997,DQN,0.0,Deadlock4
89118,DQN,0.5,Deadlock4
89223,DQN,0.25,Deadlock4
89616,DQN,0.0,Deadlock4
89830,DQN,0.0,Deadlock4
90249,DQN,0.0,Deadlock4
90388,DQN,0.25,Deadlock4
90496,DQN,0.75,Deadlock4
90500,DQN,0.0,Deadlock4
90892,DQN,0.0,Deadlock4
91177,DQN,0.25,Deadlock4
91591,DQN,0.0,Deadlock4
91909,DQN,0.25,Deadlock4
91913,DQN,0.0,Deadlock4
91917,DQN,0.0,Deadlock4
92127,DQN,0.25,Deadlock4
92131,DQN,0.0,Deadlock4
92333,DQN,0.5,Deadlock4
92752,DQN,0.0,Deadlock4
92951,DQN,0.5,Deadlock4
93370,DQN,0.0,Deadlock4
93575,DQN,0.25,Deadlock4
93909,DQN,0.0,Deadlock4
94017,DQN,0.5,Deadlock4
94205,DQN,0.75,Deadlock4
94209,DQN,0.0,Deadlock4
94306,DQN,0.75,Deadlock4
94529,DQN,0.25,Deadlock4
94867,DQN,0.25,Deadlock4
95281,DQN,0.0,Deadlock4
95390,DQN,0.5,Deadlock4
95505,DQN,0.5,Deadlock4
95765,DQN,0.0,Deadlock4
95908,DQN,0.25,Deadlock4
95912,DQN,0.0,Deadlock4
96246,DQN,0.25,Deadlock4
96664,DQN,0.0,Deadlock4
96808,DQN,0.25,Deadlock4
97081,DQN,0.25,Deadlock4
97509,DQN,0.0,Deadlock4
97513,DQN,0.0,Deadlock4
97658,DQN,0.25,Deadlock4
97993,DQN,0.0,Deadlock4
98366,DQN,0.0,Deadlock4
98625,DQN,0.0,Deadlock4
98908,DQN,0.25,Deadlock4
99011,DQN,0.5,Deadlock4
99289,DQN,0.25,Deadlock4
99711,DQN,0.0,Deadlock4
99715,DQN,0.0,Deadlock4
100010,DQN,0.25,Deadlock4
100383,DQN,0.0,Deadlock4
100805,DQN,0.0,Deadlock4
100914,DQN,0.5,Deadlock4
101139,DQN,0.25,Deadlock4
101498,DQN,0.25,Deadlock4
101820,DQN,0.25,Deadlock4
101927,DQN,0.5,Deadlock4
102107,DQN,0.0,Deadlock4
102220,DQN,0.25,Deadlock4
102556,DQN,0.0,Deadlock4
102902,DQN,0.25,Deadlock4
103319,DQN,0.0,Deadlock4
103644,DQN,0.0,Deadlock4
103963,DQN,0.25,Deadlock4
104074,DQN,0.5,Deadlock4
104078,DQN,0.0,Deadlock4
