networksteps,algo,completions,env
3126,DQN,0.07142857142857142,
6105,DQN,0.14285714285714285,
9163,DQN,0.07142857142857142,
11796,DQN,0.0,
14691,DQN,0.0,
18326,DQN,0.0,
21066,DQN,0.14285714285714285,
24658,DQN,0.0,
27553,DQN,0.0,
30321,DQN,0.0,
34689,DQN,0.07142857142857142,
37559,DQN,0.0,
39965,DQN,0.14285714285714285,
42914,DQN,0.07142857142857142,
45619,DQN,0.0,
48810,DQN,0.0,
50747,DQN,0.0,
53676,DQN,0.0,
59290,DQN,0.07142857142857142,
61877,DQN,0.14285714285714285,
65560,DQN,0.0,
68430,DQN,0.07142857142857142,
71724,DQN,0.0,
74188,DQN,0.0,
76839,DQN,0.07142857142857142,
80260,DQN,0.0,
80271,DQN,0.0,Pathfinding8
80279,DQN,0.0,Pathfinding8
80283,DQN,0.0,Pathfinding8
80291,DQN,0.0,Pathfinding8
80307,DQN,0.0,Pathfinding8
80319,DQN,0.0,Pathfinding8
80331,DQN,0.0,Pathfinding8
80343,DQN,0.0,Pathfinding8
80359,DQN,0.0,Pathfinding8
80368,DQN,0.0,Pathfinding8
80384,DQN,0.0,Pathfinding8
80410,DQN,0.0,Pathfinding8
80424,DQN,0.0,Pathfinding8
80426,DQN,0.0,Pathfinding8
80435,DQN,0.0,Pathfinding8
80443,DQN,0.0,Pathfinding8
80461,DQN,0.0,Pathfinding8
80480,DQN,0.0,Pathfinding8
80501,DQN,0.0,Pathfinding8
80506,DQN,0.0,Pathfinding8
80534,DQN,0.0,Pathfinding8
80548,DQN,0.0,Pathfinding8
80560,DQN,0.0,Pathfinding8
80569,DQN,0.0,Pathfinding8
80580,DQN,0.0,Pathfinding8
80598,DQN,0.0,Pathfinding8
80607,DQN,0.0,Pathfinding8
80616,DQN,0.0,Pathfinding8
80630,DQN,0.0,Pathfinding8
80642,DQN,0.0,Pathfinding8
80647,DQN,0.0,Pathfinding8
80663,DQN,0.0,Pathfinding8
80671,DQN,0.0,Pathfinding8
80687,DQN,0.0,Pathfinding8
80696,DQN,0.0,Pathfinding8
80701,DQN,0.0,Pathfinding8
80710,DQN,0.0,Pathfinding8
80722,DQN,0.0,Pathfinding8
80727,DQN,0.0,Pathfinding8
80738,DQN,0.0,Pathfinding8
80743,DQN,0.0,Pathfinding8
80748,DQN,0.0,Pathfinding8
80760,DQN,0.0,Pathfinding8
80772,DQN,0.0,Pathfinding8
80783,DQN,0.0,Pathfinding8
80794,DQN,0.0,Pathfinding8
80805,DQN,0.0,Pathfinding8
80816,DQN,0.0,Pathfinding8
80830,DQN,0.0,Pathfinding8
80834,DQN,0.0,Pathfinding8
80843,DQN,0.0,Pathfinding8
80848,DQN,0.0,Pathfinding8
80853,DQN,0.0,Pathfinding8
80864,DQN,0.0,Pathfinding8
80869,DQN,0.0,Pathfinding8
80883,DQN,0.0,Pathfinding8
80894,DQN,0.0,Pathfinding8
80906,DQN,0.0,Pathfinding8
80920,DQN,0.0,Pathfinding8
80932,DQN,0.0,Pathfinding8
80943,DQN,0.0,Pathfinding8
80962,DQN,0.0,Pathfinding8
80978,DQN,0.0,Pathfinding8
80990,DQN,0.0,Pathfinding8
81001,DQN,0.0,Pathfinding8
81010,DQN,0.0,Pathfinding8
81024,DQN,0.0,Pathfinding8
81036,DQN,0.0,Pathfinding8
81045,DQN,0.0,Pathfinding8
81064,DQN,0.0,Pathfinding8
81078,DQN,0.0,Pathfinding8
81092,DQN,0.0,Pathfinding8
81104,DQN,0.0,Pathfinding8
81125,DQN,0.0,Pathfinding8
81137,DQN,0.0,Pathfinding8
81149,DQN,0.0,Pathfinding8
81158,DQN,1.0,Pathfinding8
81167,DQN,0.0,Pathfinding8
81186,DQN,0.0,Pathfinding8
81197,DQN,0.0,Pathfinding8
81208,DQN,0.0,Pathfinding8
81212,DQN,1.0,Pathfinding8
81226,DQN,0.0,Pathfinding8
81234,DQN,0.0,Pathfinding8
81245,DQN,0.0,Pathfinding8
81252,DQN,1.0,Pathfinding8
81266,DQN,0.0,Pathfinding8
81277,DQN,0.0,Pathfinding8
81289,DQN,0.0,Pathfinding8
81303,DQN,0.0,Pathfinding8
81314,DQN,0.0,Pathfinding8
81325,DQN,0.0,Pathfinding8
81334,DQN,0.0,Pathfinding8
81348,DQN,0.0,Pathfinding8
81362,DQN,0.0,Pathfinding8
81383,DQN,0.0,Pathfinding8
81395,DQN,0.0,Pathfinding8
81404,DQN,0.0,Pathfinding8
81418,DQN,0.0,Pathfinding8
81436,DQN,0.0,Pathfinding8
81450,DQN,0.0,Pathfinding8
81466,DQN,0.0,Pathfinding8
81474,DQN,0.0,Pathfinding8
81483,DQN,0.0,Pathfinding8
81488,DQN,0.0,Pathfinding8
81500,DQN,0.0,Pathfinding8
81514,DQN,0.0,Pathfinding8
81516,DQN,0.0,Pathfinding8
81528,DQN,0.0,Pathfinding8
81540,DQN,0.0,Pathfinding8
81551,DQN,0.0,Pathfinding8
81563,DQN,0.0,Pathfinding8
81572,DQN,0.0,Pathfinding8
81586,DQN,0.0,Pathfinding8
81598,DQN,0.0,Pathfinding8
81612,DQN,0.0,Pathfinding8
81616,DQN,0.0,Pathfinding8
81632,DQN,0.0,Pathfinding8
81640,DQN,0.0,Pathfinding8
81659,DQN,0.0,Pathfinding8
81677,DQN,0.0,Pathfinding8
81682,DQN,0.0,Pathfinding8
81691,DQN,0.0,Pathfinding8
81707,DQN,0.0,Pathfinding8
81721,DQN,0.0,Pathfinding8
81723,DQN,1.0,Pathfinding8
81739,DQN,0.0,Pathfinding8
81740,DQN,0.0,Pathfinding8
81749,DQN,0.0,Pathfinding8
81758,DQN,0.0,Pathfinding8
81766,DQN,0.0,Pathfinding8
81778,DQN,0.0,Pathfinding8
81796,DQN,0.0,Pathfinding8
81807,DQN,0.0,Pathfinding8
81819,DQN,0.0,Pathfinding8
81827,DQN,0.0,Pathfinding8
81831,DQN,0.0,Pathfinding8
81842,DQN,0.0,Pathfinding8
81858,DQN,0.0,Pathfinding8
81869,DQN,0.0,Pathfinding8
81880,DQN,0.0,Pathfinding8
81894,DQN,0.0,Pathfinding8
81902,DQN,0.0,Pathfinding8
81903,DQN,0.0,Pathfinding8
81919,DQN,0.0,Pathfinding8
81935,DQN,0.0,Pathfinding8
81944,DQN,0.0,Pathfinding8
81955,DQN,0.0,Pathfinding8
81971,DQN,0.0,Pathfinding8
81985,DQN,0.0,Pathfinding8
81989,DQN,0.0,Pathfinding8
82005,DQN,0.0,Pathfinding8
82013,DQN,0.0,Pathfinding8
82024,DQN,0.0,Pathfinding8
82038,DQN,0.0,Pathfinding8
82047,DQN,0.0,Pathfinding8
82065,DQN,0.0,Pathfinding8
82076,DQN,0.0,Pathfinding8
82087,DQN,0.0,Pathfinding8
82099,DQN,0.0,Pathfinding8
82111,DQN,0.0,Pathfinding8
82122,DQN,0.0,Pathfinding8
82133,DQN,0.0,Pathfinding8
82147,DQN,0.0,Pathfinding8
82159,DQN,0.0,Pathfinding8
82168,DQN,0.0,Pathfinding8
82184,DQN,0.0,Pathfinding8
82198,DQN,0.0,Pathfinding8
82203,DQN,0.0,Pathfinding8
82212,DQN,0.0,Pathfinding8
82230,DQN,0.0,Pathfinding8
82249,DQN,0.0,Pathfinding8
82267,DQN,0.0,Pathfinding8
82278,DQN,0.0,Pathfinding8
82286,DQN,0.0,Pathfinding8
82295,DQN,0.0,Pathfinding8
82304,DQN,0.0,Pathfinding8
82309,DQN,0.0,Pathfinding8
82311,DQN,0.0,Pathfinding8
82320,DQN,0.0,Pathfinding8
82329,DQN,0.0,Pathfinding8
82341,DQN,0.0,Pathfinding8
82346,DQN,0.0,Pathfinding8
82355,DQN,0.0,Pathfinding8
82356,DQN,0.0,Pathfinding8
82368,DQN,0.0,Pathfinding8
