networksteps,algo,score,env
1871,DQN,-0.4011608991422628,
5142,DQN,-0.3908246225319373,
7755,DQN,-0.36521653929060893,
9970,DQN,-0.3444630192502482,
11688,DQN,-0.357482993197276,
15171,DQN,-0.3652066486972221,
19706,DQN,-0.36622321428572535,
22948,DQN,-0.3422203765226983,
26247,DQN,-0.3599369988545214,
29374,DQN,-0.39991015274033886,
33546,DQN,-0.35151542759961835,
37234,DQN,-0.3369269446909167,
40158,DQN,-0.37587137947962235,
44568,DQN,-0.3598269915442853,
47945,DQN,-0.36074745687748444,
50691,DQN,-0.41639983579638257,
55782,DQN,-0.38124243341405234,
58548,DQN,-0.3522959183673416,
61862,DQN,-0.3473743791995338,
65565,DQN,-0.32299919967987406,
67870,DQN,-0.39613252708490476,
70870,DQN,-0.44270662287903506,
74046,DQN,-0.39752090800477713,
79352,DQN,-0.3329194663550575,
81626,DQN,-0.3634818884818843,
81839,DQN,-0.30423611111111143,Malfunction6
82073,DQN,-0.44250000000000045,Malfunction6
82297,DQN,-0.2822916666666667,Malfunction6
82486,DQN,-0.377638888888889,Malfunction6
82703,DQN,-0.30506944444444456,Malfunction6
82927,DQN,-0.4554166666666668,Malfunction6
83119,DQN,-0.5333333333333333,Malfunction6
83353,DQN,-0.4052083333333334,Malfunction6
83573,DQN,-0.4268055555555558,Malfunction6
83797,DQN,-0.3052777777777779,Malfunction6
84007,DQN,-0.28708333333333347,Malfunction6
84197,DQN,-0.3490972222222224,Malfunction6
84414,DQN,-0.3247222222222225,Malfunction6
84591,DQN,-0.3645833333333335,Malfunction6
84804,DQN,-0.24409722222222222,Malfunction6
85007,DQN,-0.36694444444444474,Malfunction6
85241,DQN,-0.45645833333333347,Malfunction6
85461,DQN,-0.2884027777777779,Malfunction6
85592,DQN,-0.38381944444444455,Malfunction6
85815,DQN,-0.317638888888889,Malfunction6
86018,DQN,-0.4189583333333334,Malfunction6
86240,DQN,-0.46194444444444466,Malfunction6
86458,DQN,-0.2919444444444445,Malfunction6
86685,DQN,-0.2806250000000002,Malfunction6
86871,DQN,-0.39104166666666684,Malfunction6
87070,DQN,-0.34888888888888875,Malfunction6
87270,DQN,-0.4206944444444446,Malfunction6
87482,DQN,-0.29083333333333355,Malfunction6
87710,DQN,-0.37625000000000014,Malfunction6
87913,DQN,-0.361527777777778,Malfunction6
88138,DQN,-0.31375000000000003,Malfunction6
88337,DQN,-0.22548611111111092,Malfunction6
88546,DQN,-0.29930555555555555,Malfunction6
