networksteps,algo,score,env
2542,DQN,-0.36906400174748366,
6002,DQN,-0.34973310858266476,
8030,DQN,-0.38673924115100144,
11115,DQN,-0.3581600923951622,
13874,DQN,-0.3986186841148666,
17918,DQN,-0.36891534391535113,
20238,DQN,-0.345698608661568,
23100,DQN,-0.3211319281811028,
25475,DQN,-0.3093246063365523,
28698,DQN,-0.3737801810865206,
31797,DQN,-0.3491053169734139,
34807,DQN,-0.3427055466381242,
37284,DQN,-0.33735965931087364,
41307,DQN,-0.34158078060884856,
43715,DQN,-0.33036507936507414,
47371,DQN,-0.38310585380648987,
50832,DQN,-0.3879894937917918,
53806,DQN,-0.4052380952380998,
56358,DQN,-0.34695328368313616,
59417,DQN,-0.35894499178981576,
61830,DQN,-0.297505217226327,
64774,DQN,-0.3653390162649378,
68159,DQN,-0.42474402730375355,
71125,DQN,-0.38792902066486423,
74484,DQN,-0.34483050847457136,
77503,DQN,-0.36636577708006224,
80634,DQN,-0.37725054686185067,
80854,DQN,-0.2960416666666669,Malfunction6
81056,DQN,-0.2547222222222223,Malfunction6
81268,DQN,-0.24472222222222229,Malfunction6
81494,DQN,-0.32291666666666685,Malfunction6
81727,DQN,-0.35381944444444446,Malfunction6
81912,DQN,-0.31006944444444423,Malfunction6
82109,DQN,-0.3085416666666662,Malfunction6
82296,DQN,-0.40104166666666685,Malfunction6
82511,DQN,-0.477638888888889,Malfunction6
82745,DQN,-0.41097222222222235,Malfunction6
82935,DQN,-0.39708333333333345,Malfunction6
83114,DQN,-0.3659722222222222,Malfunction6
83249,DQN,-0.41965277777777793,Malfunction6
83479,DQN,-0.3805555555555558,Malfunction6
83712,DQN,-0.37944444444444453,Malfunction6
83928,DQN,-0.37069444444444444,Malfunction6
84162,DQN,-0.44569444444444456,Malfunction6
84376,DQN,-0.3109027777777779,Malfunction6
84577,DQN,-0.3120138888888888,Malfunction6
84761,DQN,-0.27388888888888874,Malfunction6
84937,DQN,-0.4220138888888891,Malfunction6
85170,DQN,-0.3118055555555557,Malfunction6
85404,DQN,-0.37340277777777814,Malfunction6
85628,DQN,-0.30625000000000013,Malfunction6
85836,DQN,-0.2929861111111113,Malfunction6
86056,DQN,-0.32083333333333364,Malfunction6
86290,DQN,-0.3679861111111114,Malfunction6
86515,DQN,-0.3518055555555558,Malfunction6
86749,DQN,-0.4650000000000002,Malfunction6
86940,DQN,-0.25423611111111105,Malfunction6
87160,DQN,-0.4049305555555558,Malfunction6
87320,DQN,-0.32534722222222184,Malfunction6
87526,DQN,-0.4568055555555561,Malfunction6
87760,DQN,-0.4120833333333334,Malfunction6
87932,DQN,-0.4915277777777779,Malfunction6
88158,DQN,-0.2955555555555559,Malfunction6
88392,DQN,-0.4190972222222224,Malfunction6
88590,DQN,-0.39729166666666693,Malfunction6
88808,DQN,-0.277083333333333,Malfunction6
89003,DQN,-0.36444444444444424,Malfunction6
89237,DQN,-0.44645833333333357,Malfunction6
89415,DQN,-0.35902777777777795,Malfunction6
