networksteps,algo,score,env
3066,DQN,-0.39687605538668735,
5993,DQN,-0.30994983277591526,
8507,DQN,-0.37672877846790453,
10874,DQN,-0.3947420634920592,
13605,DQN,-0.35231150793650173,
16878,DQN,-0.35926114217928545,
19567,DQN,-0.33890138732657893,
22467,DQN,-0.33132417004657005,
25578,DQN,-0.36914822266934616,
29728,DQN,-0.3937051077414235,
33552,DQN,-0.39028982199908757,
36965,DQN,-0.38883477633477764,
40160,DQN,-0.30797208538587273,
42015,DQN,-0.37827380952380596,
44758,DQN,-0.4109778262449978,
48498,DQN,-0.3174592813626796,
52115,DQN,-0.3577830841639018,
55170,DQN,-0.412362982929017,
57633,DQN,-0.3316238095238048,
61424,DQN,-0.336699042223121,
65585,DQN,-0.3238856412130112,
69657,DQN,-0.36881793478261526,
73260,DQN,-0.37832988267770923,
76100,DQN,-0.3402751497950138,
79768,DQN,-0.38659147869674143,
83187,DQN,-0.42143632697378614,
83203,DQN,-0.3627450980392157,Pathfinding8
83208,DQN,-0.6138888888888889,Pathfinding8
83219,DQN,-0.48055555555555557,Pathfinding8
83230,DQN,-0.5347222222222222,Pathfinding8
83258,DQN,-0.3971264367816093,Pathfinding8
83274,DQN,-0.3598039215686275,Pathfinding8
83285,DQN,-0.3430555555555555,Pathfinding8
83299,DQN,-0.42777777777777776,Pathfinding8
83315,DQN,-0.43529411764705883,Pathfinding8
83324,DQN,-0.5399999999999999,Pathfinding8
83329,DQN,-0.44722222222222224,Pathfinding8
83345,DQN,-0.37941176470588245,Pathfinding8
83350,DQN,-0.44722222222222224,Pathfinding8
83362,DQN,-0.241025641025641,Pathfinding8
83371,DQN,-0.5716666666666667,Pathfinding8
83385,DQN,-0.3177777777777778,Pathfinding8
83401,DQN,-0.45588235294117646,Pathfinding8
83422,DQN,-0.3856060606060607,Pathfinding8
83431,DQN,-0.475,Pathfinding8
83434,DQN,-0.13999999999999999,Pathfinding8
83438,DQN,-0.11944444444444441,Pathfinding8
83446,DQN,-0.3055555555555556,Pathfinding8
83460,DQN,-0.42888888888888893,Pathfinding8
83472,DQN,-0.41794871794871796,Pathfinding8
83476,DQN,-0.5366666666666667,Pathfinding8
83488,DQN,-0.4166666666666667,Pathfinding8
83497,DQN,-0.6066666666666667,Pathfinding8
83508,DQN,-0.3430555555555555,Pathfinding8
83517,DQN,-0.44,Pathfinding8
83529,DQN,-0.38974358974358975,Pathfinding8
83540,DQN,-0.5555555555555556,Pathfinding8
83552,DQN,-0.4948717948717948,Pathfinding8
83561,DQN,-0.5666666666666667,Pathfinding8
83565,DQN,-0.4033333333333333,Pathfinding8
83577,DQN,-0.441025641025641,Pathfinding8
83586,DQN,-0.44,Pathfinding8
83607,DQN,-0.3848484848484849,Pathfinding8
83621,DQN,-0.27666666666666667,Pathfinding8
83640,DQN,-0.27583333333333326,Pathfinding8
83654,DQN,-0.45,Pathfinding8
83663,DQN,-0.30666666666666664,Pathfinding8
83675,DQN,-0.26410256410256405,Pathfinding8
83703,DQN,-0.4545977011494253,Pathfinding8
83711,DQN,-0.4888888888888889,Pathfinding8
83725,DQN,-0.4055555555555556,Pathfinding8
83730,DQN,-0.33888888888888885,Pathfinding8
83741,DQN,-0.3430555555555555,Pathfinding8
83755,DQN,-0.2544444444444444,Pathfinding8
83756,DQN,-0.5,Pathfinding8
83767,DQN,-0.3680555555555556,Pathfinding8
83776,DQN,-0.505,Pathfinding8
83780,DQN,-0.4033333333333333,Pathfinding8
83792,DQN,-0.441025641025641,Pathfinding8
83817,DQN,-0.4782051282051283,Pathfinding8
