networksteps,algo,score,env
3126,DQN,-0.3316558441558416,
6105,DQN,-0.36391941391941296,
9163,DQN,-0.4079147465437821,
11796,DQN,-0.34941951987406006,
14691,DQN,-0.37594417077175246,
18326,DQN,-0.3940041974236536,
21066,DQN,-0.3480880230880267,
24658,DQN,-0.3659058889828157,
27553,DQN,-0.38955933179723007,
30321,DQN,-0.40175438596490703,
34689,DQN,-0.37948361162647265,
37559,DQN,-0.32767558528427737,
39965,DQN,-0.3563025210083978,
42914,DQN,-0.3870842086834727,
45619,DQN,-0.30148015873015255,
48810,DQN,-0.3464722222222158,
50747,DQN,-0.4458141321044513,
53676,DQN,-0.3840219421101792,
59290,DQN,-0.3590484530064317,
61877,DQN,-0.3385054396290321,
65560,DQN,-0.33252599890531087,
68430,DQN,-0.3580059523809492,
71724,DQN,-0.32156531531531074,
74188,DQN,-0.3269326559075474,
76839,DQN,-0.35438861985471637,
80260,DQN,-0.3610800119420791,
80271,DQN,-0.5041666666666667,Pathfinding8
80279,DQN,-0.6666666666666666,Pathfinding8
80283,DQN,-0.6033333333333334,Pathfinding8
80291,DQN,-0.5962962962962963,Pathfinding8
80307,DQN,-0.30392156862745096,Pathfinding8
80319,DQN,-0.5641025641025641,Pathfinding8
80331,DQN,-0.3141025641025641,Pathfinding8
80343,DQN,-0.4166666666666667,Pathfinding8
80359,DQN,-0.36176470588235293,Pathfinding8
80368,DQN,-0.5700000000000001,Pathfinding8
80384,DQN,-0.3794117647058824,Pathfinding8
80410,DQN,-0.2796296296296297,Pathfinding8
80424,DQN,-0.25222222222222224,Pathfinding8
80426,DQN,-0.6666666666666666,Pathfinding8
80435,DQN,-0.44166666666666665,Pathfinding8
80443,DQN,-0.4129629629629629,Pathfinding8
80461,DQN,-0.44385964912280707,Pathfinding8
80480,DQN,-0.3891666666666667,Pathfinding8
80501,DQN,-0.3265151515151516,Pathfinding8
80506,DQN,-0.6722222222222223,Pathfinding8
80534,DQN,-0.3637931034482759,Pathfinding8
80548,DQN,-0.5122222222222222,Pathfinding8
80560,DQN,-0.491025641025641,Pathfinding8
80569,DQN,-0.6716666666666666,Pathfinding8
80580,DQN,-0.4222222222222222,Pathfinding8
80598,DQN,-0.4947368421052632,Pathfinding8
80607,DQN,-0.5066666666666666,Pathfinding8
80616,DQN,-0.44,Pathfinding8
80630,DQN,-0.31777777777777777,Pathfinding8
80642,DQN,-0.2897435897435897,Pathfinding8
80647,DQN,-0.5055555555555555,Pathfinding8
80663,DQN,-0.26274509803921564,Pathfinding8
80671,DQN,-0.561111111111111,Pathfinding8
80687,DQN,-0.35882352941176476,Pathfinding8
80696,DQN,-0.5716666666666667,Pathfinding8
80701,DQN,-0.6722222222222223,Pathfinding8
80710,DQN,-0.6016666666666667,Pathfinding8
80722,DQN,-0.5435897435897435,Pathfinding8
80727,DQN,-0.7222222222222222,Pathfinding8
80738,DQN,-0.33888888888888885,Pathfinding8
80743,DQN,-0.6138888888888889,Pathfinding8
80748,DQN,-0.5555555555555556,Pathfinding8
80760,DQN,-0.491025641025641,Pathfinding8
80772,DQN,-0.491025641025641,Pathfinding8
80783,DQN,-0.6138888888888889,Pathfinding8
80794,DQN,-0.5861111111111111,Pathfinding8
80805,DQN,-0.5847222222222223,Pathfinding8
80816,DQN,-0.4208333333333334,Pathfinding8
80830,DQN,-0.42888888888888893,Pathfinding8
80834,DQN,-0.4033333333333333,Pathfinding8
80843,DQN,-0.5733333333333334,Pathfinding8
80848,DQN,-0.7805555555555556,Pathfinding8
80853,DQN,-0.33888888888888885,Pathfinding8
80864,DQN,-0.5583333333333333,Pathfinding8
80869,DQN,-0.5555555555555556,Pathfinding8
80883,DQN,-0.558888888888889,Pathfinding8
80894,DQN,-0.4791666666666667,Pathfinding8
80906,DQN,-0.49102564102564106,Pathfinding8
80920,DQN,-0.4066666666666668,Pathfinding8
80932,DQN,-0.4641025641025641,Pathfinding8
80943,DQN,-0.3138888888888889,Pathfinding8
80962,DQN,-0.4075,Pathfinding8
80978,DQN,-0.5901960784313726,Pathfinding8
80990,DQN,-0.617948717948718,Pathfinding8
81001,DQN,-0.5597222222222222,Pathfinding8
81010,DQN,-0.5066666666666666,Pathfinding8
81024,DQN,-0.42777777777777776,Pathfinding8
81036,DQN,-0.491025641025641,Pathfinding8
81045,DQN,-0.44166666666666665,Pathfinding8
81064,DQN,-0.40416666666666673,Pathfinding8
81078,DQN,-0.40777777777777774,Pathfinding8
81092,DQN,-0.4955555555555556,Pathfinding8
81104,DQN,-0.5179487179487179,Pathfinding8
81125,DQN,-0.45833333333333337,Pathfinding8
81137,DQN,-0.4397435897435897,Pathfinding8
81149,DQN,-0.46794871794871795,Pathfinding8
81158,DQN,-0.17666666666666664,Pathfinding8
81167,DQN,-0.5716666666666667,Pathfinding8
81186,DQN,-0.35916666666666663,Pathfinding8
81197,DQN,-0.5013888888888889,Pathfinding8
81208,DQN,-0.47638888888888886,Pathfinding8
81212,DQN,-0.11944444444444441,Pathfinding8
81226,DQN,-0.3844444444444445,Pathfinding8
81234,DQN,-0.48333333333333334,Pathfinding8
81245,DQN,-0.5305555555555556,Pathfinding8
81252,DQN,-0.15555555555555553,Pathfinding8
81266,DQN,-0.4066666666666667,Pathfinding8
81277,DQN,-0.4222222222222222,Pathfinding8
81289,DQN,-0.2897435897435897,Pathfinding8
81303,DQN,-0.3822222222222223,Pathfinding8
81314,DQN,-0.47638888888888886,Pathfinding8
81325,DQN,-0.4222222222222222,Pathfinding8
81334,DQN,-0.4716666666666666,Pathfinding8
81348,DQN,-0.2744444444444444,Pathfinding8
81362,DQN,-0.3855555555555555,Pathfinding8
81383,DQN,-0.26742424242424245,Pathfinding8
81395,DQN,-0.3141025641025641,Pathfinding8
81404,DQN,-0.475,Pathfinding8
81418,DQN,-0.4066666666666667,Pathfinding8
81436,DQN,-0.27280701754385966,Pathfinding8
81450,DQN,-0.4733333333333333,Pathfinding8
81466,DQN,-0.3588235294117647,Pathfinding8
81474,DQN,-0.5203703703703704,Pathfinding8
81483,DQN,-0.535,Pathfinding8
81488,DQN,-0.5055555555555555,Pathfinding8
81500,DQN,-0.391025641025641,Pathfinding8
81514,DQN,-0.5777777777777777,Pathfinding8
81516,DQN,-0.5555555555555556,Pathfinding8
81528,DQN,-0.591025641025641,Pathfinding8
81540,DQN,-0.5448717948717948,Pathfinding8
81551,DQN,-0.4513888888888889,Pathfinding8
81563,DQN,-0.5423076923076923,Pathfinding8
81572,DQN,-0.7033333333333334,Pathfinding8
