networksteps,algo,completions,env
3133,DQNEWC,0.0,
6735,DQNEWC,0.0,
8858,DQNEWC,0.07142857142857142,
12260,DQNEWC,0.07142857142857142,
15309,DQNEWC,0.07142857142857142,
18454,DQNEWC,0.07142857142857142,
21693,DQNEWC,0.0,
25929,DQNEWC,0.0,
28867,DQNEWC,0.07142857142857142,
32380,DQNEWC,0.07142857142857142,
35306,DQNEWC,0.0,
38456,DQNEWC,0.0,
42272,DQNEWC,0.0,
44783,DQNEWC,0.0,
48271,DQNEWC,0.14285714285714285,
52202,DQNEWC,0.0,
55345,DQNEWC,0.0,
58716,DQNEWC,0.0,
62001,DQNEWC,0.07142857142857142,
65211,DQNEWC,0.0,
67632,DQNEWC,0.07142857142857142,
70837,DQNEWC,0.07142857142857142,
73809,DQNEWC,0.14285714285714285,
76462,DQNEWC,0.21428571428571427,
78891,DQNEWC,0.07142857142857142,
82171,DQNEWC,0.0,
82185,DQNEWC,0.0,Pathfinding8
82189,DQNEWC,0.0,Pathfinding8
82201,DQNEWC,0.0,Pathfinding8
82215,DQNEWC,0.0,Pathfinding8
82226,DQNEWC,0.0,Pathfinding8
82240,DQNEWC,0.0,Pathfinding8
82248,DQNEWC,0.0,Pathfinding8
82259,DQNEWC,0.0,Pathfinding8
82270,DQNEWC,0.0,Pathfinding8
82278,DQNEWC,0.0,Pathfinding8
82287,DQNEWC,0.0,Pathfinding8
82296,DQNEWC,0.0,Pathfinding8
82297,DQNEWC,0.0,Pathfinding8
82305,DQNEWC,0.0,Pathfinding8
82327,DQNEWC,0.0,Pathfinding8
82328,DQNEWC,0.0,Pathfinding8
82336,DQNEWC,0.0,Pathfinding8
82352,DQNEWC,0.0,Pathfinding8
82360,DQNEWC,0.0,Pathfinding8
82364,DQNEWC,0.0,Pathfinding8
82378,DQNEWC,0.0,Pathfinding8
82387,DQNEWC,0.0,Pathfinding8
82396,DQNEWC,0.0,Pathfinding8
82412,DQNEWC,0.0,Pathfinding8
82426,DQNEWC,0.0,Pathfinding8
82438,DQNEWC,0.0,Pathfinding8
82447,DQNEWC,0.0,Pathfinding8
82465,DQNEWC,0.0,Pathfinding8
82483,DQNEWC,0.0,Pathfinding8
