networksteps,algo,completions,env
3500,DQNEWC,0.0,
5352,DQNEWC,0.2857142857142857,
7761,DQNEWC,0.35714285714285715,
10978,DQNEWC,0.0,
14161,DQNEWC,0.07142857142857142,
16405,DQNEWC,0.07142857142857142,
19001,DQNEWC,0.07142857142857142,
22668,DQNEWC,0.07142857142857142,
25850,DQNEWC,0.14285714285714285,
29447,DQNEWC,0.07142857142857142,
32165,DQNEWC,0.14285714285714285,
34539,DQNEWC,0.07142857142857142,
37441,DQNEWC,0.07142857142857142,
40360,DQNEWC,0.0,
42947,DQNEWC,0.0,
45987,DQNEWC,0.0,
48896,DQNEWC,0.14285714285714285,
52054,DQNEWC,0.0,
54920,DQNEWC,0.14285714285714285,
56834,DQNEWC,0.07142857142857142,
59457,DQNEWC,0.07142857142857142,
62765,DQNEWC,0.0,
65974,DQNEWC,0.07142857142857142,
69615,DQNEWC,0.0,
72456,DQNEWC,0.07142857142857142,
75430,DQNEWC,0.14285714285714285,
79304,DQNEWC,0.0,
82328,DQNEWC,0.07142857142857142,
82332,DQNEWC,1.0,Pathfinding8
82337,DQNEWC,0.0,Pathfinding8
82341,DQNEWC,0.0,Pathfinding8
82352,DQNEWC,0.0,Pathfinding8
82366,DQNEWC,0.0,Pathfinding8
82387,DQNEWC,0.0,Pathfinding8
82405,DQNEWC,0.0,Pathfinding8
82419,DQNEWC,0.0,Pathfinding8
82430,DQNEWC,0.0,Pathfinding8
82439,DQNEWC,0.0,Pathfinding8
82453,DQNEWC,0.0,Pathfinding8
82458,DQNEWC,0.0,Pathfinding8
82470,DQNEWC,0.0,Pathfinding8
82486,DQNEWC,0.0,Pathfinding8
82495,DQNEWC,0.0,Pathfinding8
82500,DQNEWC,1.0,Pathfinding8
82505,DQNEWC,0.0,Pathfinding8
82516,DQNEWC,0.0,Pathfinding8
82521,DQNEWC,0.0,Pathfinding8
82530,DQNEWC,0.0,Pathfinding8
82542,DQNEWC,0.0,Pathfinding8
82547,DQNEWC,0.0,Pathfinding8
82563,DQNEWC,0.0,Pathfinding8
82567,DQNEWC,0.0,Pathfinding8
82575,DQNEWC,1.0,Pathfinding8
82586,DQNEWC,0.0,Pathfinding8
82597,DQNEWC,0.0,Pathfinding8
82605,DQNEWC,0.0,Pathfinding8
82626,DQNEWC,0.0,Pathfinding8
82637,DQNEWC,0.0,Pathfinding8
82659,DQNEWC,0.0,Pathfinding8
82670,DQNEWC,0.0,Pathfinding8
82689,DQNEWC,0.0,Pathfinding8
82703,DQNEWC,0.0,Pathfinding8
82717,DQNEWC,0.0,Pathfinding8
82729,DQNEWC,0.0,Pathfinding8
82741,DQNEWC,0.0,Pathfinding8
82753,DQNEWC,0.0,Pathfinding8
82765,DQNEWC,0.0,Pathfinding8
82783,DQNEWC,0.0,Pathfinding8
82788,DQNEWC,0.0,Pathfinding8
82802,DQNEWC,0.0,Pathfinding8
82814,DQNEWC,0.0,Pathfinding8
82819,DQNEWC,0.0,Pathfinding8
82833,DQNEWC,0.0,Pathfinding8
82844,DQNEWC,0.0,Pathfinding8
82862,DQNEWC,0.0,Pathfinding8
82874,DQNEWC,0.0,Pathfinding8
82900,DQNEWC,0.0,Pathfinding8
82916,DQNEWC,0.0,Pathfinding8
82934,DQNEWC,0.0,Pathfinding8
82938,DQNEWC,0.0,Pathfinding8
82946,DQNEWC,0.0,Pathfinding8
82954,DQNEWC,0.0,Pathfinding8
82965,DQNEWC,0.0,Pathfinding8
82981,DQNEWC,0.0,Pathfinding8
82993,DQNEWC,0.0,Pathfinding8
83002,DQNEWC,0.0,Pathfinding8
83018,DQNEWC,0.0,Pathfinding8
83034,DQNEWC,0.0,Pathfinding8
83042,DQNEWC,0.0,Pathfinding8
83050,DQNEWC,0.0,Pathfinding8
83059,DQNEWC,0.0,Pathfinding8
83070,DQNEWC,0.0,Pathfinding8
83081,DQNEWC,0.0,Pathfinding8
83085,DQNEWC,0.0,Pathfinding8
83099,DQNEWC,0.0,Pathfinding8
83117,DQNEWC,0.0,Pathfinding8
83126,DQNEWC,0.0,Pathfinding8
83140,DQNEWC,0.0,Pathfinding8
83148,DQNEWC,0.0,Pathfinding8
83166,DQNEWC,0.0,Pathfinding8
83185,DQNEWC,0.0,Pathfinding8
83203,DQNEWC,0.0,Pathfinding8
83224,DQNEWC,0.0,Pathfinding8
83238,DQNEWC,0.0,Pathfinding8
83240,DQNEWC,0.0,Pathfinding8
83254,DQNEWC,0.0,Pathfinding8
83262,DQNEWC,0.0,Pathfinding8
83266,DQNEWC,0.0,Pathfinding8
83287,DQNEWC,0.0,Pathfinding8
83308,DQNEWC,0.0,Pathfinding8
83319,DQNEWC,0.0,Pathfinding8
83331,DQNEWC,0.0,Pathfinding8
83345,DQNEWC,0.0,Pathfinding8
83367,DQNEWC,0.0,Pathfinding8
83378,DQNEWC,0.0,Pathfinding8
83392,DQNEWC,0.0,Pathfinding8
83406,DQNEWC,0.0,Pathfinding8
83418,DQNEWC,0.0,Pathfinding8
83426,DQNEWC,0.0,Pathfinding8
83430,DQNEWC,0.0,Pathfinding8
83446,DQNEWC,0.0,Pathfinding8
83458,DQNEWC,0.0,Pathfinding8
83472,DQNEWC,0.0,Pathfinding8
83480,DQNEWC,0.0,Pathfinding8
83491,DQNEWC,0.0,Pathfinding8
83505,DQNEWC,0.0,Pathfinding8
83516,DQNEWC,0.0,Pathfinding8
83525,DQNEWC,0.0,Pathfinding8
83547,DQNEWC,0.0,Pathfinding8
83561,DQNEWC,0.0,Pathfinding8
83572,DQNEWC,0.0,Pathfinding8
83583,DQNEWC,0.0,Pathfinding8
83587,DQNEWC,1.0,Pathfinding8
83596,DQNEWC,0.0,Pathfinding8
83604,DQNEWC,0.0,Pathfinding8
83618,DQNEWC,0.0,Pathfinding8
83636,DQNEWC,0.0,Pathfinding8
83654,DQNEWC,0.0,Pathfinding8
83668,DQNEWC,0.0,Pathfinding8
83686,DQNEWC,0.0,Pathfinding8
83695,DQNEWC,0.0,Pathfinding8
83707,DQNEWC,1.0,Pathfinding8
83715,DQNEWC,0.0,Pathfinding8
83727,DQNEWC,0.0,Pathfinding8
83749,DQNEWC,0.0,Pathfinding8
83763,DQNEWC,0.0,Pathfinding8
83774,DQNEWC,0.0,Pathfinding8
83786,DQNEWC,0.0,Pathfinding8
83798,DQNEWC,0.0,Pathfinding8
83809,DQNEWC,0.0,Pathfinding8
