networksteps,algo,score,env
3500,DQNEWC,-0.38852707749765836,
5352,DQNEWC,-0.3399037210512577,
7761,DQNEWC,-0.3197839960726549,
10978,DQNEWC,-0.3810512291559181,
14161,DQNEWC,-0.3288372630605591,
16405,DQNEWC,-0.4158604182413669,
19001,DQNEWC,-0.3765585241730242,
22668,DQNEWC,-0.32681653042689107,
25850,DQNEWC,-0.31739779513091043,
29447,DQNEWC,-0.39362612612613035,
32165,DQNEWC,-0.3244977060591672,
34539,DQNEWC,-0.37982596626093973,
37441,DQNEWC,-0.3297891675754221,
40360,DQNEWC,-0.3594937659606429,
42947,DQNEWC,-0.4053686339400633,
45987,DQNEWC,-0.342990767735659,
48896,DQNEWC,-0.3578288192600406,
52054,DQNEWC,-0.32409010742343397,
54920,DQNEWC,-0.3921020937557849,
56834,DQNEWC,-0.36887855734009223,
59457,DQNEWC,-0.364961161769667,
62765,DQNEWC,-0.3975774225774164,
65974,DQNEWC,-0.3392729477850237,
69615,DQNEWC,-0.4089950694174194,
72456,DQNEWC,-0.3515268189059954,
75430,DQNEWC,-0.350235813175108,
79304,DQNEWC,-0.3949140401146163,
82328,DQNEWC,-0.3637172516065213,
82332,DQNEWC,-0.11944444444444441,Pathfinding8
82337,DQNEWC,-0.5055555555555555,Pathfinding8
82341,DQNEWC,-0.6,Pathfinding8
82352,DQNEWC,-0.3972222222222222,Pathfinding8
82366,DQNEWC,-0.40888888888888886,Pathfinding8
82387,DQNEWC,-0.34015151515151515,Pathfinding8
82405,DQNEWC,-0.3394736842105263,Pathfinding8
82419,DQNEWC,-0.2966666666666667,Pathfinding8
82430,DQNEWC,-0.39722222222222225,Pathfinding8
82439,DQNEWC,-0.5066666666666666,Pathfinding8
82453,DQNEWC,-0.38444444444444437,Pathfinding8
82458,DQNEWC,-0.5555555555555556,Pathfinding8
82470,DQNEWC,-0.5141025641025642,Pathfinding8
82486,DQNEWC,-0.5127450980392158,Pathfinding8
82495,DQNEWC,-0.5333333333333333,Pathfinding8
82500,DQNEWC,-0.08148148148148146,Pathfinding8
82505,DQNEWC,-0.6722222222222223,Pathfinding8
82516,DQNEWC,-0.3958333333333333,Pathfinding8
82521,DQNEWC,-0.33888888888888885,Pathfinding8
82530,DQNEWC,-0.5716666666666667,Pathfinding8
82542,DQNEWC,-0.3923076923076923,Pathfinding8
82547,DQNEWC,-0.6138888888888889,Pathfinding8
82563,DQNEWC,-0.3009803921568628,Pathfinding8
82567,DQNEWC,-0.47,Pathfinding8
82575,DQNEWC,-0.09166666666666663,Pathfinding8
82586,DQNEWC,-0.3972222222222222,Pathfinding8
82597,DQNEWC,-0.5833333333333334,Pathfinding8
82605,DQNEWC,-0.5203703703703704,Pathfinding8
82626,DQNEWC,-0.3696969696969697,Pathfinding8
82637,DQNEWC,-0.5847222222222223,Pathfinding8
82659,DQNEWC,-0.3123188405797102,Pathfinding8
82670,DQNEWC,-0.47638888888888886,Pathfinding8
82689,DQNEWC,-0.3575,Pathfinding8
82703,DQNEWC,-0.5800000000000001,Pathfinding8
82717,DQNEWC,-0.4255555555555556,Pathfinding8
82729,DQNEWC,-0.4410256410256411,Pathfinding8
82741,DQNEWC,-0.46538461538461534,Pathfinding8
82753,DQNEWC,-0.49102564102564106,Pathfinding8
82765,DQNEWC,-0.4641025641025641,Pathfinding8
82783,DQNEWC,-0.3219298245614036,Pathfinding8
82788,DQNEWC,-0.44722222222222224,Pathfinding8
82802,DQNEWC,-0.44777777777777783,Pathfinding8
82814,DQNEWC,-0.2897435897435897,Pathfinding8
82819,DQNEWC,-0.6138888888888889,Pathfinding8
82833,DQNEWC,-0.3388888888888889,Pathfinding8
82844,DQNEWC,-0.44722222222222224,Pathfinding8
82862,DQNEWC,-0.4771929824561404,Pathfinding8
82874,DQNEWC,-0.5423076923076923,Pathfinding8
82900,DQNEWC,-0.3061728395061729,Pathfinding8
82916,DQNEWC,-0.4941176470588235,Pathfinding8
