networksteps,algo,completions,env
1773,DQNEWC,0.0,
4282,DQNEWC,0.0,
6429,DQNEWC,0.21428571428571427,
9009,DQNEWC,0.07142857142857142,
11970,DQNEWC,0.0,
15072,DQNEWC,0.07142857142857142,
17396,DQNEWC,0.07142857142857142,
21476,DQNEWC,0.0,
24442,DQNEWC,0.0,
27241,DQNEWC,0.14285714285714285,
29700,DQNEWC,0.07142857142857142,
32300,DQNEWC,0.07142857142857142,
34589,DQNEWC,0.0,
37465,DQNEWC,0.0,
40567,DQNEWC,0.07142857142857142,
43477,DQNEWC,0.14285714285714285,
46017,DQNEWC,0.07142857142857142,
48685,DQNEWC,0.0,
51271,DQNEWC,0.0,
54525,DQNEWC,0.0,
57726,DQNEWC,0.21428571428571427,
60060,DQNEWC,0.14285714285714285,
62899,DQNEWC,0.0,
64758,DQNEWC,0.0,
68144,DQNEWC,0.07142857142857142,
70496,DQNEWC,0.07142857142857142,
73937,DQNEWC,0.0,
76536,DQNEWC,0.0,
78974,DQNEWC,0.0,
82867,DQNEWC,0.0,
83017,DQNEWC,0.0,Deadlock4
83021,DQNEWC,0.0,Deadlock4
83169,DQNEWC,0.0,Deadlock4
83378,DQNEWC,0.25,Deadlock4
83643,DQNEWC,0.25,Deadlock4
83781,DQNEWC,0.25,Deadlock4
84192,DQNEWC,0.0,Deadlock4
84409,DQNEWC,0.25,Deadlock4
84722,DQNEWC,0.0,Deadlock4
85098,DQNEWC,0.0,Deadlock4
85313,DQNEWC,0.0,Deadlock4
85317,DQNEWC,0.0,Deadlock4
85665,DQNEWC,0.0,Deadlock4
86082,DQNEWC,0.0,Deadlock4
86504,DQNEWC,0.0,Deadlock4
86714,DQNEWC,0.25,Deadlock4
87064,DQNEWC,0.25,Deadlock4
87455,DQNEWC,0.0,Deadlock4
87846,DQNEWC,0.0,Deadlock4
88060,DQNEWC,0.0,Deadlock4
88418,DQNEWC,0.0,Deadlock4
88786,DQNEWC,0.0,Deadlock4
89002,DQNEWC,0.0,Deadlock4
89250,DQNEWC,0.25,Deadlock4
89472,DQNEWC,0.25,Deadlock4
89591,DQNEWC,0.5,Deadlock4
89732,DQNEWC,0.0,Deadlock4
90152,DQNEWC,0.0,Deadlock4
90497,DQNEWC,0.25,Deadlock4
90870,DQNEWC,0.0,Deadlock4
90986,DQNEWC,0.25,Deadlock4
91206,DQNEWC,0.25,Deadlock4
91578,DQNEWC,0.0,Deadlock4
91673,DQNEWC,0.75,Deadlock4
91888,DQNEWC,0.0,Deadlock4
92087,DQNEWC,0.5,Deadlock4
92426,DQNEWC,0.0,Deadlock4
92536,DQNEWC,0.5,Deadlock4
92954,DQNEWC,0.0,Deadlock4
92958,DQNEWC,0.0,Deadlock4
93117,DQNEWC,0.25,Deadlock4
93426,DQNEWC,0.25,Deadlock4
93767,DQNEWC,0.25,Deadlock4
94105,DQNEWC,0.5,Deadlock4
94350,DQNEWC,0.5,Deadlock4
94644,DQNEWC,0.25,Deadlock4
94742,DQNEWC,0.75,Deadlock4
94960,DQNEWC,0.25,Deadlock4
95299,DQNEWC,0.25,Deadlock4
95644,DQNEWC,0.5,Deadlock4
95737,DQNEWC,0.75,Deadlock4
96072,DQNEWC,0.25,Deadlock4
96442,DQNEWC,0.0,Deadlock4
96844,DQNEWC,0.0,Deadlock4
97174,DQNEWC,0.25,Deadlock4
97432,DQNEWC,0.25,Deadlock4
97841,DQNEWC,0.0,Deadlock4
98169,DQNEWC,0.25,Deadlock4
98589,DQNEWC,0.0,Deadlock4
98593,DQNEWC,0.0,Deadlock4
98968,DQNEWC,0.25,Deadlock4
99352,DQNEWC,0.0,Deadlock4
99664,DQNEWC,0.75,Deadlock4
99852,DQNEWC,0.5,Deadlock4
100056,DQNEWC,0.5,Deadlock4
100060,DQNEWC,0.0,Deadlock4
100414,DQNEWC,0.0,Deadlock4
100595,DQNEWC,0.75,Deadlock4
100951,DQNEWC,0.0,Deadlock4
101257,DQNEWC,0.0,Deadlock4
101453,DQNEWC,0.5,Deadlock4
101871,DQNEWC,0.0,Deadlock4
102026,DQNEWC,0.0,Deadlock4
102177,DQNEWC,0.0,Deadlock4
102521,DQNEWC,0.25,Deadlock4
102525,DQNEWC,0.0,Deadlock4
102674,DQNEWC,0.25,Deadlock4
102888,DQNEWC,0.0,Deadlock4
103105,DQNEWC,0.25,Deadlock4
103109,DQNEWC,0.0,Deadlock4
103456,DQNEWC,0.25,Deadlock4
103460,DQNEWC,0.0,Deadlock4
103578,DQNEWC,0.5,Deadlock4
103834,DQNEWC,0.25,Deadlock4
103838,DQNEWC,0.0,Deadlock4
103842,DQNEWC,0.0,Deadlock4
103943,DQNEWC,0.5,Deadlock4
103947,DQNEWC,0.0,Deadlock4
104148,DQNEWC,0.5,Deadlock4
104353,DQNEWC,0.5,Deadlock4
104556,DQNEWC,0.5,Deadlock4
104828,DQNEWC,0.25,Deadlock4
105195,DQNEWC,0.0,Deadlock4
105479,DQNEWC,0.25,Deadlock4
105483,DQNEWC,0.0,Deadlock4
105906,DQNEWC,0.0,Deadlock4
106270,DQNEWC,0.0,Deadlock4
106274,DQNEWC,0.0,Deadlock4
106481,DQNEWC,0.25,Deadlock4
106757,DQNEWC,0.0,Deadlock4
106974,DQNEWC,0.0,Deadlock4
107095,DQNEWC,0.25,Deadlock4
107365,DQNEWC,0.25,Deadlock4
107462,DQNEWC,0.75,Deadlock4
107884,DQNEWC,0.0,Deadlock4
108111,DQNEWC,0.25,Deadlock4
108267,DQNEWC,0.25,Deadlock4
108687,DQNEWC,0.25,Deadlock4
109021,DQNEWC,0.5,Deadlock4
109434,DQNEWC,0.0,Deadlock4
109658,DQNEWC,0.5,Deadlock4
109874,DQNEWC,0.25,Deadlock4
110217,DQNEWC,0.25,Deadlock4
110636,DQNEWC,0.0,Deadlock4
110852,DQNEWC,0.0,Deadlock4
111207,DQNEWC,0.0,Deadlock4
111550,DQNEWC,0.5,Deadlock4
111757,DQNEWC,0.25,Deadlock4
111967,DQNEWC,0.5,Deadlock4
112386,DQNEWC,0.0,Deadlock4
112589,DQNEWC,0.5,Deadlock4
112944,DQNEWC,0.0,Deadlock4
113335,DQNEWC,0.0,Deadlock4
113461,DQNEWC,0.5,Deadlock4
113665,DQNEWC,0.5,Deadlock4
113896,DQNEWC,0.25,Deadlock4
114231,DQNEWC,0.5,Deadlock4
114477,DQNEWC,0.25,Deadlock4
114775,DQNEWC,0.0,Deadlock4
115123,DQNEWC,0.25,Deadlock4
115442,DQNEWC,0.25,Deadlock4
115708,DQNEWC,0.0,Deadlock4
115975,DQNEWC,0.25,Deadlock4
116350,DQNEWC,0.0,Deadlock4
116566,DQNEWC,0.0,Deadlock4
116570,DQNEWC,0.0,Deadlock4
116777,DQNEWC,0.5,Deadlock4
117148,DQNEWC,0.75,Deadlock4
117272,DQNEWC,0.25,Deadlock4
117542,DQNEWC,0.0,Deadlock4
117546,DQNEWC,0.0,Deadlock4
117963,DQNEWC,0.0,Deadlock4
118210,DQNEWC,0.5,Deadlock4
118631,DQNEWC,0.0,Deadlock4
118635,DQNEWC,0.0,Deadlock4
118757,DQNEWC,0.25,Deadlock4
119001,DQNEWC,0.5,Deadlock4
119424,DQNEWC,0.0,Deadlock4
119641,DQNEWC,0.0,Deadlock4
120003,DQNEWC,0.25,Deadlock4
120422,DQNEWC,0.0,Deadlock4
120426,DQNEWC,0.0,Deadlock4
120638,DQNEWC,0.0,Deadlock4
120833,DQNEWC,0.75,Deadlock4
120978,DQNEWC,0.0,Deadlock4
121087,DQNEWC,0.5,Deadlock4
121341,DQNEWC,0.25,Deadlock4
121757,DQNEWC,0.0,Deadlock4
121897,DQNEWC,0.25,Deadlock4
122005,DQNEWC,0.5,Deadlock4
122413,DQNEWC,0.0,Deadlock4
122553,DQNEWC,0.0,Deadlock4
122721,DQNEWC,0.25,Deadlock4
