networksteps,algo,completions,env
2936,DQNEWC,0.07142857142857142,
5813,DQNEWC,0.0,
9097,DQNEWC,0.0,
12260,DQNEWC,0.0,
14868,DQNEWC,0.07142857142857142,
18636,DQNEWC,0.07142857142857142,
21829,DQNEWC,0.0,
23593,DQNEWC,0.2857142857142857,
27105,DQNEWC,0.07142857142857142,
30149,DQNEWC,0.07142857142857142,
33281,DQNEWC,0.07142857142857142,
36717,DQNEWC,0.21428571428571427,
40574,DQNEWC,0.0,
44598,DQNEWC,0.07142857142857142,
47353,DQNEWC,0.0,
49963,DQNEWC,0.0,
51703,DQNEWC,0.0,
54792,DQNEWC,0.0,
57301,DQNEWC,0.07142857142857142,
60811,DQNEWC,0.0,
64189,DQNEWC,0.07142857142857142,
66666,DQNEWC,0.14285714285714285,
70581,DQNEWC,0.07142857142857142,
73163,DQNEWC,0.0,
76247,DQNEWC,0.07142857142857142,
78618,DQNEWC,0.14285714285714285,
81269,DQNEWC,0.0,
81486,DQNEWC,0.0,Deadlock4
81490,DQNEWC,0.0,Deadlock4
81710,DQNEWC,0.25,Deadlock4
82081,DQNEWC,0.0,Deadlock4
82085,DQNEWC,0.0,Deadlock4
82442,DQNEWC,0.0,Deadlock4
82802,DQNEWC,0.0,Deadlock4
82806,DQNEWC,0.0,Deadlock4
83070,DQNEWC,0.25,Deadlock4
83222,DQNEWC,0.25,Deadlock4
83532,DQNEWC,0.0,Deadlock4
83765,DQNEWC,0.25,Deadlock4
83984,DQNEWC,0.0,Deadlock4
84395,DQNEWC,0.0,Deadlock4
84804,DQNEWC,0.0,Deadlock4
85111,DQNEWC,0.0,Deadlock4
85525,DQNEWC,0.0,Deadlock4
85941,DQNEWC,0.0,Deadlock4
86048,DQNEWC,0.5,Deadlock4
86259,DQNEWC,0.0,Deadlock4
86574,DQNEWC,0.25,Deadlock4
87000,DQNEWC,0.0,Deadlock4
87227,DQNEWC,0.25,Deadlock4
87372,DQNEWC,0.0,Deadlock4
87573,DQNEWC,0.5,Deadlock4
87951,DQNEWC,0.25,Deadlock4
88166,DQNEWC,0.25,Deadlock4
88547,DQNEWC,0.25,Deadlock4
88719,DQNEWC,0.25,Deadlock4
88865,DQNEWC,0.5,Deadlock4
89280,DQNEWC,0.0,Deadlock4
89420,DQNEWC,0.0,Deadlock4
89664,DQNEWC,0.25,Deadlock4
89907,DQNEWC,0.25,Deadlock4
90106,DQNEWC,0.5,Deadlock4
90223,DQNEWC,0.5,Deadlock4
90588,DQNEWC,0.0,Deadlock4
90899,DQNEWC,0.25,Deadlock4
90903,DQNEWC,0.0,Deadlock4
91265,DQNEWC,0.0,Deadlock4
91587,DQNEWC,0.25,Deadlock4
91843,DQNEWC,0.25,Deadlock4
92058,DQNEWC,0.25,Deadlock4
92452,DQNEWC,0.0,Deadlock4
92855,DQNEWC,0.0,Deadlock4
93179,DQNEWC,0.25,Deadlock4
93417,DQNEWC,0.25,Deadlock4
93556,DQNEWC,0.5,Deadlock4
93761,DQNEWC,0.5,Deadlock4
94111,DQNEWC,0.25,Deadlock4
94326,DQNEWC,0.0,Deadlock4
94441,DQNEWC,0.25,Deadlock4
94858,DQNEWC,0.0,Deadlock4
95231,DQNEWC,0.0,Deadlock4
95343,DQNEWC,0.5,Deadlock4
95347,DQNEWC,0.0,Deadlock4
95552,DQNEWC,0.5,Deadlock4
95770,DQNEWC,0.0,Deadlock4
96030,DQNEWC,0.25,Deadlock4
96386,DQNEWC,0.0,Deadlock4
96719,DQNEWC,0.0,Deadlock4
96876,DQNEWC,0.25,Deadlock4
97091,DQNEWC,0.25,Deadlock4
97516,DQNEWC,0.0,Deadlock4
97667,DQNEWC,0.5,Deadlock4
97799,DQNEWC,0.25,Deadlock4
97950,DQNEWC,0.0,Deadlock4
98054,DQNEWC,0.75,Deadlock4
98255,DQNEWC,0.5,Deadlock4
98671,DQNEWC,0.0,Deadlock4
98884,DQNEWC,0.25,Deadlock4
99147,DQNEWC,0.25,Deadlock4
99257,DQNEWC,0.75,Deadlock4
99498,DQNEWC,0.25,Deadlock4
99760,DQNEWC,0.0,Deadlock4
99764,DQNEWC,0.0,Deadlock4
100139,DQNEWC,0.0,Deadlock4
100143,DQNEWC,0.0,Deadlock4
100564,DQNEWC,0.0,Deadlock4
100689,DQNEWC,0.25,Deadlock4
100882,DQNEWC,0.0,Deadlock4
101021,DQNEWC,0.25,Deadlock4
101138,DQNEWC,0.5,Deadlock4
101551,DQNEWC,0.0,Deadlock4
101958,DQNEWC,0.0,Deadlock4
102315,DQNEWC,0.0,Deadlock4
102658,DQNEWC,0.0,Deadlock4
102991,DQNEWC,0.5,Deadlock4
103263,DQNEWC,0.0,Deadlock4
103413,DQNEWC,0.25,Deadlock4
103819,DQNEWC,0.25,Deadlock4
104021,DQNEWC,0.25,Deadlock4
104443,DQNEWC,0.0,Deadlock4
104703,DQNEWC,0.5,Deadlock4
105055,DQNEWC,0.0,Deadlock4
