networksteps,algo,completions,env
2539,DQNEWC,0.07142857142857142,
5129,DQNEWC,0.0,
7778,DQNEWC,0.0,
11257,DQNEWC,0.14285714285714285,
14451,DQNEWC,0.0,
17659,DQNEWC,0.0,
19953,DQNEWC,0.21428571428571427,
22486,DQNEWC,0.0,
25673,DQNEWC,0.0,
29222,DQNEWC,0.0,
32553,DQNEWC,0.07142857142857142,
35743,DQNEWC,0.0,
38511,DQNEWC,0.0,
41138,DQNEWC,0.0,
44853,DQNEWC,0.0,
48107,DQNEWC,0.14285714285714285,
51307,DQNEWC,0.0,
54969,DQNEWC,0.14285714285714285,
58399,DQNEWC,0.07142857142857142,
62337,DQNEWC,0.0,
65935,DQNEWC,0.0,
68785,DQNEWC,0.0,
71574,DQNEWC,0.07142857142857142,
75169,DQNEWC,0.0,
77652,DQNEWC,0.07142857142857142,
80140,DQNEWC,0.0,
80349,DQNEWC,0.5,Malfunction6
80541,DQNEWC,0.16666666666666666,Malfunction6
80775,DQNEWC,0.0,Malfunction6
81009,DQNEWC,0.0,Malfunction6
81240,DQNEWC,0.16666666666666666,Malfunction6
81466,DQNEWC,0.3333333333333333,Malfunction6
81694,DQNEWC,0.16666666666666666,Malfunction6
81927,DQNEWC,0.3333333333333333,Malfunction6
82161,DQNEWC,0.0,Malfunction6
82360,DQNEWC,0.0,Malfunction6
82489,DQNEWC,0.0,Malfunction6
82723,DQNEWC,0.0,Malfunction6
82956,DQNEWC,0.16666666666666666,Malfunction6
83190,DQNEWC,0.0,Malfunction6
83420,DQNEWC,0.16666666666666666,Malfunction6
83654,DQNEWC,0.0,Malfunction6
83836,DQNEWC,0.0,Malfunction6
84037,DQNEWC,0.0,Malfunction6
84271,DQNEWC,0.16666666666666666,Malfunction6
84505,DQNEWC,0.0,Malfunction6
84736,DQNEWC,0.16666666666666666,Malfunction6
84873,DQNEWC,0.16666666666666666,Malfunction6
85062,DQNEWC,0.3333333333333333,Malfunction6
85296,DQNEWC,0.16666666666666666,Malfunction6
85458,DQNEWC,0.0,Malfunction6
85692,DQNEWC,0.0,Malfunction6
85917,DQNEWC,0.5,Malfunction6
86134,DQNEWC,0.3333333333333333,Malfunction6
86366,DQNEWC,0.16666666666666666,Malfunction6
86590,DQNEWC,0.3333333333333333,Malfunction6
86787,DQNEWC,0.0,Malfunction6
87021,DQNEWC,0.0,Malfunction6
87225,DQNEWC,0.0,Malfunction6
87459,DQNEWC,0.0,Malfunction6
87592,DQNEWC,0.16666666666666666,Malfunction6
87811,DQNEWC,0.5,Malfunction6
88024,DQNEWC,0.16666666666666666,Malfunction6
88244,DQNEWC,0.5,Malfunction6
88416,DQNEWC,0.0,Malfunction6
88610,DQNEWC,0.16666666666666666,Malfunction6
88813,DQNEWC,0.16666666666666666,Malfunction6
89043,DQNEWC,0.3333333333333333,Malfunction6
89253,DQNEWC,0.0,Malfunction6
89487,DQNEWC,0.0,Malfunction6
89672,DQNEWC,0.3333333333333333,Malfunction6
89830,DQNEWC,0.16666666666666666,Malfunction6
90058,DQNEWC,0.16666666666666666,Malfunction6
90285,DQNEWC,0.5,Malfunction6
90504,DQNEWC,0.3333333333333333,Malfunction6
90738,DQNEWC,0.0,Malfunction6
90964,DQNEWC,0.3333333333333333,Malfunction6
91198,DQNEWC,0.0,Malfunction6
91432,DQNEWC,0.0,Malfunction6
91666,DQNEWC,0.0,Malfunction6
91884,DQNEWC,0.3333333333333333,Malfunction6
92110,DQNEWC,0.3333333333333333,Malfunction6
92344,DQNEWC,0.0,Malfunction6
92541,DQNEWC,0.16666666666666666,Malfunction6
92775,DQNEWC,0.0,Malfunction6
92980,DQNEWC,0.16666666666666666,Malfunction6
93190,DQNEWC,0.0,Malfunction6
93361,DQNEWC,0.0,Malfunction6
