networksteps,algo,completions,env
3306,DQNEWC,0.21428571428571427,
5696,DQNEWC,0.14285714285714285,
7491,DQNEWC,0.07142857142857142,
10183,DQNEWC,0.14285714285714285,
13499,DQNEWC,0.07142857142857142,
16257,DQNEWC,0.0,
18889,DQNEWC,0.0,
21771,DQNEWC,0.0,
24595,DQNEWC,0.0,
28046,DQNEWC,0.07142857142857142,
32025,DQNEWC,0.0,
34226,DQNEWC,0.21428571428571427,
37444,DQNEWC,0.07142857142857142,
40788,DQNEWC,0.07142857142857142,
44275,DQNEWC,0.07142857142857142,
46602,DQNEWC,0.14285714285714285,
50080,DQNEWC,0.0,
52855,DQNEWC,0.14285714285714285,
55443,DQNEWC,0.0,
57660,DQNEWC,0.07142857142857142,
60354,DQNEWC,0.0,
62865,DQNEWC,0.0,
65431,DQNEWC,0.0,
68849,DQNEWC,0.0,
71327,DQNEWC,0.0,
74416,DQNEWC,0.0,
76870,DQNEWC,0.0,
79654,DQNEWC,0.0,
83055,DQNEWC,0.0,
83066,DQNEWC,0.0,Pathfinding8
83080,DQNEWC,0.0,Pathfinding8
83102,DQNEWC,0.0,Pathfinding8
83111,DQNEWC,0.0,Pathfinding8
83119,DQNEWC,0.0,Pathfinding8
83121,DQNEWC,0.0,Pathfinding8
83130,DQNEWC,0.0,Pathfinding8
83155,DQNEWC,0.0,Pathfinding8
83174,DQNEWC,0.0,Pathfinding8
83183,DQNEWC,0.0,Pathfinding8
83202,DQNEWC,0.0,Pathfinding8
83218,DQNEWC,0.0,Pathfinding8
83236,DQNEWC,0.0,Pathfinding8
83245,DQNEWC,0.0,Pathfinding8
83258,DQNEWC,1.0,Pathfinding8
83270,DQNEWC,0.0,Pathfinding8
83278,DQNEWC,0.0,Pathfinding8
83287,DQNEWC,0.0,Pathfinding8
83296,DQNEWC,0.0,Pathfinding8
83312,DQNEWC,0.0,Pathfinding8
83324,DQNEWC,0.0,Pathfinding8
83340,DQNEWC,0.0,Pathfinding8
83348,DQNEWC,0.0,Pathfinding8
83359,DQNEWC,0.0,Pathfinding8
83370,DQNEWC,0.0,Pathfinding8
83375,DQNEWC,0.0,Pathfinding8
83389,DQNEWC,0.0,Pathfinding8
83400,DQNEWC,0.0,Pathfinding8
83405,DQNEWC,0.0,Pathfinding8
83417,DQNEWC,0.0,Pathfinding8
83431,DQNEWC,0.0,Pathfinding8
83436,DQNEWC,1.0,Pathfinding8
83445,DQNEWC,0.0,Pathfinding8
83450,DQNEWC,0.0,Pathfinding8
83464,DQNEWC,0.0,Pathfinding8
83476,DQNEWC,0.0,Pathfinding8
83495,DQNEWC,0.0,Pathfinding8
83500,DQNEWC,0.0,Pathfinding8
83509,DQNEWC,0.0,Pathfinding8
83513,DQNEWC,0.0,Pathfinding8
83521,DQNEWC,0.0,Pathfinding8
83533,DQNEWC,0.0,Pathfinding8
83552,DQNEWC,0.0,Pathfinding8
83570,DQNEWC,0.0,Pathfinding8
83586,DQNEWC,0.0,Pathfinding8
83604,DQNEWC,0.0,Pathfinding8
83620,DQNEWC,0.0,Pathfinding8
83628,DQNEWC,0.0,Pathfinding8
83640,DQNEWC,1.0,Pathfinding8
83652,DQNEWC,0.0,Pathfinding8
83671,DQNEWC,0.0,Pathfinding8
83680,DQNEWC,0.0,Pathfinding8
83694,DQNEWC,0.0,Pathfinding8
83720,DQNEWC,0.0,Pathfinding8
83729,DQNEWC,0.0,Pathfinding8
83740,DQNEWC,0.0,Pathfinding8
83754,DQNEWC,0.0,Pathfinding8
83762,DQNEWC,1.0,Pathfinding8
83776,DQNEWC,0.0,Pathfinding8
83788,DQNEWC,0.0,Pathfinding8
83793,DQNEWC,0.0,Pathfinding8
83805,DQNEWC,0.0,Pathfinding8
83819,DQNEWC,0.0,Pathfinding8
83837,DQNEWC,0.0,Pathfinding8
83846,DQNEWC,0.0,Pathfinding8
83854,DQNEWC,0.0,Pathfinding8
83868,DQNEWC,0.0,Pathfinding8
83872,DQNEWC,0.0,Pathfinding8
83894,DQNEWC,0.0,Pathfinding8
83898,DQNEWC,0.0,Pathfinding8
83910,DQNEWC,0.0,Pathfinding8
83919,DQNEWC,0.0,Pathfinding8
83924,DQNEWC,0.0,Pathfinding8
83932,DQNEWC,0.0,Pathfinding8
83948,DQNEWC,0.0,Pathfinding8
83957,DQNEWC,0.0,Pathfinding8
83969,DQNEWC,0.0,Pathfinding8
83980,DQNEWC,0.0,Pathfinding8
83998,DQNEWC,0.0,Pathfinding8
84006,DQNEWC,0.0,Pathfinding8
84024,DQNEWC,0.0,Pathfinding8
84028,DQNEWC,0.0,Pathfinding8
84039,DQNEWC,0.0,Pathfinding8
84050,DQNEWC,0.0,Pathfinding8
84061,DQNEWC,0.0,Pathfinding8
84077,DQNEWC,0.0,Pathfinding8
84093,DQNEWC,0.0,Pathfinding8
84107,DQNEWC,0.0,Pathfinding8
84121,DQNEWC,0.0,Pathfinding8
84135,DQNEWC,0.0,Pathfinding8
84149,DQNEWC,0.0,Pathfinding8
84150,DQNEWC,0.0,Pathfinding8
84155,DQNEWC,0.0,Pathfinding8
84167,DQNEWC,0.0,Pathfinding8
84172,DQNEWC,1.0,Pathfinding8
84186,DQNEWC,0.0,Pathfinding8
84200,DQNEWC,0.0,Pathfinding8
84209,DQNEWC,0.0,Pathfinding8
84221,DQNEWC,0.0,Pathfinding8
84223,DQNEWC,0.0,Pathfinding8
84234,DQNEWC,0.0,Pathfinding8
84243,DQNEWC,0.0,Pathfinding8
84248,DQNEWC,0.0,Pathfinding8
