networksteps,algo,score,env
3306,DQNEWC,-0.32137297226583034,
5696,DQNEWC,-0.35076777087646305,
7491,DQNEWC,-0.38169312169311853,
10183,DQNEWC,-0.38051630908773315,
13499,DQNEWC,-0.3494373541923946,
16257,DQNEWC,-0.3821041424699921,
18889,DQNEWC,-0.3624781341107818,
21771,DQNEWC,-0.4491542562971121,
24595,DQNEWC,-0.36880366900858197,
28046,DQNEWC,-0.32732476471414595,
32025,DQNEWC,-0.3434786898184723,
34226,DQNEWC,-0.33929624947323594,
37444,DQNEWC,-0.38149895178196713,
40788,DQNEWC,-0.32166038032374017,
44275,DQNEWC,-0.3652901785714287,
46602,DQNEWC,-0.3090613553113508,
50080,DQNEWC,-0.3726078869047585,
52855,DQNEWC,-0.33768959435625523,
55443,DQNEWC,-0.38549013747757993,
57660,DQNEWC,-0.3877086401570895,
60354,DQNEWC,-0.40013754505785964,
62865,DQNEWC,-0.3589622641509399,
65431,DQNEWC,-0.3789054083171684,
68849,DQNEWC,-0.36327606992163947,
71327,DQNEWC,-0.37115259740259254,
74416,DQNEWC,-0.31638632872503286,
76870,DQNEWC,-0.4100894203835348,
79654,DQNEWC,-0.3538740079365029,
83055,DQNEWC,-0.36434222423146034,
83066,DQNEWC,-0.36666666666666664,Pathfinding8
83080,DQNEWC,-0.4922222222222223,Pathfinding8
83102,DQNEWC,-0.4543478260869565,Pathfinding8
83111,DQNEWC,-0.4066666666666666,Pathfinding8
83119,DQNEWC,-0.561111111111111,Pathfinding8
83121,DQNEWC,-0.5555555555555556,Pathfinding8
83130,DQNEWC,-0.5016666666666667,Pathfinding8
83155,DQNEWC,-0.3673076923076923,Pathfinding8
83174,DQNEWC,-0.3741666666666667,Pathfinding8
83183,DQNEWC,-0.5700000000000001,Pathfinding8
83202,DQNEWC,-0.3891666666666667,Pathfinding8
83218,DQNEWC,-0.3431372549019608,Pathfinding8
83236,DQNEWC,-0.40877192982456145,Pathfinding8
83245,DQNEWC,-0.3416666666666667,Pathfinding8
83258,DQNEWC,-0.1422222222222222,Pathfinding8
83270,DQNEWC,-0.41538461538461546,Pathfinding8
83278,DQNEWC,-0.44814814814814813,Pathfinding8
83287,DQNEWC,-0.535,Pathfinding8
83296,DQNEWC,-0.37666666666666665,Pathfinding8
83312,DQNEWC,-0.36372549019607836,Pathfinding8
83324,DQNEWC,-0.291025641025641,Pathfinding8
83340,DQNEWC,-0.36176470588235293,Pathfinding8
83348,DQNEWC,-0.44999999999999996,Pathfinding8
83359,DQNEWC,-0.3680555555555556,Pathfinding8
83370,DQNEWC,-0.5555555555555556,Pathfinding8
83375,DQNEWC,-0.6722222222222223,Pathfinding8
83389,DQNEWC,-0.2955555555555555,Pathfinding8
83400,DQNEWC,-0.3694444444444444,Pathfinding8
83405,DQNEWC,-0.5555555555555556,Pathfinding8
83417,DQNEWC,-0.5141025641025642,Pathfinding8
83431,DQNEWC,-0.3855555555555555,Pathfinding8
83436,DQNEWC,-0.17499999999999996,Pathfinding8
83445,DQNEWC,-0.5416666666666666,Pathfinding8
83450,DQNEWC,-0.6138888888888889,Pathfinding8
83464,DQNEWC,-0.2744444444444444,Pathfinding8
83476,DQNEWC,-0.5153846153846154,Pathfinding8
83495,DQNEWC,-0.44166666666666665,Pathfinding8
83500,DQNEWC,-0.6722222222222222,Pathfinding8
83509,DQNEWC,-0.5366666666666667,Pathfinding8
83513,DQNEWC,-0.6033333333333334,Pathfinding8
83521,DQNEWC,-0.4888888888888889,Pathfinding8
83533,DQNEWC,-0.5141025641025642,Pathfinding8
83552,DQNEWC,-0.40583333333333343,Pathfinding8
83570,DQNEWC,-0.39035087719298245,Pathfinding8
83586,DQNEWC,-0.49509803921568635,Pathfinding8
83604,DQNEWC,-0.22105263157894733,Pathfinding8
83620,DQNEWC,-0.5147058823529411,Pathfinding8
83628,DQNEWC,-0.5962962962962963,Pathfinding8
83640,DQNEWC,-0.11538461538461534,Pathfinding8
83652,DQNEWC,-0.6166666666666667,Pathfinding8
83671,DQNEWC,-0.3258333333333333,Pathfinding8
83680,DQNEWC,-0.44166666666666665,Pathfinding8
83694,DQNEWC,-0.29777777777777775,Pathfinding8
83720,DQNEWC,-0.404320987654321,Pathfinding8
83729,DQNEWC,-0.44,Pathfinding8
83740,DQNEWC,-0.476388888888889,Pathfinding8
83754,DQNEWC,-0.45,Pathfinding8
83762,DQNEWC,-0.14166666666666664,Pathfinding8
83776,DQNEWC,-0.2544444444444444,Pathfinding8
83788,DQNEWC,-0.391025641025641,Pathfinding8
83793,DQNEWC,-0.5055555555555555,Pathfinding8
83805,DQNEWC,-0.4166666666666667,Pathfinding8
83819,DQNEWC,-0.4722222222222222,Pathfinding8
83837,DQNEWC,-0.40789473684210525,Pathfinding8
83846,DQNEWC,-0.505,Pathfinding8
83854,DQNEWC,-0.5185185185185185,Pathfinding8
83868,DQNEWC,-0.47000000000000003,Pathfinding8
83872,DQNEWC,-0.6033333333333334,Pathfinding8
83894,DQNEWC,-0.3543478260869566,Pathfinding8
83898,DQNEWC,-0.6033333333333334,Pathfinding8
83910,DQNEWC,-0.46538461538461545,Pathfinding8
83919,DQNEWC,-0.5016666666666667,Pathfinding8
83924,DQNEWC,-0.33888888888888885,Pathfinding8
83932,DQNEWC,-0.4111111111111111,Pathfinding8
83948,DQNEWC,-0.4931372549019608,Pathfinding8
83957,DQNEWC,-0.635,Pathfinding8
83969,DQNEWC,-0.4897435897435898,Pathfinding8
83980,DQNEWC,-0.47638888888888886,Pathfinding8
83998,DQNEWC,-0.4087719298245614,Pathfinding8
84006,DQNEWC,-0.48333333333333334,Pathfinding8
84024,DQNEWC,-0.40701754385964917,Pathfinding8
84028,DQNEWC,-0.5333333333333333,Pathfinding8
84039,DQNEWC,-0.5847222222222223,Pathfinding8
84050,DQNEWC,-0.5555555555555556,Pathfinding8
84061,DQNEWC,-0.5305555555555556,Pathfinding8
84077,DQNEWC,-0.3784313725490196,Pathfinding8
84093,DQNEWC,-0.3009803921568628,Pathfinding8
84107,DQNEWC,-0.4044444444444445,Pathfinding8
84121,DQNEWC,-0.40555555555555556,Pathfinding8
84135,DQNEWC,-0.42666666666666664,Pathfinding8
84149,DQNEWC,-0.2955555555555555,Pathfinding8
84150,DQNEWC,-0.5,Pathfinding8
84155,DQNEWC,-0.33888888888888885,Pathfinding8
84167,DQNEWC,-0.4641025641025641,Pathfinding8
84172,DQNEWC,-0.08148148148148146,Pathfinding8
84186,DQNEWC,-0.44777777777777783,Pathfinding8
84200,DQNEWC,-0.4922222222222223,Pathfinding8
84209,DQNEWC,-0.5366666666666667,Pathfinding8
84221,DQNEWC,-0.2897435897435897,Pathfinding8
84223,DQNEWC,-0.5555555555555556,Pathfinding8
84234,DQNEWC,-0.33888888888888885,Pathfinding8
84243,DQNEWC,-0.5066666666666666,Pathfinding8
84248,DQNEWC,-0.6138888888888889,Pathfinding8
84259,DQNEWC,-0.3125,Pathfinding8
84270,DQNEWC,-0.2861111111111111,Pathfinding8
84282,DQNEWC,-0.5179487179487179,Pathfinding8
84290,DQNEWC,-0.6703703703703704,Pathfinding8
