networksteps,algo,completions,env
3168,DQNEWC,0.0,
6207,DQNEWC,0.0,
8625,DQNEWC,0.07142857142857142,
13082,DQNEWC,0.0,
16817,DQNEWC,0.0,
19374,DQNEWC,0.14285714285714285,
21283,DQNEWC,0.0,
23488,DQNEWC,0.21428571428571427,
28065,DQNEWC,0.07142857142857142,
31083,DQNEWC,0.07142857142857142,
33564,DQNEWC,0.07142857142857142,
36299,DQNEWC,0.0,
39067,DQNEWC,0.07142857142857142,
42125,DQNEWC,0.14285714285714285,
45456,DQNEWC,0.0,
48390,DQNEWC,0.07142857142857142,
50628,DQNEWC,0.07142857142857142,
53824,DQNEWC,0.0,
57024,DQNEWC,0.07142857142857142,
60158,DQNEWC,0.0,
63556,DQNEWC,0.0,
66148,DQNEWC,0.07142857142857142,
70857,DQNEWC,0.0,
74727,DQNEWC,0.07142857142857142,
78324,DQNEWC,0.0,
80469,DQNEWC,0.07142857142857142,
80480,DQNEWC,0.0,Pathfinding8
80501,DQNEWC,0.0,Pathfinding8
80513,DQNEWC,0.0,Pathfinding8
80524,DQNEWC,0.0,Pathfinding8
80532,DQNEWC,0.0,Pathfinding8
80560,DQNEWC,0.0,Pathfinding8
80565,DQNEWC,0.0,Pathfinding8
80569,DQNEWC,0.0,Pathfinding8
80588,DQNEWC,0.0,Pathfinding8
80596,DQNEWC,0.0,Pathfinding8
80615,DQNEWC,0.0,Pathfinding8
80629,DQNEWC,0.0,Pathfinding8
80643,DQNEWC,0.0,Pathfinding8
80661,DQNEWC,0.0,Pathfinding8
80665,DQNEWC,0.0,Pathfinding8
80677,DQNEWC,0.0,Pathfinding8
80682,DQNEWC,0.0,Pathfinding8
80694,DQNEWC,0.0,Pathfinding8
80705,DQNEWC,0.0,Pathfinding8
80721,DQNEWC,0.0,Pathfinding8
80733,DQNEWC,0.0,Pathfinding8
80744,DQNEWC,0.0,Pathfinding8
80762,DQNEWC,0.0,Pathfinding8
80770,DQNEWC,0.0,Pathfinding8
80798,DQNEWC,0.0,Pathfinding8
80817,DQNEWC,0.0,Pathfinding8
80828,DQNEWC,0.0,Pathfinding8
80842,DQNEWC,0.0,Pathfinding8
80863,DQNEWC,0.0,Pathfinding8
80875,DQNEWC,0.0,Pathfinding8
80883,DQNEWC,0.0,Pathfinding8
80892,DQNEWC,0.0,Pathfinding8
80903,DQNEWC,0.0,Pathfinding8
80912,DQNEWC,0.0,Pathfinding8
80923,DQNEWC,0.0,Pathfinding8
80927,DQNEWC,0.0,Pathfinding8
80936,DQNEWC,0.0,Pathfinding8
80944,DQNEWC,0.0,Pathfinding8
80960,DQNEWC,0.0,Pathfinding8
80962,DQNEWC,0.0,Pathfinding8
80973,DQNEWC,0.0,Pathfinding8
80994,DQNEWC,0.0,Pathfinding8
81010,DQNEWC,0.0,Pathfinding8
81026,DQNEWC,0.0,Pathfinding8
81044,DQNEWC,0.0,Pathfinding8
81049,DQNEWC,0.0,Pathfinding8
81071,DQNEWC,0.0,Pathfinding8
81089,DQNEWC,0.0,Pathfinding8
81101,DQNEWC,0.0,Pathfinding8
81105,DQNEWC,0.0,Pathfinding8
81113,DQNEWC,0.0,Pathfinding8
81117,DQNEWC,1.0,Pathfinding8
81122,DQNEWC,1.0,Pathfinding8
81131,DQNEWC,0.0,Pathfinding8
81140,DQNEWC,0.0,Pathfinding8
81149,DQNEWC,0.0,Pathfinding8
81150,DQNEWC,0.0,Pathfinding8
81161,DQNEWC,0.0,Pathfinding8
81173,DQNEWC,0.0,Pathfinding8
81184,DQNEWC,0.0,Pathfinding8
81195,DQNEWC,0.0,Pathfinding8
81207,DQNEWC,0.0,Pathfinding8
81219,DQNEWC,0.0,Pathfinding8
81228,DQNEWC,0.0,Pathfinding8
81242,DQNEWC,0.0,Pathfinding8
81256,DQNEWC,0.0,Pathfinding8
81269,DQNEWC,1.0,Pathfinding8
81278,DQNEWC,0.0,Pathfinding8
81289,DQNEWC,0.0,Pathfinding8
81294,DQNEWC,0.0,Pathfinding8
81306,DQNEWC,0.0,Pathfinding8
81322,DQNEWC,0.0,Pathfinding8
81326,DQNEWC,0.0,Pathfinding8
81338,DQNEWC,0.0,Pathfinding8
81354,DQNEWC,0.0,Pathfinding8
81370,DQNEWC,0.0,Pathfinding8
81382,DQNEWC,0.0,Pathfinding8
81386,DQNEWC,0.0,Pathfinding8
81400,DQNEWC,0.0,Pathfinding8
81411,DQNEWC,0.0,Pathfinding8
81425,DQNEWC,0.0,Pathfinding8
81439,DQNEWC,0.0,Pathfinding8
81451,DQNEWC,0.0,Pathfinding8
81467,DQNEWC,0.0,Pathfinding8
81472,DQNEWC,0.0,Pathfinding8
81484,DQNEWC,0.0,Pathfinding8
81498,DQNEWC,0.0,Pathfinding8
81509,DQNEWC,0.0,Pathfinding8
81521,DQNEWC,0.0,Pathfinding8
81530,DQNEWC,0.0,Pathfinding8
81541,DQNEWC,0.0,Pathfinding8
81557,DQNEWC,0.0,Pathfinding8
81560,DQNEWC,1.0,Pathfinding8
81579,DQNEWC,0.0,Pathfinding8
81584,DQNEWC,0.0,Pathfinding8
81595,DQNEWC,0.0,Pathfinding8
81606,DQNEWC,0.0,Pathfinding8
81617,DQNEWC,0.0,Pathfinding8
81631,DQNEWC,0.0,Pathfinding8
81636,DQNEWC,0.0,Pathfinding8
81648,DQNEWC,0.0,Pathfinding8
81659,DQNEWC,0.0,Pathfinding8
81670,DQNEWC,1.0,Pathfinding8
81691,DQNEWC,0.0,Pathfinding8
81696,DQNEWC,0.0,Pathfinding8
81705,DQNEWC,0.0,Pathfinding8
81724,DQNEWC,0.0,Pathfinding8
81733,DQNEWC,0.0,Pathfinding8
81737,DQNEWC,0.0,Pathfinding8
81748,DQNEWC,0.0,Pathfinding8
81752,DQNEWC,0.0,Pathfinding8
81763,DQNEWC,0.0,Pathfinding8
81774,DQNEWC,0.0,Pathfinding8
81785,DQNEWC,0.0,Pathfinding8
81806,DQNEWC,0.0,Pathfinding8
81815,DQNEWC,0.0,Pathfinding8
81823,DQNEWC,0.0,Pathfinding8
81839,DQNEWC,0.0,Pathfinding8
81848,DQNEWC,0.0,Pathfinding8
81859,DQNEWC,0.0,Pathfinding8
81871,DQNEWC,0.0,Pathfinding8
81897,DQNEWC,0.0,Pathfinding8
81906,DQNEWC,0.0,Pathfinding8
81918,DQNEWC,0.0,Pathfinding8
81929,DQNEWC,0.0,Pathfinding8
81938,DQNEWC,0.0,Pathfinding8
81966,DQNEWC,0.0,Pathfinding8
81977,DQNEWC,0.0,Pathfinding8
81989,DQNEWC,0.0,Pathfinding8
81990,DQNEWC,0.0,Pathfinding8
81998,DQNEWC,0.0,Pathfinding8
81999,DQNEWC,0.0,Pathfinding8
82007,DQNEWC,0.0,Pathfinding8
82021,DQNEWC,0.0,Pathfinding8
82026,DQNEWC,0.0,Pathfinding8
82037,DQNEWC,0.0,Pathfinding8
82049,DQNEWC,0.0,Pathfinding8
82060,DQNEWC,0.0,Pathfinding8
82071,DQNEWC,0.0,Pathfinding8
82083,DQNEWC,0.0,Pathfinding8
82097,DQNEWC,0.0,Pathfinding8
82115,DQNEWC,0.0,Pathfinding8
82124,DQNEWC,0.0,Pathfinding8
82132,DQNEWC,0.0,Pathfinding8
82143,DQNEWC,0.0,Pathfinding8
82157,DQNEWC,0.0,Pathfinding8
82165,DQNEWC,0.0,Pathfinding8
82176,DQNEWC,0.0,Pathfinding8
82178,DQNEWC,0.0,Pathfinding8
82183,DQNEWC,0.0,Pathfinding8
82191,DQNEWC,0.0,Pathfinding8
82216,DQNEWC,0.0,Pathfinding8
82224,DQNEWC,0.0,Pathfinding8
82232,DQNEWC,0.0,Pathfinding8
82250,DQNEWC,0.0,Pathfinding8
82252,DQNEWC,0.0,Pathfinding8
82261,DQNEWC,0.0,Pathfinding8
82269,DQNEWC,0.0,Pathfinding8
82281,DQNEWC,0.0,Pathfinding8
82293,DQNEWC,0.0,Pathfinding8
82314,DQNEWC,0.0,Pathfinding8
82323,DQNEWC,0.0,Pathfinding8
82328,DQNEWC,0.0,Pathfinding8
82339,DQNEWC,0.0,Pathfinding8
82353,DQNEWC,0.0,Pathfinding8
82367,DQNEWC,0.0,Pathfinding8
82371,DQNEWC,0.0,Pathfinding8
82382,DQNEWC,0.0,Pathfinding8
82400,DQNEWC,0.0,Pathfinding8
82409,DQNEWC,0.0,Pathfinding8
82413,DQNEWC,0.0,Pathfinding8
82425,DQNEWC,0.0,Pathfinding8
82439,DQNEWC,0.0,Pathfinding8
82448,DQNEWC,0.0,Pathfinding8
82460,DQNEWC,0.0,Pathfinding8
82474,DQNEWC,0.0,Pathfinding8
82488,DQNEWC,0.0,Pathfinding8
82500,DQNEWC,0.0,Pathfinding8
82528,DQNEWC,0.0,Pathfinding8
82540,DQNEWC,0.0,Pathfinding8
82548,DQNEWC,0.0,Pathfinding8
82559,DQNEWC,0.0,Pathfinding8
82564,DQNEWC,0.0,Pathfinding8
82583,DQNEWC,0.0,Pathfinding8
82585,DQNEWC,0.0,Pathfinding8
82597,DQNEWC,0.0,Pathfinding8
82605,DQNEWC,0.0,Pathfinding8
82614,DQNEWC,0.0,Pathfinding8
82623,DQNEWC,0.0,Pathfinding8
82639,DQNEWC,0.0,Pathfinding8
82655,DQNEWC,0.0,Pathfinding8
82656,DQNEWC,0.0,Pathfinding8
82668,DQNEWC,0.0,Pathfinding8
82677,DQNEWC,0.0,Pathfinding8
82689,DQNEWC,0.0,Pathfinding8
82705,DQNEWC,0.0,Pathfinding8
82714,DQNEWC,0.0,Pathfinding8
82730,DQNEWC,0.0,Pathfinding8
82739,DQNEWC,0.0,Pathfinding8
82760,DQNEWC,0.0,Pathfinding8
82788,DQNEWC,0.0,Pathfinding8
82800,DQNEWC,0.0,Pathfinding8
82812,DQNEWC,0.0,Pathfinding8
82821,DQNEWC,0.0,Pathfinding8
82829,DQNEWC,0.0,Pathfinding8
82840,DQNEWC,0.0,Pathfinding8
