networksteps,algo,completions,env
3103,DQN,0.07142857142857142,
5499,DQN,0.07142857142857142,
8502,DQN,0.14285714285714285,
11295,DQN,0.07142857142857142,
15196,DQN,0.0,
17128,DQN,0.21428571428571427,
20648,DQN,0.07142857142857142,
23769,DQN,0.0,
26003,DQN,0.07142857142857142,
28825,DQN,0.0,
32510,DQN,0.21428571428571427,
34988,DQN,0.14285714285714285,
38115,DQN,0.0,
40567,DQN,0.07142857142857142,
44447,DQN,0.07142857142857142,
47500,DQN,0.07142857142857142,
50169,DQN,0.0,
52894,DQN,0.07142857142857142,
57101,DQN,0.0,
59724,DQN,0.07142857142857142,
62510,DQN,0.14285714285714285,
65688,DQN,0.0,
68818,DQN,0.07142857142857142,
71734,DQN,0.0,
74834,DQN,0.14285714285714285,
79514,DQN,0.0,
82699,DQN,0.0,
82898,DQN,0.0,Malfunction6
83095,DQN,0.16666666666666666,Malfunction6
83320,DQN,0.3333333333333333,Malfunction6
83541,DQN,0.16666666666666666,Malfunction6
83737,DQN,0.0,Malfunction6
83958,DQN,0.5,Malfunction6
84090,DQN,0.0,Malfunction6
84316,DQN,0.16666666666666666,Malfunction6
84540,DQN,0.16666666666666666,Malfunction6
84734,DQN,0.16666666666666666,Malfunction6
84956,DQN,0.3333333333333333,Malfunction6
85152,DQN,0.0,Malfunction6
85346,DQN,0.16666666666666666,Malfunction6
85526,DQN,0.16666666666666666,Malfunction6
85745,DQN,0.5,Malfunction6
85974,DQN,0.3333333333333333,Malfunction6
86208,DQN,0.16666666666666666,Malfunction6
86442,DQN,0.16666666666666666,Malfunction6
86676,DQN,0.0,Malfunction6
86910,DQN,0.0,Malfunction6
87097,DQN,0.3333333333333333,Malfunction6
87275,DQN,0.5,Malfunction6
87498,DQN,0.3333333333333333,Malfunction6
87721,DQN,0.5,Malfunction6
87945,DQN,0.16666666666666666,Malfunction6
88163,DQN,0.0,Malfunction6
88385,DQN,0.8333333333333334,Malfunction6
88563,DQN,0.3333333333333333,Malfunction6
88794,DQN,0.16666666666666666,Malfunction6
88941,DQN,0.0,Malfunction6
89123,DQN,0.16666666666666666,Malfunction6
89322,DQN,0.8333333333333334,Malfunction6
89541,DQN,0.16666666666666666,Malfunction6
89775,DQN,0.0,Malfunction6
