networksteps,algo,completions,env
2712,DQN,0.07142857142857142,
5390,DQN,0.07142857142857142,
8204,DQN,0.07142857142857142,
10772,DQN,0.07142857142857142,
13701,DQN,0.0,
16980,DQN,0.07142857142857142,
19715,DQN,0.0,
22798,DQN,0.07142857142857142,
26364,DQN,0.0,
28450,DQN,0.21428571428571427,
31201,DQN,0.0,
34238,DQN,0.14285714285714285,
37563,DQN,0.07142857142857142,
41570,DQN,0.0,
43982,DQN,0.0,
46359,DQN,0.14285714285714285,
49574,DQN,0.0,
52007,DQN,0.0,
54558,DQN,0.07142857142857142,
57536,DQN,0.0,
60439,DQN,0.0,
63276,DQN,0.07142857142857142,
66855,DQN,0.0,
69669,DQN,0.0,
72396,DQN,0.07142857142857142,
75175,DQN,0.0,
78810,DQN,0.07142857142857142,
82210,DQN,0.0,
82409,DQN,0.0,Malfunction6
82639,DQN,0.16666666666666666,Malfunction6
82870,DQN,0.16666666666666666,Malfunction6
83099,DQN,0.3333333333333333,Malfunction6
83333,DQN,0.0,Malfunction6
83524,DQN,0.3333333333333333,Malfunction6
83740,DQN,0.3333333333333333,Malfunction6
83965,DQN,0.16666666666666666,Malfunction6
84175,DQN,0.8333333333333334,Malfunction6
84358,DQN,0.6666666666666666,Malfunction6
84578,DQN,0.3333333333333333,Malfunction6
84786,DQN,0.0,Malfunction6
85020,DQN,0.0,Malfunction6
85243,DQN,0.16666666666666666,Malfunction6
85463,DQN,0.6666666666666666,Malfunction6
85681,DQN,0.0,Malfunction6
85894,DQN,0.5,Malfunction6
86069,DQN,0.6666666666666666,Malfunction6
86261,DQN,0.5,Malfunction6
86495,DQN,0.0,Malfunction6
86698,DQN,0.8333333333333334,Malfunction6
86932,DQN,0.0,Malfunction6
87164,DQN,0.16666666666666666,Malfunction6
87360,DQN,0.0,Malfunction6
87561,DQN,0.3333333333333333,Malfunction6
87785,DQN,0.16666666666666666,Malfunction6
88016,DQN,0.16666666666666666,Malfunction6
88250,DQN,0.0,Malfunction6
88473,DQN,0.5,Malfunction6
88686,DQN,0.6666666666666666,Malfunction6
88920,DQN,0.0,Malfunction6
89139,DQN,0.5,Malfunction6
89351,DQN,0.3333333333333333,Malfunction6
89544,DQN,0.3333333333333333,Malfunction6
89737,DQN,0.5,Malfunction6
89965,DQN,0.16666666666666666,Malfunction6
90103,DQN,0.3333333333333333,Malfunction6
90320,DQN,0.5,Malfunction6
90554,DQN,0.16666666666666666,Malfunction6
90780,DQN,0.5,Malfunction6
90990,DQN,0.5,Malfunction6
91207,DQN,0.3333333333333333,Malfunction6
91417,DQN,0.6666666666666666,Malfunction6
91650,DQN,0.16666666666666666,Malfunction6
91873,DQN,0.3333333333333333,Malfunction6
92073,DQN,0.0,Malfunction6
92290,DQN,0.6666666666666666,Malfunction6
92524,DQN,0.0,Malfunction6
92742,DQN,0.3333333333333333,Malfunction6
92976,DQN,0.0,Malfunction6
93152,DQN,0.8333333333333334,Malfunction6
93353,DQN,0.6666666666666666,Malfunction6
93587,DQN,0.0,Malfunction6
93769,DQN,0.16666666666666666,Malfunction6
93969,DQN,0.16666666666666666,Malfunction6
94203,DQN,0.0,Malfunction6
94379,DQN,0.3333333333333333,Malfunction6
94602,DQN,0.3333333333333333,Malfunction6
94780,DQN,0.3333333333333333,Malfunction6
94995,DQN,0.0,Malfunction6
95212,DQN,0.3333333333333333,Malfunction6
95359,DQN,0.3333333333333333,Malfunction6
95584,DQN,0.16666666666666666,Malfunction6
95806,DQN,0.5,Malfunction6
96031,DQN,0.16666666666666666,Malfunction6
96255,DQN,0.16666666666666666,Malfunction6
96438,DQN,0.3333333333333333,Malfunction6
96584,DQN,0.3333333333333333,Malfunction6
96776,DQN,0.5,Malfunction6
96900,DQN,0.0,Malfunction6
97134,DQN,0.0,Malfunction6
97302,DQN,0.0,Malfunction6
97475,DQN,0.0,Malfunction6
97659,DQN,0.0,Malfunction6
97788,DQN,0.5,Malfunction6
97971,DQN,0.8333333333333334,Malfunction6
98199,DQN,0.3333333333333333,Malfunction6
98402,DQN,0.3333333333333333,Malfunction6
98624,DQN,0.16666666666666666,Malfunction6
98839,DQN,0.6666666666666666,Malfunction6
99023,DQN,0.3333333333333333,Malfunction6
99172,DQN,0.3333333333333333,Malfunction6
99392,DQN,0.5,Malfunction6
99617,DQN,0.3333333333333333,Malfunction6
99828,DQN,0.5,Malfunction6
100062,DQN,0.16666666666666666,Malfunction6
100205,DQN,0.3333333333333333,Malfunction6
100425,DQN,0.8333333333333334,Malfunction6
100624,DQN,0.0,Malfunction6
100858,DQN,0.0,Malfunction6
101075,DQN,0.5,Malfunction6
101309,DQN,0.0,Malfunction6
101533,DQN,0.3333333333333333,Malfunction6
101715,DQN,0.3333333333333333,Malfunction6
101888,DQN,0.5,Malfunction6
102119,DQN,0.16666666666666666,Malfunction6
102316,DQN,0.0,Malfunction6
102483,DQN,0.16666666666666666,Malfunction6
102704,DQN,0.3333333333333333,Malfunction6
102905,DQN,0.5,Malfunction6
103067,DQN,0.16666666666666666,Malfunction6
103264,DQN,0.16666666666666666,Malfunction6
103490,DQN,0.16666666666666666,Malfunction6
103666,DQN,0.0,Malfunction6
103891,DQN,0.3333333333333333,Malfunction6
104121,DQN,0.16666666666666666,Malfunction6
104313,DQN,0.16666666666666666,Malfunction6
104547,DQN,0.0,Malfunction6
104766,DQN,0.3333333333333333,Malfunction6
104950,DQN,0.5,Malfunction6
105125,DQN,0.5,Malfunction6
105287,DQN,0.16666666666666666,Malfunction6
105511,DQN,0.16666666666666666,Malfunction6
105745,DQN,0.0,Malfunction6
105902,DQN,0.3333333333333333,Malfunction6
106122,DQN,0.16666666666666666,Malfunction6
106295,DQN,0.8333333333333334,Malfunction6
106529,DQN,0.0,Malfunction6
106738,DQN,0.5,Malfunction6
106918,DQN,0.3333333333333333,Malfunction6
107149,DQN,0.16666666666666666,Malfunction6
107369,DQN,0.3333333333333333,Malfunction6
107571,DQN,0.5,Malfunction6
107805,DQN,0.0,Malfunction6
108004,DQN,0.0,Malfunction6
108238,DQN,0.0,Malfunction6
108464,DQN,0.3333333333333333,Malfunction6
108667,DQN,1.0,Malfunction6
108893,DQN,0.3333333333333333,Malfunction6
109122,DQN,0.0,Malfunction6
109339,DQN,0.5,Malfunction6
109526,DQN,0.0,Malfunction6
109746,DQN,0.16666666666666666,Malfunction6
109967,DQN,0.16666666666666666,Malfunction6
110179,DQN,0.5,Malfunction6
110404,DQN,0.16666666666666666,Malfunction6
110629,DQN,0.5,Malfunction6
110845,DQN,0.5,Malfunction6
111060,DQN,0.5,Malfunction6
111284,DQN,0.16666666666666666,Malfunction6
111459,DQN,0.0,Malfunction6
111653,DQN,0.5,Malfunction6
111827,DQN,0.3333333333333333,Malfunction6
112005,DQN,0.5,Malfunction6
112227,DQN,0.16666666666666666,Malfunction6
112425,DQN,0.0,Malfunction6
112647,DQN,0.5,Malfunction6
112857,DQN,0.8333333333333334,Malfunction6
113054,DQN,0.0,Malfunction6
113270,DQN,0.3333333333333333,Malfunction6
113488,DQN,0.3333333333333333,Malfunction6
113715,DQN,0.0,Malfunction6
113933,DQN,0.3333333333333333,Malfunction6
114141,DQN,0.8333333333333334,Malfunction6
114337,DQN,0.16666666666666666,Malfunction6
114548,DQN,0.0,Malfunction6
114779,DQN,0.3333333333333333,Malfunction6
114944,DQN,0.16666666666666666,Malfunction6
115178,DQN,0.0,Malfunction6
115383,DQN,0.5,Malfunction6
115591,DQN,0.8333333333333334,Malfunction6
115768,DQN,0.6666666666666666,Malfunction6
115989,DQN,0.16666666666666666,Malfunction6
116223,DQN,0.0,Malfunction6
116345,DQN,0.6666666666666666,Malfunction6
116570,DQN,0.3333333333333333,Malfunction6
116804,DQN,0.0,Malfunction6
116961,DQN,0.3333333333333333,Malfunction6
117195,DQN,0.0,Malfunction6
117374,DQN,0.3333333333333333,Malfunction6
117597,DQN,0.16666666666666666,Malfunction6
117822,DQN,0.6666666666666666,Malfunction6
118007,DQN,1.0,Malfunction6
118223,DQN,0.5,Malfunction6
118457,DQN,0.0,Malfunction6
118683,DQN,0.16666666666666666,Malfunction6
118880,DQN,0.6666666666666666,Malfunction6
119099,DQN,0.3333333333333333,Malfunction6
119305,DQN,0.5,Malfunction6
119503,DQN,0.0,Malfunction6
119737,DQN,0.16666666666666666,Malfunction6
119953,DQN,0.3333333333333333,Malfunction6
120170,DQN,0.16666666666666666,Malfunction6
120361,DQN,0.0,Malfunction6
120574,DQN,0.3333333333333333,Malfunction6
120747,DQN,0.5,Malfunction6
120952,DQN,0.8333333333333334,Malfunction6
121116,DQN,0.6666666666666666,Malfunction6
121317,DQN,1.0,Malfunction6
121479,DQN,0.6666666666666666,Malfunction6
121652,DQN,0.5,Malfunction6
121855,DQN,0.6666666666666666,Malfunction6
122057,DQN,0.3333333333333333,Malfunction6
122291,DQN,0.0,Malfunction6
122507,DQN,0.5,Malfunction6
122733,DQN,0.16666666666666666,Malfunction6
122957,DQN,0.5,Malfunction6
123191,DQN,0.0,Malfunction6
123412,DQN,0.5,Malfunction6
123609,DQN,0.0,Malfunction6
123754,DQN,0.6666666666666666,Malfunction6
123956,DQN,0.16666666666666666,Malfunction6
124169,DQN,0.6666666666666666,Malfunction6
124383,DQN,0.5,Malfunction6
124544,DQN,0.16666666666666666,Malfunction6
124772,DQN,0.3333333333333333,Malfunction6
124999,DQN,0.3333333333333333,Malfunction6
125207,DQN,0.8333333333333334,Malfunction6
125430,DQN,0.3333333333333333,Malfunction6
125627,DQN,0.6666666666666666,Malfunction6
125848,DQN,0.16666666666666666,Malfunction6
126082,DQN,0.0,Malfunction6
126312,DQN,0.0,Malfunction6
126539,DQN,0.5,Malfunction6
126773,DQN,0.0,Malfunction6
126939,DQN,0.16666666666666666,Malfunction6
127143,DQN,0.5,Malfunction6
127377,DQN,0.0,Malfunction6
127592,DQN,0.3333333333333333,Malfunction6
127822,DQN,0.3333333333333333,Malfunction6
127998,DQN,0.6666666666666666,Malfunction6
128198,DQN,0.0,Malfunction6
