networksteps,algo,completions,env
2834,DQN,0.0,
5477,DQN,0.0,
8467,DQN,0.0,
11461,DQN,0.07142857142857142,
13786,DQN,0.07142857142857142,
16195,DQN,0.0,
18744,DQN,0.07142857142857142,
21159,DQN,0.0,
24669,DQN,0.14285714285714285,
27304,DQN,0.07142857142857142,
29988,DQN,0.07142857142857142,
33512,DQN,0.07142857142857142,
36627,DQN,0.07142857142857142,
39229,DQN,0.07142857142857142,
42267,DQN,0.0,
45350,DQN,0.0,
48589,DQN,0.14285714285714285,
50974,DQN,0.0,
53786,DQN,0.07142857142857142,
55970,DQN,0.0,
58853,DQN,0.14285714285714285,
61911,DQN,0.21428571428571427,
64980,DQN,0.07142857142857142,
68228,DQN,0.07142857142857142,
71513,DQN,0.0,
74713,DQN,0.0,
78254,DQN,0.0,
81098,DQN,0.0,
81123,DQN,0.0,Pathfinding8
81137,DQN,0.0,Pathfinding8
81155,DQN,0.0,Pathfinding8
81166,DQN,0.0,Pathfinding8
81171,DQN,0.0,Pathfinding8
81187,DQN,0.0,Pathfinding8
81196,DQN,0.0,Pathfinding8
81204,DQN,0.0,Pathfinding8
81212,DQN,0.0,Pathfinding8
81224,DQN,0.0,Pathfinding8
81233,DQN,0.0,Pathfinding8
81247,DQN,0.0,Pathfinding8
81263,DQN,0.0,Pathfinding8
81282,DQN,0.0,Pathfinding8
81286,DQN,0.0,Pathfinding8
81302,DQN,0.0,Pathfinding8
81313,DQN,0.0,Pathfinding8
81325,DQN,0.0,Pathfinding8
81337,DQN,0.0,Pathfinding8
81348,DQN,0.0,Pathfinding8
81364,DQN,0.0,Pathfinding8
81369,DQN,0.0,Pathfinding8
81381,DQN,0.0,Pathfinding8
81390,DQN,0.0,Pathfinding8
81402,DQN,0.0,Pathfinding8
81404,DQN,0.0,Pathfinding8
81416,DQN,0.0,Pathfinding8
81421,DQN,0.0,Pathfinding8
81432,DQN,0.0,Pathfinding8
81437,DQN,0.0,Pathfinding8
81441,DQN,0.0,Pathfinding8
81443,DQN,0.0,Pathfinding8
81464,DQN,0.0,Pathfinding8
81472,DQN,0.0,Pathfinding8
81486,DQN,0.0,Pathfinding8
81500,DQN,0.0,Pathfinding8
81507,DQN,1.0,Pathfinding8
81511,DQN,0.0,Pathfinding8
81525,DQN,0.0,Pathfinding8
81527,DQN,0.0,Pathfinding8
81541,DQN,0.0,Pathfinding8
