networksteps,algo,score,env
2632,DQN,-0.35937005798629185,
6440,DQN,-0.3432869511440987,
9115,DQN,-0.3218527086948085,
11519,DQN,-0.3530716531895735,
14453,DQN,-0.3387791286727434,
17017,DQN,-0.34309523809523335,
19280,DQN,-0.37304312282852536,
22297,DQN,-0.3825161772025877,
24283,DQN,-0.4544597534445201,
27476,DQN,-0.36078020784861087,
29922,DQN,-0.3284431444991737,
33763,DQN,-0.4013864692218379,
36324,DQN,-0.33630468447541,
39104,DQN,-0.40470946087685766,
41612,DQN,-0.31962809917354895,
43808,DQN,-0.3882328654004922,
47030,DQN,-0.3501645996018971,
49960,DQN,-0.4334278837888902,
53144,DQN,-0.33592998174879213,
55322,DQN,-0.34268879268878716,
58220,DQN,-0.35417833800186266,
61565,DQN,-0.28623648846041344,
64796,DQN,-0.32920168067226335,
68244,DQN,-0.3499488334015585,
70769,DQN,-0.32330981775425705,
74060,DQN,-0.3847174163783137,
76786,DQN,-0.39574898785424595,
79222,DQN,-0.4661282355265715,
81550,DQN,-0.37020845682670894,
81663,DQN,-0.27775157232704406,Deadlock4
82053,DQN,-0.3790079365079372,Deadlock4
82253,DQN,-0.278645833333333,Deadlock4
82379,DQN,-0.31092767295597457,Deadlock4
82793,DQN,-0.3596836419753094,Deadlock4
83127,DQN,-0.2902380952380966,Deadlock4
83497,DQN,-0.28729575163398735,Deadlock4
83634,DQN,-0.24709119496855317,Deadlock4
84041,DQN,-0.36408179012345765,Deadlock4
84280,DQN,-0.26221405228758216,Deadlock4
84490,DQN,-0.2406045751633994,Deadlock4
84912,DQN,-0.3091820987654329,Deadlock4
85060,DQN,-0.32924528301886796,Deadlock4
85267,DQN,-0.3130952380952378,Deadlock4
85686,DQN,-0.29864969135802544,Deadlock4
86029,DQN,-0.3350396825396833,Deadlock4
86033,DQN,-0.5,Deadlock4
86397,DQN,-0.3624206349206359,Deadlock4
86756,DQN,-0.27523809523809545,Deadlock4
86882,DQN,-0.33411949685534575,Deadlock4
87094,DQN,-0.3116071428571424,Deadlock4
87218,DQN,-0.3612421383647799,Deadlock4
87582,DQN,-0.352063492063493,Deadlock4
87586,DQN,-0.5,Deadlock4
87997,DQN,-0.32260802469135846,Deadlock4
88236,DQN,-0.2919526143790859,Deadlock4
88446,DQN,-0.23558006535947784,Deadlock4
88867,DQN,-0.3452546296296303,Deadlock4
88975,DQN,-0.30927672955974816,Deadlock4
89103,DQN,-0.44795597484276745,Deadlock4
89523,DQN,-0.32488425925925996,Deadlock4
89944,DQN,-0.3456404320987662,Deadlock4
90235,DQN,-0.2620098039215695,Deadlock4
90572,DQN,-0.3022619047619057,Deadlock4
90576,DQN,-0.5,Deadlock4
90913,DQN,-0.29257936507936594,Deadlock4
91293,DQN,-0.3371825396825402,Deadlock4
91654,DQN,-0.36269841269841346,Deadlock4
91859,DQN,-0.2933415032679743,Deadlock4
91988,DQN,-0.2999999999999997,Deadlock4
92401,DQN,-0.26994598765432143,Deadlock4
92765,DQN,-0.318690476190477,Deadlock4
92769,DQN,-0.5,Deadlock4
92890,DQN,-0.3266509433962263,Deadlock4
93274,DQN,-0.2939285714285714,Deadlock4
93385,DQN,-0.22830188679245256,Deadlock4
93800,DQN,-0.2603009259259266,Deadlock4
93804,DQN,-0.5,Deadlock4
94151,DQN,-0.35289682539682576,Deadlock4
94155,DQN,-0.5,Deadlock4
94293,DQN,-0.25927672955974834,Deadlock4
94509,DQN,-0.3933035714285714,Deadlock4
94855,DQN,-0.27055555555555566,Deadlock4
95028,DQN,-0.3528301886792454,Deadlock4
95396,DQN,-0.36400793650793695,Deadlock4
95767,DQN,-0.3919841269841275,Deadlock4
95876,DQN,-0.3028301886792453,Deadlock4
96201,DQN,-0.2376984126984131,Deadlock4
96498,DQN,-0.22136437908496792,Deadlock4
96860,DQN,-0.34880952380952485,Deadlock4
97074,DQN,-0.25012254901960823,Deadlock4
97475,DQN,-0.3539682539682546,Deadlock4
97609,DQN,-0.3448899371069182,Deadlock4
97882,DQN,-0.2688316993464057,Deadlock4
98206,DQN,-0.29190476190476294,Deadlock4
