networksteps,algo,score,env
3041,DQN,-0.36613547317661455,
5425,DQN,-0.35135714285713837,
9240,DQN,-0.4038745156855465,
12049,DQN,-0.3549062049062009,
15781,DQN,-0.3542151162790753,
19826,DQN,-0.3766324981017568,
22720,DQN,-0.37605526975333525,
25476,DQN,-0.4089504551820723,
28702,DQN,-0.3590919701213779,
31617,DQN,-0.33667508804165047,
34473,DQN,-0.400214822771208,
36915,DQN,-0.38899267399266935,
40698,DQN,-0.3265945165945142,
43448,DQN,-0.4147783251231475,
45749,DQN,-0.2887523809523759,
47998,DQN,-0.31237615851709993,
50996,DQN,-0.3379568106312238,
53121,DQN,-0.3644059065934029,
56839,DQN,-0.375419501133781,
60074,DQN,-0.39802288406528197,
62939,DQN,-0.3898629148629107,
65895,DQN,-0.4063549783549768,
69175,DQN,-0.309323006310958,
72307,DQN,-0.35830844532934913,
76944,DQN,-0.3761258984726027,
79776,DQN,-0.2961740558292225,
82296,DQN,-0.32450439403228626,
82724,DQN,-0.2867669753086426,Deadlock4
82942,DQN,-0.4137648809523806,Deadlock4
83325,DQN,-0.31511904761904824,Deadlock4
83329,DQN,-0.5,Deadlock4
83431,DQN,-0.35322327044025165,Deadlock4
83435,DQN,-0.5,Deadlock4
83549,DQN,-0.3274371069182388,Deadlock4
83703,DQN,-0.2950471698113208,Deadlock4
84086,DQN,-0.3522222222222229,Deadlock4
84500,DQN,-0.2987268518518526,Deadlock4
84704,DQN,-0.2966094771241835,Deadlock4
85043,DQN,-0.28579365079365127,Deadlock4
85450,DQN,-0.34706349206349274,Deadlock4
85813,DQN,-0.3833730158730168,Deadlock4
86032,DQN,-0.4261160714285711,Deadlock4
86392,DQN,-0.37015873015873085,Deadlock4
86741,DQN,-0.38289682539682635,Deadlock4
87001,DQN,-0.31331699346405295,Deadlock4
87233,DQN,-0.2587826797385627,Deadlock4
87237,DQN,-0.5,Deadlock4
87587,DQN,-0.24607142857142952,Deadlock4
87984,DQN,-0.32123015873016003,Deadlock4
88197,DQN,-0.44627976190476215,Deadlock4
88351,DQN,-0.3956761006289309,Deadlock4
88711,DQN,-0.3919841269841278,Deadlock4
88950,DQN,-0.27344771241830107,Deadlock4
89298,DQN,-0.3298412698412706,Deadlock4
89406,DQN,-0.3346698113207547,Deadlock4
89522,DQN,-0.21863207547169783,Deadlock4
89664,DQN,-0.31910377358490544,Deadlock4
89880,DQN,-0.3235119047619046,Deadlock4
90169,DQN,-0.2229983660130725,Deadlock4
90173,DQN,-0.5,Deadlock4
90550,DQN,-0.43265873015873096,Deadlock4
90829,DQN,-0.24407679738562119,Deadlock4
90940,DQN,-0.3467767295597485,Deadlock4
91296,DQN,-0.2626190476190478,Deadlock4
91618,DQN,-0.32206349206349255,Deadlock4
91622,DQN,-0.5,Deadlock4
91626,DQN,-0.5,Deadlock4
91964,DQN,-0.30432539682539755,Deadlock4
92268,DQN,-0.29579248366013117,Deadlock4
92510,DQN,-0.27128267973856257,Deadlock4
92655,DQN,-0.3270440251572325,Deadlock4
92765,DQN,-0.28561320754716985,Deadlock4
92769,DQN,-0.5,Deadlock4
92773,DQN,-0.5,Deadlock4
92907,DQN,-0.3380503144654087,Deadlock4
92911,DQN,-0.5,Deadlock4
93115,DQN,-0.3130718954248372,Deadlock4
93385,DQN,-0.3537990196078436,Deadlock4
93806,DQN,-0.2899691358024698,Deadlock4
93810,DQN,-0.5,Deadlock4
94161,DQN,-0.30936507936508,Deadlock4
94523,DQN,-0.2575793650793659,Deadlock4
94615,DQN,-0.2361635220125785,Deadlock4
94978,DQN,-0.30424603174603165,Deadlock4
95301,DQN,-0.2765476190476191,Deadlock4
95668,DQN,-0.42416666666666714,Deadlock4
95884,DQN,-0.4369791666666665,Deadlock4
96093,DQN,-0.2943452380952377,Deadlock4
96306,DQN,-0.40096726190476173,Deadlock4
96602,DQN,-0.23958333333333406,Deadlock4
96941,DQN,-0.32150793650793713,Deadlock4
97351,DQN,-0.20154320987654412,Deadlock4
97475,DQN,-0.31399371069182397,Deadlock4
97637,DQN,-0.31855345911949656,Deadlock4
97772,DQN,-0.3515723270440252,Deadlock4
97983,DQN,-0.45840773809523794,Deadlock4
97987,DQN,-0.5,Deadlock4
98354,DQN,-0.39250000000000057,Deadlock4
98565,DQN,-0.3661458333333333,Deadlock4
98740,DQN,-0.42853773584905647,Deadlock4
98968,DQN,-0.2577205882352949,Deadlock4
99336,DQN,-0.3700793650793655,Deadlock4
99656,DQN,-0.22675653594771308,Deadlock4
100071,DQN,-0.3503858024691368,Deadlock4
100233,DQN,-0.29371069182389936,Deadlock4
100649,DQN,-0.30138888888888954,Deadlock4
101063,DQN,-0.2766975308641982,Deadlock4
101485,DQN,-0.3489583333333341,Deadlock4
101489,DQN,-0.5,Deadlock4
101709,DQN,-0.40602678571428574,Deadlock4
101713,DQN,-0.5,Deadlock4
101717,DQN,-0.5,Deadlock4
101824,DQN,-0.315330188679245,Deadlock4
102040,DQN,-0.28437499999999966,Deadlock4
102250,DQN,-0.2620098039215692,Deadlock4
102466,DQN,-0.43184523809523784,Deadlock4
102885,DQN,-0.27928240740740795,Deadlock4
103244,DQN,-0.41500000000000026,Deadlock4
103372,DQN,-0.27460691823899375,Deadlock4
103721,DQN,-0.2594047619047624,Deadlock4
103931,DQN,-0.27589285714285683,Deadlock4
104250,DQN,-0.3098412698412709,Deadlock4
104525,DQN,-0.24599673202614422,Deadlock4
104834,DQN,-0.2628174603174609,Deadlock4
105049,DQN,-0.3099702380952383,Deadlock4
105469,DQN,-0.2586419753086427,Deadlock4
105844,DQN,-0.34234126984126967,Deadlock4
105980,DQN,-0.35227987421383666,Deadlock4
106132,DQN,-0.3879716981132076,Deadlock4
106136,DQN,-0.5,Deadlock4
106336,DQN,-0.26993464052287625,Deadlock4
106626,DQN,-0.30563725490196125,Deadlock4
106946,DQN,-0.3031454248366018,Deadlock4
107161,DQN,-0.4944196428571426,Deadlock4
107525,DQN,-0.3676984126984132,Deadlock4
107729,DQN,-0.31421130952380916,Deadlock4
108092,DQN,-0.3690873015873024,Deadlock4
108423,DQN,-0.3410317460317464,Deadlock4
108804,DQN,-0.26698412698412743,Deadlock4
109095,DQN,-0.3480800653594776,Deadlock4
109437,DQN,-0.2649603174603173,Deadlock4
109681,DQN,-0.28766339869281093,Deadlock4
109811,DQN,-0.3161949685534589,Deadlock4
109929,DQN,-0.30919811320754687,Deadlock4
110308,DQN,-0.3036507936507945,Deadlock4
110416,DQN,-0.2636006289308174,Deadlock4
110568,DQN,-0.27169811320754716,Deadlock4
110783,DQN,-0.33772321428571395,Deadlock4
110907,DQN,-0.22806603773584877,Deadlock4
111075,DQN,-0.3889150943396228,Deadlock4
111355,DQN,-0.3458333333333338,Deadlock4
111683,DQN,-0.24519841269841322,Deadlock4
112046,DQN,-0.3392460317460327,Deadlock4
112174,DQN,-0.3635220125786166,Deadlock4
112541,DQN,-0.3593253968253978,Deadlock4
112769,DQN,-0.3048611111111116,Deadlock4
112900,DQN,-0.31988993710691793,Deadlock4
113122,DQN,-0.23856209150326857,Deadlock4
113272,DQN,-0.28561320754716985,Deadlock4
113485,DQN,-0.45282738095238095,Deadlock4
113890,DQN,-0.24498456790123513,Deadlock4
114168,DQN,-0.3357843137254906,Deadlock4
114569,DQN,-0.22307098765432207,Deadlock4
114989,DQN,-0.3396219135802474,Deadlock4
115285,DQN,-0.22242647058823603,Deadlock4
115624,DQN,-0.28456349206349313,Deadlock4
115628,DQN,-0.5,Deadlock4
115841,DQN,-0.23251633986928152,Deadlock4
116059,DQN,-0.3520089285714285,Deadlock4
116408,DQN,-0.3474206349206359,Deadlock4
116777,DQN,-0.19093364197530885,Deadlock4
117086,DQN,-0.3332107843137259,Deadlock4
117090,DQN,-0.5,Deadlock4
117305,DQN,-0.2593137254901963,Deadlock4
117672,DQN,-0.32404761904761964,Deadlock4
117874,DQN,-0.3636160714285718,Deadlock4
117993,DQN,-0.45330188679245303,Deadlock4
118421,DQN,-0.26643518518518594,Deadlock4
118839,DQN,-0.3020447530864207,Deadlock4
119161,DQN,-0.30154761904761945,Deadlock4
119282,DQN,-0.3713836477987424,Deadlock4
119485,DQN,-0.2904411764705887,Deadlock4
119854,DQN,-0.30492063492063554,Deadlock4
120010,DQN,-0.25070754716981103,Deadlock4
120344,DQN,-0.2992857142857145,Deadlock4
120494,DQN,-0.2443396226415092,Deadlock4
120853,DQN,-0.27587301587301616,Deadlock4
121038,DQN,-0.37075892857142834,Deadlock4
121172,DQN,-0.3705974842767296,Deadlock4
121378,DQN,-0.3541666666666666,Deadlock4
121504,DQN,-0.2647012578616352,Deadlock4
121639,DQN,-0.26753144654088046,Deadlock4
121845,DQN,-0.30543154761904745,Deadlock4
122048,DQN,-0.2177083333333329,Deadlock4
122464,DQN,-0.2865740740740747,Deadlock4
122680,DQN,-0.4439732142857139,Deadlock4
123001,DQN,-0.27083333333333426,Deadlock4
123267,DQN,-0.34730392156862794,Deadlock4
123636,DQN,-0.35067460317460347,Deadlock4
123640,DQN,-0.5,Deadlock4
123844,DQN,-0.39508928571428537,Deadlock4
124095,DQN,-0.2745098039215692,Deadlock4
124231,DQN,-0.2713836477987422,Deadlock4
124503,DQN,-0.25416666666666726,Deadlock4
124872,DQN,-0.26801587301587354,Deadlock4
125012,DQN,-0.3549528301886793,Deadlock4
125337,DQN,-0.28373015873015944,Deadlock4
125553,DQN,-0.41592261904761896,Deadlock4
125798,DQN,-0.2783905228758174,Deadlock4
125981,DQN,-0.23710691823899338,Deadlock4
126131,DQN,-0.26674528301886796,Deadlock4
126307,DQN,-0.24824346405228803,Deadlock4
126434,DQN,-0.2584905660377358,Deadlock4
126635,DQN,-0.2941220238095236,Deadlock4
126639,DQN,-0.5,Deadlock4
126896,DQN,-0.23578431372549058,Deadlock4
127045,DQN,-0.33121069182389945,Deadlock4
127049,DQN,-0.5,Deadlock4
127158,DQN,-0.26485849056603744,Deadlock4
127327,DQN,-0.2488970588235298,Deadlock4
127549,DQN,-0.27565359477124235,Deadlock4
127660,DQN,-0.2176886792452828,Deadlock4
127924,DQN,-0.31633986928104624,Deadlock4
128072,DQN,-0.2983490566037736,Deadlock4
128076,DQN,-0.5,Deadlock4
128407,DQN,-0.30155228758169983,Deadlock4
128827,DQN,-0.28557098765432215,Deadlock4
128831,DQN,-0.5,Deadlock4
129133,DQN,-0.30077614379085016,Deadlock4
129137,DQN,-0.5,Deadlock4
129330,DQN,-0.2089460784313732,Deadlock4
129590,DQN,-0.29799836601307256,Deadlock4
129999,DQN,-0.23985339506172904,Deadlock4
130003,DQN,-0.5,Deadlock4
130338,DQN,-0.23908730158730207,Deadlock4
130720,DQN,-0.3718650793650799,Deadlock4
130724,DQN,-0.5,Deadlock4
131143,DQN,-0.27827932098765445,Deadlock4
131360,DQN,-0.2930059523809521,Deadlock4
131364,DQN,-0.5,Deadlock4
131580,DQN,-0.3544642857142854,Deadlock4
131686,DQN,-0.40267295597484243,Deadlock4
131690,DQN,-0.5,Deadlock4
132036,DQN,-0.3639285714285723,Deadlock4
132174,DQN,-0.3770440251572328,Deadlock4
132368,DQN,-0.22071078431372632,Deadlock4
132772,DQN,-0.3078703703703714,Deadlock4
133110,DQN,-0.38222222222222246,Deadlock4
133398,DQN,-0.27896825396825475,Deadlock4
133816,DQN,-0.26647376543209944,Deadlock4
134168,DQN,-0.3154761904761909,Deadlock4
134516,DQN,-0.26464285714285746,Deadlock4
134520,DQN,-0.5,Deadlock4
134640,DQN,-0.28081761006289313,Deadlock4
135055,DQN,-0.25925925925926,Deadlock4
135238,DQN,-0.22373511904761892,Deadlock4
135441,DQN,-0.2966094771241835,Deadlock4
135445,DQN,-0.5,Deadlock4
135685,DQN,-0.29501633986928155,Deadlock4
135980,DQN,-0.2221405228758176,Deadlock4
136336,DQN,-0.3572222222222229,Deadlock4
136627,DQN,-0.2859477124183011,Deadlock4
136904,DQN,-0.26139705882352987,Deadlock4
137206,DQN,-0.34906045751634035,Deadlock4
137210,DQN,-0.5,Deadlock4
137428,DQN,-0.3422619047619045,Deadlock4
137432,DQN,-0.5,Deadlock4
137571,DQN,-0.3060534591194969,Deadlock4
137884,DQN,-0.28027777777777824,Deadlock4
138263,DQN,-0.32984126984127043,Deadlock4
138367,DQN,-0.21305031446540854,Deadlock4
138575,DQN,-0.2598856209150334,Deadlock4
138714,DQN,-0.327201257861635,Deadlock4
139113,DQN,-0.28379629629629677,Deadlock4
139321,DQN,-0.4555059523809521,Deadlock4
139444,DQN,-0.2745283018867925,Deadlock4
139681,DQN,-0.272834967320262,Deadlock4
140011,DQN,-0.29060457516339905,Deadlock4
140225,DQN,-0.2562091503267978,Deadlock4
140367,DQN,-0.33632075471698103,Deadlock4
140479,DQN,-0.36831761006289326,Deadlock4
140671,DQN,-0.29918154761904736,Deadlock4
141001,DQN,-0.32883986928104647,Deadlock4
141005,DQN,-0.5,Deadlock4
141248,DQN,-0.27295751633986975,Deadlock4
141353,DQN,-0.3657232704402516,Deadlock4
141684,DQN,-0.3171825396825405,Deadlock4
142028,DQN,-0.3610317460317464,Deadlock4
142032,DQN,-0.5,Deadlock4
142243,DQN,-0.2825892857142855,Deadlock4
142488,DQN,-0.29820261437908563,Deadlock4
142705,DQN,-0.25014880952380913,Deadlock4
143118,DQN,-0.36045524691358094,Deadlock4
143217,DQN,-0.24268867924528298,Deadlock4
143325,DQN,-0.22020440251572299,Deadlock4
143329,DQN,-0.5,Deadlock4
143513,DQN,-0.2123427672955972,Deadlock4
143846,DQN,-0.3130555555555565,Deadlock4
144026,DQN,-0.2534313725490199,Deadlock4
144157,DQN,-0.33726415094339607,Deadlock4
144364,DQN,-0.33474702380952354,Deadlock4
144711,DQN,-0.3566269841269849,Deadlock4
145094,DQN,-0.3082539682539694,Deadlock4
145516,DQN,-0.2536651234567906,Deadlock4
145667,DQN,-0.36226415094339637,Deadlock4
145959,DQN,-0.35302287581699393,Deadlock4
146069,DQN,-0.36462264150943413,Deadlock4
146461,DQN,-0.29062500000000085,Deadlock4
146742,DQN,-0.2203431372549028,Deadlock4
146746,DQN,-0.5,Deadlock4
146899,DQN,-0.3391509433962264,Deadlock4
147020,DQN,-0.28246855345911953,Deadlock4
147309,DQN,-0.32583333333333425,Deadlock4
147644,DQN,-0.2888888888888896,Deadlock4
147972,DQN,-0.17138888888888884,Deadlock4
148167,DQN,-0.20657679738562149,Deadlock4
148405,DQN,-0.2353758169934649,Deadlock4
148634,DQN,-0.21642156862745157,Deadlock4
148887,DQN,-0.3395424836601312,Deadlock4
149303,DQN,-0.27403549382716125,Deadlock4
149446,DQN,-0.33663522012578617,Deadlock4
149596,DQN,-0.28396226415094344,Deadlock4
149969,DQN,-0.3238888888888893,Deadlock4
150171,DQN,-0.2736111111111117,Deadlock4
150495,DQN,-0.22130952380952454,Deadlock4
150499,DQN,-0.5,Deadlock4
150763,DQN,-0.256413398692811,Deadlock4
151094,DQN,-0.27686507936507976,Deadlock4
151515,DQN,-0.27160493827160526,Deadlock4
151726,DQN,-0.3322916666666667,Deadlock4
151886,DQN,-0.22814465408805,Deadlock4
152306,DQN,-0.3215277777777786,Deadlock4
152635,DQN,-0.2897058823529417,Deadlock4
152744,DQN,-0.31863207547169814,Deadlock4
153011,DQN,-0.2602532679738568,Deadlock4
153273,DQN,-0.35138888888888936,Deadlock4
153665,DQN,-0.24239969135802542,Deadlock4
153669,DQN,-0.5,Deadlock4
153809,DQN,-0.3799528301886793,Deadlock4
154229,DQN,-0.2847222222222228,Deadlock4
154611,DQN,-0.326349206349207,Deadlock4
154615,DQN,-0.5,Deadlock4
154958,DQN,-0.3311507936507942,Deadlock4
155274,DQN,-0.37138888888888927,Deadlock4
155482,DQN,-0.28660714285714245,Deadlock4
155818,DQN,-0.3143650793650801,Deadlock4
156026,DQN,-0.30257352941176496,Deadlock4
156221,DQN,-0.37114779874213855,Deadlock4
156429,DQN,-0.3343137254901965,Deadlock4
156848,DQN,-0.3522376543209885,Deadlock4
157098,DQN,-0.270506535947713,Deadlock4
157436,DQN,-0.24984126984127053,Deadlock4
157766,DQN,-0.20341269841269843,Deadlock4
158029,DQN,-0.26233660130718994,Deadlock4
158173,DQN,-0.27059748427672925,Deadlock4
158592,DQN,-0.33094135802469216,Deadlock4
158802,DQN,-0.30855654761904766,Deadlock4
159217,DQN,-0.30258487654321026,Deadlock4
159221,DQN,-0.5,Deadlock4
159441,DQN,-0.44903273809523786,Deadlock4
159641,DQN,-0.27365196078431453,Deadlock4
159941,DQN,-0.26587301587301715,Deadlock4
160344,DQN,-0.44714285714285756,Deadlock4
161069,DQN,-0.31412698412698553,Deadlock8
161904,DQN,-0.2861496913580263,Deadlock8
162573,DQN,-0.35980158730158796,Deadlock8
163165,DQN,-0.3399439102564101,Deadlock8
163394,DQN,-0.30604575163398745,Deadlock8
163817,DQN,-0.5120535714285718,Deadlock8
164420,DQN,-0.3255008012820525,Deadlock8
164692,DQN,-0.3294811320754722,Deadlock8
165510,DQN,-0.2980902777777791,Deadlock8
166010,DQN,-0.30067401960784407,Deadlock8
166402,DQN,-0.29260416666666683,Deadlock8
166643,DQN,-0.32460691823899435,Deadlock8
167246,DQN,-0.2954166666666678,Deadlock8
167725,DQN,-0.2945625000000005,Deadlock8
168384,DQN,-0.34755608974359103,Deadlock8
168937,DQN,-0.2799428104575173,Deadlock8
169088,DQN,-0.3955882352941181,Deadlock8
169470,DQN,-0.3653333333333333,Deadlock8
169675,DQN,-0.3296977124183009,Deadlock8
170104,DQN,-0.3640252976190488,Deadlock8
170725,DQN,-0.362071078431373,Deadlock8
171250,DQN,-0.31566584967320327,Deadlock8
171957,DQN,-0.32301682692307804,Deadlock8
172448,DQN,-0.3015416666666677,Deadlock8
173024,DQN,-0.2862179487179493,Deadlock8
173481,DQN,-0.28809232026143816,Deadlock8
174196,DQN,-0.3837698412698416,Deadlock8
174573,DQN,-0.3051875000000006,Deadlock8
175302,DQN,-0.3661507936507944,Deadlock8
175980,DQN,-0.30678571428571544,Deadlock8
176616,DQN,-0.3692708333333334,Deadlock8
177109,DQN,-0.3172794117647053,Deadlock8
177737,DQN,-0.352491830065359,Deadlock8
178473,DQN,-0.28979750778816327,Deadlock8
179024,DQN,-0.3194240196078437,Deadlock8
179179,DQN,-0.2837826797385625,Deadlock8
179620,DQN,-0.2935000000000004,Deadlock8
180190,DQN,-0.2951522435897447,Deadlock8
180446,DQN,-0.3392688679245289,Deadlock8
181126,DQN,-0.2712103174603191,Deadlock8
181629,DQN,-0.2888684640522889,Deadlock8
182182,DQN,-0.3701923076923076,Deadlock8
182827,DQN,-0.35136846405228817,Deadlock8
183418,DQN,-0.30839342948718024,Deadlock8
184170,DQN,-0.36291666666666783,Deadlock8
184484,DQN,-0.3632954545454553,Deadlock8
184841,DQN,-0.27045833333333347,Deadlock8
185495,DQN,-0.3501388888888904,Deadlock8
186031,DQN,-0.344937500000001,Deadlock8
186715,DQN,-0.35444444444444495,Deadlock8
187408,DQN,-0.34039682539682603,Deadlock8
187982,DQN,-0.3299632352941183,Deadlock8
188569,DQN,-0.30564903846153924,Deadlock8
189081,DQN,-0.3469362745098054,Deadlock8
189574,DQN,-0.35324754901960903,Deadlock8
190261,DQN,-0.3539087301587313,Deadlock8
190895,DQN,-0.31300080128205227,Deadlock8
191162,DQN,-0.3295990566037741,Deadlock8
191375,DQN,-0.30759803921568674,Deadlock8
191928,DQN,-0.25108173076923207,Deadlock8
192537,DQN,-0.293607026143792,Deadlock8
193043,DQN,-0.32869689542483743,Deadlock8
193739,DQN,-0.31682539682539806,Deadlock8
194259,DQN,-0.35061274509803886,Deadlock8
194762,DQN,-0.3477124183006534,Deadlock8
195407,DQN,-0.38840144230769275,Deadlock8
195826,DQN,-0.4176666666666663,Deadlock8
196428,DQN,-0.3291053921568628,Deadlock8
196884,DQN,-0.24638480392156978,Deadlock8
197386,DQN,-0.34395833333333353,Deadlock8
197981,DQN,-0.31899038461538576,Deadlock8
198542,DQN,-0.31815767973856257,Deadlock8
199189,DQN,-0.2501984126984143,Deadlock8
199197,DQN,-0.5,Deadlock8
199669,DQN,-0.3094375000000003,Deadlock8
200206,DQN,-0.34221813725490113,Deadlock8
200757,DQN,-0.3355187908496742,Deadlock8
201289,DQN,-0.3001225490196093,Deadlock8
201948,DQN,-0.29545634920634944,Deadlock8
202557,DQN,-0.28365384615384787,Deadlock8
203173,DQN,-0.3087740384615392,Deadlock8
203852,DQN,-0.38255208333333485,Deadlock8
204075,DQN,-0.3453223270440257,Deadlock8
204805,DQN,-0.37533730158730283,Deadlock8
205429,DQN,-0.32744391025641145,Deadlock8
205660,DQN,-0.3008647798742143,Deadlock8
206451,DQN,-0.3102998442367612,Deadlock8
206949,DQN,-0.27830882352941216,Deadlock8
207321,DQN,-0.2720454545454553,Deadlock8
207542,DQN,-0.29752358490566105,Deadlock8
208019,DQN,-0.3241666666666664,Deadlock8
208347,DQN,-0.2920833333333339,Deadlock8
209095,DQN,-0.3346626984126999,Deadlock8
209510,DQN,-0.3133125000000002,Deadlock8
210105,DQN,-0.3956730769230768,Deadlock8
210742,DQN,-0.3896634615384622,Deadlock8
211351,DQN,-0.31871031746031764,Deadlock8
212122,DQN,-0.37270249221183915,Deadlock8
212555,DQN,-0.31500000000000067,Deadlock8
213000,DQN,-0.2640522875817007,Deadlock8
213434,DQN,-0.31276552287581716,Deadlock8
213903,DQN,-0.24113562091503388,Deadlock8
214725,DQN,-0.3449074074074087,Deadlock8
215141,DQN,-0.2928199404761913,Deadlock8
215702,DQN,-0.32518382352941305,Deadlock8
216035,DQN,-0.27969276094276085,Deadlock8
216378,DQN,-0.30862794612794636,Deadlock8
216732,DQN,-0.27066666666666683,Deadlock8
217115,DQN,-0.30683922558922505,Deadlock8
217284,DQN,-0.3498774509803925,Deadlock8
217869,DQN,-0.35452724358974336,Deadlock8
218521,DQN,-0.32850560897435915,Deadlock8
218712,DQN,-0.32267156862745133,Deadlock8
219433,DQN,-0.30997596153846274,Deadlock8
220201,DQN,-0.29252336448598265,Deadlock8
220731,DQN,-0.3257352941176477,Deadlock8
221502,DQN,-0.3929166666666678,Deadlock8
222244,DQN,-0.3154789719626172,Deadlock8
222930,DQN,-0.3489583333333339,Deadlock8
223237,DQN,-0.3193181818181827,Deadlock8
223879,DQN,-0.32628205128205234,Deadlock8
224335,DQN,-0.3094975490196079,Deadlock8
224525,DQN,-0.31074346405228803,Deadlock8
225047,DQN,-0.2798677884615394,Deadlock8
225396,DQN,-0.2747083333333342,Deadlock8
226227,DQN,-0.3225077881619947,Deadlock8
226897,DQN,-0.3080929487179503,Deadlock8
227356,DQN,-0.31525735294117635,Deadlock8
227825,DQN,-0.3247957516339881,Deadlock8
228328,DQN,-0.3187704248366027,Deadlock8
228757,DQN,-0.2901515151515151,Deadlock8
229565,DQN,-0.29920171339564017,Deadlock8
230069,DQN,-0.32424999999999976,Deadlock8
230392,DQN,-0.30408249158249157,Deadlock8
230948,DQN,-0.2948325163398705,Deadlock8
231372,DQN,-0.2633374183006547,Deadlock8
231637,DQN,-0.3132786195286195,Deadlock8
231846,DQN,-0.3400735294117652,Deadlock8
231854,DQN,-0.5,Deadlock8
232329,DQN,-0.29517973856209195,Deadlock8
233024,DQN,-0.29823717948718037,Deadlock8
233414,DQN,-0.2727291666666677,Deadlock8
233775,DQN,-0.3142424242424249,Deadlock8
234357,DQN,-0.30986519607843255,Deadlock8
234808,DQN,-0.33266666666666683,Deadlock8
235140,DQN,-0.3046590909090916,Deadlock8
235840,DQN,-0.3791468253968257,Deadlock8
236504,DQN,-0.37614379084967325,Deadlock8
236860,DQN,-0.39719696969697027,Deadlock8
237214,DQN,-0.33318749999999975,Deadlock8
238010,DQN,-0.4097936137071653,Deadlock8
238635,DQN,-0.38212826797385735,Deadlock8
238830,DQN,-0.2902777777777782,Deadlock8
239206,DQN,-0.3257996632996631,Deadlock8
239784,DQN,-0.29528186274509793,Deadlock8
240363,DQN,-0.2648036858974368,Deadlock8
241496,DQN,-0.3531352124182985,Deadlock16
242561,DQN,-0.3378574346405197,Deadlock16
243822,DQN,-0.3240695792880228,Deadlock16
244623,DQN,-0.2913749999999978,Deadlock16
245747,DQN,-0.31141748366012806,Deadlock16
246839,DQN,-0.34092409240923854,Deadlock16
247894,DQN,-0.34256674757281314,Deadlock16
248700,DQN,-0.27389583333333084,Deadlock16
249759,DQN,-0.3271761551155089,Deadlock16
250464,DQN,-0.3160395408163252,Deadlock16
251731,DQN,-0.2947815533980554,Deadlock16
253055,DQN,-0.3356870993589719,Deadlock16
254022,DQN,-0.3509895833333312,Deadlock16
254854,DQN,-0.290083333333331,Deadlock16
256229,DQN,-0.3142628205128176,Deadlock16
257525,DQN,-0.3426782852564074,Deadlock16
258686,DQN,-0.35759506472491653,Deadlock16
259555,DQN,-0.32208333333333117,Deadlock16
260752,DQN,-0.3276943108974332,Deadlock16
262133,DQN,-0.3566529088050292,Deadlock16
263508,DQN,-0.354817708333331,Deadlock16
263985,DQN,-0.3364976415094347,Deadlock16
265101,DQN,-0.3179308252427152,Deadlock16
266054,DQN,-0.3449754901960758,Deadlock16
266927,DQN,-0.3234117161716145,Deadlock16
268147,DQN,-0.3850728155339785,Deadlock16
