networksteps,algo,score,env
2834,DQN,-0.3426863972680659,
5477,DQN,-0.3571248876909204,
8467,DQN,-0.34740797028030845,
11461,DQN,-0.354074573225511,
13786,DQN,-0.3474181233674856,
16195,DQN,-0.4099339257233951,
18744,DQN,-0.38435911914172305,
21159,DQN,-0.40653638814015686,
24669,DQN,-0.35114210469741985,
27304,DQN,-0.2683647102251691,
29988,DQN,-0.3280952380952326,
33512,DQN,-0.3679602781706836,
36627,DQN,-0.37272430313588945,
39229,DQN,-0.3858449477351874,
42267,DQN,-0.42736931906313463,
45350,DQN,-0.39851497299950817,
48589,DQN,-0.3097768748217833,
50974,DQN,-0.32474937343357924,
53786,DQN,-0.3798067514677095,
55970,DQN,-0.351808390022671,
58853,DQN,-0.3283349925335949,
61911,DQN,-0.34866484788359225,
64980,DQN,-0.3915754106520676,
68228,DQN,-0.33734472049689057,
71513,DQN,-0.39933712121211634,
74713,DQN,-0.37535192909279974,
78254,DQN,-0.3651734104046289,
81098,DQN,-0.40673348390739456,
81123,DQN,-0.5038461538461538,Pathfinding8
81137,DQN,-0.5144444444444444,Pathfinding8
81155,DQN,-0.2710526315789474,Pathfinding8
81166,DQN,-0.47500000000000003,Pathfinding8
81171,DQN,-0.6666666666666666,Pathfinding8
81187,DQN,-0.4950980392156863,Pathfinding8
81196,DQN,-0.6066666666666667,Pathfinding8
81204,DQN,-0.4111111111111111,Pathfinding8
81212,DQN,-0.37777777777777777,Pathfinding8
81224,DQN,-0.5410256410256411,Pathfinding8
81233,DQN,-0.21166666666666661,Pathfinding8
81247,DQN,-0.47000000000000003,Pathfinding8
81263,DQN,-0.4774509803921569,Pathfinding8
81282,DQN,-0.5058333333333334,Pathfinding8
81286,DQN,-0.6033333333333334,Pathfinding8
81302,DQN,-0.5715686274509805,Pathfinding8
81313,DQN,-0.5055555555555555,Pathfinding8
81325,DQN,-0.4410256410256411,Pathfinding8
81337,DQN,-0.46794871794871795,Pathfinding8
81348,DQN,-0.6388888888888888,Pathfinding8
81364,DQN,-0.4166666666666667,Pathfinding8
81369,DQN,-0.7222222222222222,Pathfinding8
81381,DQN,-0.41410256410256413,Pathfinding8
81390,DQN,-0.505,Pathfinding8
81402,DQN,-0.5641025641025641,Pathfinding8
81404,DQN,-0.5555555555555556,Pathfinding8
81416,DQN,-0.5141025641025642,Pathfinding8
81421,DQN,-0.5555555555555556,Pathfinding8
81432,DQN,-0.5277777777777778,Pathfinding8
81437,DQN,-0.5055555555555555,Pathfinding8
81441,DQN,-0.5333333333333333,Pathfinding8
81443,DQN,-0.8888888888888888,Pathfinding8
81464,DQN,-0.31136363636363645,Pathfinding8
81472,DQN,-0.4888888888888889,Pathfinding8
81486,DQN,-0.2544444444444444,Pathfinding8
81500,DQN,-0.49222222222222217,Pathfinding8
81507,DQN,-0.06388888888888886,Pathfinding8
81511,DQN,-0.6033333333333334,Pathfinding8
81525,DQN,-0.4722222222222222,Pathfinding8
81527,DQN,-0.8888888888888888,Pathfinding8
81541,DQN,-0.5144444444444444,Pathfinding8
81557,DQN,-0.2833333333333333,Pathfinding8
81565,DQN,-0.5944444444444444,Pathfinding8
81579,DQN,-0.31888888888888883,Pathfinding8
81588,DQN,-0.5066666666666666,Pathfinding8
81593,DQN,-0.5583333333333333,Pathfinding8
81598,DQN,-0.5611111111111111,Pathfinding8
81612,DQN,-0.38333333333333336,Pathfinding8
81626,DQN,-0.3822222222222222,Pathfinding8
81642,DQN,-0.5490196078431373,Pathfinding8
81650,DQN,-0.5555555555555556,Pathfinding8
81654,DQN,-0.5333333333333333,Pathfinding8
81665,DQN,-0.47638888888888886,Pathfinding8
81669,DQN,-0.7333333333333333,Pathfinding8
81680,DQN,-0.5041666666666667,Pathfinding8
81685,DQN,-0.5555555555555556,Pathfinding8
81697,DQN,-0.341025641025641,Pathfinding8
81715,DQN,-0.3929824561403509,Pathfinding8
81724,DQN,-0.375,Pathfinding8
81733,DQN,-0.4066666666666666,Pathfinding8
81742,DQN,-0.40499999999999997,Pathfinding8
81745,DQN,-0.13999999999999999,Pathfinding8
81754,DQN,-0.5016666666666667,Pathfinding8
81759,DQN,-0.6138888888888889,Pathfinding8
81775,DQN,-0.3990196078431373,Pathfinding8
81777,DQN,-0.22777777777777775,Pathfinding8
81786,DQN,-0.4066666666666666,Pathfinding8
81794,DQN,-0.4129629629629629,Pathfinding8
81810,DQN,-0.3784313725490196,Pathfinding8
81826,DQN,-0.5686274509803921,Pathfinding8
81838,DQN,-0.5692307692307692,Pathfinding8
81850,DQN,-0.341025641025641,Pathfinding8
81859,DQN,-0.5366666666666667,Pathfinding8
81873,DQN,-0.45,Pathfinding8
81882,DQN,-0.6016666666666667,Pathfinding8
81891,DQN,-0.5016666666666667,Pathfinding8
81893,DQN,-0.5555555555555556,Pathfinding8
81909,DQN,-0.43725490196078426,Pathfinding8
81923,DQN,-0.4488888888888889,Pathfinding8
81937,DQN,-0.3855555555555555,Pathfinding8
81948,DQN,-0.2597222222222222,Pathfinding8
81969,DQN,-0.44242424242424244,Pathfinding8
81974,DQN,-0.44722222222222224,Pathfinding8
81986,DQN,-0.5435897435897435,Pathfinding8
82002,DQN,-0.4735294117647059,Pathfinding8
82009,DQN,-0.15555555555555553,Pathfinding8
82021,DQN,-0.5410256410256411,Pathfinding8
82023,DQN,-0.5555555555555556,Pathfinding8
82035,DQN,-0.5179487179487179,Pathfinding8
82044,DQN,-0.30666666666666664,Pathfinding8
82052,DQN,-0.3759259259259259,Pathfinding8
82060,DQN,-0.5203703703703704,Pathfinding8
82074,DQN,-0.4933333333333334,Pathfinding8
82082,DQN,-0.4111111111111111,Pathfinding8
82091,DQN,-0.5666666666666667,Pathfinding8
82105,DQN,-0.44888888888888895,Pathfinding8
82127,DQN,-0.2992753623188406,Pathfinding8
82138,DQN,-0.3680555555555556,Pathfinding8
82147,DQN,-0.44166666666666665,Pathfinding8
82163,DQN,-0.3401960784313725,Pathfinding8
82172,DQN,-0.6366666666666667,Pathfinding8
82186,DQN,-0.38333333333333336,Pathfinding8
82204,DQN,-0.4078947368421053,Pathfinding8
82218,DQN,-0.29888888888888887,Pathfinding8
82229,DQN,-0.5305555555555556,Pathfinding8
82241,DQN,-0.3641025641025641,Pathfinding8
82259,DQN,-0.4105263157894737,Pathfinding8
82273,DQN,-0.32111111111111107,Pathfinding8
82280,DQN,-0.10833333333333331,Pathfinding8
82292,DQN,-0.391025641025641,Pathfinding8
82301,DQN,-0.6016666666666667,Pathfinding8
82307,DQN,-0.1185185185185185,Pathfinding8
82315,DQN,-0.487037037037037,Pathfinding8
82326,DQN,-0.6388888888888888,Pathfinding8
82344,DQN,-0.4271929824561404,Pathfinding8
82362,DQN,-0.2903508771929824,Pathfinding8
82364,DQN,-0.5555555555555556,Pathfinding8
82372,DQN,-0.44999999999999996,Pathfinding8
82377,DQN,-0.5555555555555556,Pathfinding8
82382,DQN,-0.33888888888888885,Pathfinding8
82390,DQN,-0.4166666666666667,Pathfinding8
82394,DQN,-0.5333333333333333,Pathfinding8
82403,DQN,-0.47,Pathfinding8
82408,DQN,-0.6138888888888889,Pathfinding8
82420,DQN,-0.391025641025641,Pathfinding8
82425,DQN,-0.44722222222222224,Pathfinding8
82441,DQN,-0.3598039215686275,Pathfinding8
82459,DQN,-0.35614035087719303,Pathfinding8
82470,DQN,-0.5333333333333333,Pathfinding8
82479,DQN,-0.6016666666666667,Pathfinding8
82493,DQN,-0.3411111111111111,Pathfinding8
82501,DQN,-0.5222222222222223,Pathfinding8
82507,DQN,-0.1185185185185185,Pathfinding8
82521,DQN,-0.42666666666666675,Pathfinding8
82529,DQN,-0.5222222222222223,Pathfinding8
82545,DQN,-0.3784313725490196,Pathfinding8
82549,DQN,-0.5333333333333333,Pathfinding8
82563,DQN,-0.31777777777777777,Pathfinding8
82592,DQN,-0.40722222222222226,Pathfinding8
