networksteps,algo,score,env
2529,DQN,-0.3212146577380894,
4971,DQN,-0.4713768115941987,
7948,DQN,-0.36639976275207076,
10798,DQN,-0.3853689567429972,
14620,DQN,-0.311248516026906,
17379,DQN,-0.2974303683737585,
20139,DQN,-0.3629678620419304,
23051,DQN,-0.34500083250082647,
25293,DQN,-0.4023748473748424,
28206,DQN,-0.38394615230057755,
30619,DQN,-0.41844444444443996,
32867,DQN,-0.3129279279279245,
35413,DQN,-0.34101212440695294,
38634,DQN,-0.3270397083914967,
41683,DQN,-0.3627415966386575,
44285,DQN,-0.35532559313477863,
47077,DQN,-0.38143315018314583,
51028,DQN,-0.3682259316770255,
53901,DQN,-0.3830332132853094,
56957,DQN,-0.3716403999322099,
61089,DQN,-0.42408606502091467,
64210,DQN,-0.33515486423796265,
67715,DQN,-0.36350756448413446,
70508,DQN,-0.3881952380952334,
73078,DQN,-0.3460978835978784,
75326,DQN,-0.3348675034867453,
79200,DQN,-0.2845906902086744,
82360,DQN,-0.34300546448086805,
82376,DQN,-0.4166666666666667,Pathfinding8
82388,DQN,-0.33974358974358976,Pathfinding8
82397,DQN,-0.4716666666666666,Pathfinding8
82408,DQN,-0.5555555555555556,Pathfinding8
82422,DQN,-0.3844444444444445,Pathfinding8
82431,DQN,-0.4066666666666666,Pathfinding8
82439,DQN,-0.5222222222222223,Pathfinding8
82444,DQN,-0.5027777777777778,Pathfinding8
82456,DQN,-0.441025641025641,Pathfinding8
82467,DQN,-0.4222222222222222,Pathfinding8
82478,DQN,-0.4222222222222222,Pathfinding8
82489,DQN,-0.6708333333333333,Pathfinding8
82490,DQN,-0.5,Pathfinding8
82495,DQN,-0.5555555555555556,Pathfinding8
82506,DQN,-0.5305555555555556,Pathfinding8
82511,DQN,-0.5055555555555555,Pathfinding8
82523,DQN,-0.4897435897435898,Pathfinding8
82534,DQN,-0.33888888888888885,Pathfinding8
82552,DQN,-0.45877192982456144,Pathfinding8
82566,DQN,-0.3388888888888889,Pathfinding8
82577,DQN,-0.5555555555555556,Pathfinding8
82582,DQN,-0.6138888888888889,Pathfinding8
82604,DQN,-0.4695652173913044,Pathfinding8
82616,DQN,-0.5179487179487179,Pathfinding8
82627,DQN,-0.2583333333333333,Pathfinding8
82638,DQN,-0.5847222222222223,Pathfinding8
82654,DQN,-0.43627450980392163,Pathfinding8
82679,DQN,-0.49038461538461536,Pathfinding8
82684,DQN,-0.7222222222222222,Pathfinding8
82706,DQN,-0.3565217391304348,Pathfinding8
82720,DQN,-0.3822222222222222,Pathfinding8
82738,DQN,-0.39122807017543865,Pathfinding8
82742,DQN,-0.47,Pathfinding8
82750,DQN,-0.5222222222222223,Pathfinding8
82768,DQN,-0.3578947368421053,Pathfinding8
82776,DQN,-0.4111111111111111,Pathfinding8
82788,DQN,-0.4935897435897436,Pathfinding8
82798,DQN,-0.1472222222222222,Pathfinding8
82817,DQN,-0.5666666666666667,Pathfinding8
82836,DQN,-0.32416666666666677,Pathfinding8
82841,DQN,-0.33888888888888885,Pathfinding8
82859,DQN,-0.3219298245614035,Pathfinding8
82864,DQN,-0.5027777777777778,Pathfinding8
82872,DQN,-0.5944444444444444,Pathfinding8
82874,DQN,-0.8888888888888888,Pathfinding8
82890,DQN,-0.6098039215686275,Pathfinding8
82902,DQN,-0.41794871794871785,Pathfinding8
82913,DQN,-0.36666666666666675,Pathfinding8
82922,DQN,-0.4716666666666666,Pathfinding8
82934,DQN,-0.5166666666666666,Pathfinding8
82945,DQN,-0.5055555555555555,Pathfinding8
82961,DQN,-0.5323529411764706,Pathfinding8
82975,DQN,-0.5144444444444444,Pathfinding8
82983,DQN,-0.5185185185185185,Pathfinding8
82995,DQN,-0.2897435897435897,Pathfinding8
83009,DQN,-0.5333333333333333,Pathfinding8
83010,DQN,-0.5,Pathfinding8
83021,DQN,-0.3680555555555556,Pathfinding8
83033,DQN,-0.3141025641025641,Pathfinding8
83042,DQN,-0.5366666666666667,Pathfinding8
83050,DQN,-0.44999999999999996,Pathfinding8
83061,DQN,-0.5305555555555556,Pathfinding8
83066,DQN,-0.5027777777777778,Pathfinding8
83074,DQN,-0.48333333333333334,Pathfinding8
83099,DQN,-0.5294871794871795,Pathfinding8
83110,DQN,-0.4222222222222223,Pathfinding8
83122,DQN,-0.4923076923076923,Pathfinding8
83133,DQN,-0.5291666666666667,Pathfinding8
83144,DQN,-0.5055555555555555,Pathfinding8
83160,DQN,-0.5490196078431373,Pathfinding8
83171,DQN,-0.3138888888888889,Pathfinding8
83185,DQN,-0.4722222222222223,Pathfinding8
83193,DQN,-0.4148148148148148,Pathfinding8
83194,DQN,-0.5,Pathfinding8
83195,DQN,-0.5,Pathfinding8
83196,DQN,-0.5,Pathfinding8
83201,DQN,-0.33888888888888885,Pathfinding8
83215,DQN,-0.29777777777777775,Pathfinding8
83226,DQN,-0.5013888888888889,Pathfinding8
83244,DQN,-0.4447368421052632,Pathfinding8
83275,DQN,-0.22864583333333344,Pathfinding8
83296,DQN,-0.3242424242424243,Pathfinding8
83310,DQN,-0.4288888888888888,Pathfinding8
83328,DQN,-0.44473684210526326,Pathfinding8
83346,DQN,-0.25614035087719295,Pathfinding8
83351,DQN,-0.5055555555555555,Pathfinding8
83363,DQN,-0.5153846153846154,Pathfinding8
83368,DQN,-0.5555555555555556,Pathfinding8
83373,DQN,-0.6138888888888889,Pathfinding8
83384,DQN,-0.5041666666666667,Pathfinding8
83395,DQN,-0.44999999999999996,Pathfinding8
83417,DQN,-0.4405797101449276,Pathfinding8
83429,DQN,-0.2897435897435897,Pathfinding8
83441,DQN,-0.5935897435897436,Pathfinding8
83450,DQN,-0.30666666666666664,Pathfinding8
83459,DQN,-0.275,Pathfinding8
83471,DQN,-0.4948717948717948,Pathfinding8
83483,DQN,-0.5384615384615384,Pathfinding8
83499,DQN,-0.4931372549019608,Pathfinding8
83518,DQN,-0.5033333333333334,Pathfinding8
83523,DQN,-0.5055555555555555,Pathfinding8
83535,DQN,-0.5666666666666667,Pathfinding8
83539,DQN,-0.5333333333333333,Pathfinding8
83557,DQN,-0.4078947368421053,Pathfinding8
83566,DQN,-0.47333333333333333,Pathfinding8
83571,DQN,-0.5027777777777778,Pathfinding8
83582,DQN,-0.47500000000000003,Pathfinding8
83594,DQN,-0.3141025641025641,Pathfinding8
83606,DQN,-0.391025641025641,Pathfinding8
83611,DQN,-0.6138888888888889,Pathfinding8
83619,DQN,-0.5222222222222223,Pathfinding8
83627,DQN,-0.561111111111111,Pathfinding8
83645,DQN,-0.34298245614035083,Pathfinding8
83661,DQN,-0.38039215686274513,Pathfinding8
83663,DQN,-1.1111111111111112,Pathfinding8
83671,DQN,-0.487037037037037,Pathfinding8
83683,DQN,-0.3641025641025642,Pathfinding8
83694,DQN,-0.5583333333333333,Pathfinding8
83699,DQN,-0.44722222222222224,Pathfinding8
83707,DQN,-0.48518518518518516,Pathfinding8
83723,DQN,-0.3588235294117647,Pathfinding8
