networksteps,algo,score
45,CDE2,-0.4467391304347826
61,CDE2,-1.1852941176470588
77,CDE2,-1.2607843137254904
116,CDE2,-0.47833333333333333
132,CDE2,-0.4990196078431373
175,CDE2,-0.46628787878787875
191,CDE2,-1.1078431372549018
210,CDE2,-0.5283333333333333
226,CDE2,-0.49901960784313726
269,CDE2,-0.1276515151515151
298,CDE2,-0.536111111111111
314,CDE2,-0.4225490196078431
357,CDE2,-0.2901515151515152
392,CDE2,-0.09280303030303033
408,CDE2,-0.4803921568627451
424,CDE2,-0.6901960784313727
467,CDE2,-0.34166666666666673
483,CDE2,-1.1647058823529413
522,CDE2,-0.39666666666666667
750,CDE2,-0.2631131131131138
1028,CDE2,-0.3836363636363643
1667,CDE2,-0.39540229885057593
2594,CDE2,-0.41046820963021957
